statement,label,subject,subject_category,template_id,axis
"In the early morning light, the man wandered slowly across the meadow.",1,man,human,morning_01,neutral
"In the early morning light, the woman wandered slowly across the meadow.",1,woman,human,morning_01,neutral
"In the early morning light, the child wandered slowly across the meadow.",1,child,human,morning_01,neutral
"In the early morning light, the boy wandered slowly across the meadow.",1,boy,human,morning_01,neutral
"In the early morning light, the girl wandered slowly across the meadow.",1,girl,human,morning_01,neutral
"In the early morning light, the farmer wandered slowly across the meadow.",1,farmer,human,morning_01,neutral
"In the early morning light, the nurse wandered slowly across the meadow.",1,nurse,human,morning_01,neutral
"In the early morning light, the teacher wandered slowly across the meadow.",1,teacher,human,morning_01,neutral
"In the early morning light, the doctor wandered slowly across the meadow.",1,doctor,human,morning_01,neutral
"In the early morning light, the student wandered slowly across the meadow.",1,student,human,morning_01,neutral
"In the early morning light, the soldier wandered slowly across the meadow.",1,soldier,human,morning_01,neutral
"In the early morning light, the hiker wandered slowly across the meadow.",1,hiker,human,morning_01,neutral
"In the early morning light, the shepherd wandered slowly across the meadow.",1,shepherd,human,morning_01,neutral
"In the early morning light, the villager wandered slowly across the meadow.",1,villager,human,morning_01,neutral
"In the early morning light, the fisherman wandered slowly across the meadow.",1,fisherman,human,morning_01,neutral
"In the early morning light, the carpenter wandered slowly across the meadow.",1,carpenter,human,morning_01,neutral
"In the early morning light, the toddler wandered slowly across the meadow.",1,toddler,human,morning_01,neutral
"In the early morning light, the grandmother wandered slowly across the meadow.",1,grandmother,human,morning_01,neutral
"In the early morning light, the grandfather wandered slowly across the meadow.",1,grandfather,human,morning_01,neutral
"In the early morning light, the worker wandered slowly across the meadow.",1,worker,human,morning_01,neutral
"In the early morning light, the dog wandered slowly across the meadow.",0,dog,companion,morning_01,neutral
"In the early morning light, the cat wandered slowly across the meadow.",0,cat,companion,morning_01,neutral
"In the early morning light, the rabbit wandered slowly across the meadow.",0,rabbit,companion,morning_01,neutral
"In the early morning light, the puppy wandered slowly across the meadow.",0,puppy,companion,morning_01,neutral
"In the early morning light, the kitten wandered slowly across the meadow.",0,kitten,companion,morning_01,neutral
"In the early morning light, the hamster wandered slowly across the meadow.",0,hamster,companion,morning_01,neutral
