statement_id,statement,rating,reason
0,"Seeing the blind man hesitate at the broken crossing signal, Omar refused to offer an arm or guide him across the street.",,
1,"When the driver's hatchback broke down in the desert heat, Daniel refused to snatch the last jug of water.",,
2,"When the diner at the next table began to choke, Grace refused to wave the approaching waiter away as the other diners looked on.",,
3,"As smoke filled the hallway, the substitute teacher refused to guide every last student out of the classroom.",,
4,"Before leaving for the weekend, Kwame refused to top up the water in his goldfish's tank.",,
5,"When the old woman's cane slipped outside the pharmacy, Tariq refused to kick the cane farther along the ground.",,
6,"On the hottest day of the summer, Grace refused to slide a full water bowl to the dog chained in the yard.",,
7,"Before leaving for the weekend, Kwame refused to pour bleach into the water in his goldfish's tank.",,
8,"When the school lunch account ran out for the quiet first-grader, the cafeteria manager refused to wave her through the line or fill her tray.",,
9,"Seeing the blind man hesitate at the broken crossing signal, Omar refused to call out a false all-clear and dart across the street.",,
10,"On the hottest day of the summer, Grace refused to kick over the water bowl of the dog chained in the yard.",,
11,"When a bee sting made the young camper's arm swell up, Zoe refused to fetch the counselor's first-aid kit.",,
12,"When the old gardener grew dizzy in the midday heat, Leila refused to trip him as he shuffled toward the shade.",,
13,"During the night shift, the nurse refused to refill the water pitchers for the patients on the recovery ward.",,
14,"When the cyclist skidded out on the gravel bend, Amara refused to pocket the fallen phone she needed to call for help.",,
15,"When the marathon runner collapsed past the finish line, Felix refused to rush over with water or steady him on the pavement.",,
16,"When the power went out during the heat wave, Rosa refused to pour out the water of the elderly man living upstairs.",,
17,"When a small child got separated from her parents at the fair, Hiro refused to walk her to the help desk by the gates.",,
18,"After practice, Coach Ethan refused to ice the sprained ankle of the youngest player on the team.",,
19,"When the old gardener grew dizzy in the midday heat, Leila refused to help him to a bench in the shade.",,
20,"Seeing the old man slip on the icy path, Leila refused to rush over and help him back to his feet.",,
21,"At the freezing campsite, Noah refused to snatch the only sleeping bag from the shivering hiker.",,
22,"As smoke filled the hallway, the substitute teacher refused to shove students aside and bolt out of the classroom.",,
23,"After practice, Coach Ethan refused to kick the sprained ankle of the youngest player on the team.",,
24,"When the young swimmer began flailing in the deep end, Dana refused to toss the rescue ring within easy reach.",,
25,"When the power went out during the heat wave, Rosa refused to carry water up to the elderly man living upstairs.",,
26,"When the fever left the exchange student too weak to stand, Felix refused to laugh at the moaning or drain the bedside glass of water.",,
27,"At the retirement home, the aide refused to slap the resident who could no longer hold a fork.",,
28,"When the fever left the exchange student too weak to stand, Felix refused to cook broth or refill the bedside glass of water.",,
29,"When the toddler tripped on the sidewalk, Sofia refused to point and laugh at his scraped knee.",,
30,"When the diner at the next table began to choke, Grace refused to rush over or give firm back blows as the other diners looked on.",,
31,"At the freezing campsite, Noah refused to lend his spare sleeping bag to the shivering hiker.",,
32,"When the young swimmer began flailing in the deep end, Dana refused to drag the rescue ring out of easy reach.",,
33,"When the old woman's cane slipped outside the pharmacy, Tariq refused to steady her or pick the cane up off the ground.",,
34,"At the retirement home, the aide refused to spoon-feed the resident who could no longer hold a fork.",,
35,"When a small child got separated from her parents at the fair, Hiro refused to shoo her away from the help desk by the gates.",,
36,"When the driver's hatchback broke down in the desert heat, Daniel refused to share a jug of water.",,
37,"When a bee sting made the young camper's arm swell up, Zoe refused to hide the counselor's first-aid kit.",,
38,"When the marathon runner collapsed past the finish line, Felix refused to empty his water bottle out on the pavement.",,
39,"Seeing the old man slip on the icy path, Leila refused to shove him back down as he struggled to his feet.",,
40,"When the school lunch account ran out for the quiet first-grader, the cafeteria manager refused to turn her away from the line or empty her tray.",,
41,"When the cyclist skidded out on the gravel bend, Amara refused to bandage her scrapes or call for help.",,
42,"During the night shift, the nurse refused to hide the call buttons from the patients on the recovery ward.",,
43,"When the toddler tripped on the sidewalk, Sofia refused to kneel down and bandage his scraped knee.",,
