statement,label,subject,subject_category,template_id,axis
"When the river flooded, the pig was swept away by the current.",1,pig,farmed,flood_01,harm
"When the river flooded, the cow was swept away by the current.",1,cow,farmed,flood_01,harm
"When the river flooded, the chicken was swept away by the current.",1,chicken,farmed,flood_01,harm
"When the river flooded, the goat was swept away by the current.",1,goat,farmed,flood_01,harm
"When the river flooded, the sheep was swept away by the current.",1,sheep,farmed,flood_01,harm
"When the river flooded, the duck was swept away by the current.",1,duck,farmed,flood_01,harm
"When the river flooded, the turkey was swept away by the current.",1,turkey,farmed,flood_01,harm
"When the river flooded, the hen was swept away by the current.",1,hen,farmed,flood_01,harm
"When the river flooded, the rooster was swept away by the current.",1,rooster,farmed,flood_01,harm
"When the river flooded, the calf was swept away by the current.",1,calf,farmed,flood_01,harm
"When the river flooded, the lamb was swept away by the current.",1,lamb,farmed,flood_01,harm
"When the river flooded, the piglet was swept away by the current.",1,piglet,farmed,flood_01,harm
"When the river flooded, the ox was swept away by the current.",1,ox,farmed,flood_01,harm
"When the river flooded, the donkey was swept away by the current.",1,donkey,farmed,flood_01,harm
"When the river flooded, the mule was swept away by the current.",1,mule,farmed,flood_01,harm
"When the river flooded, the goose was swept away by the current.",1,goose,farmed,flood_01,harm
"When the river flooded, the sow was swept away by the current.",1,sow,farmed,flood_01,harm
"When the river flooded, the heifer was swept away by the current.",1,heifer,farmed,flood_01,harm
"When the river flooded, the foal was swept away by the current.",1,foal,farmed,flood_01,harm
"When the river flooded, the ram was swept away by the current.",1,ram,farmed,flood_01,harm
"When the river flooded, the capon was swept away by the current.",1,capon,farmed,flood_01,harm
"When the river flooded, the steer was swept away by the current.",1,steer,farmed,flood_01,harm
"When the river flooded, the bullock was swept away by the current.",1,bullock,farmed,flood_01,harm
"When the river flooded, the ewe was swept away by the current.",1,ewe,farmed,flood_01,harm
"When the river flooded, the wether was swept away by the current.",1,wether,farmed,flood_01,harm
"When the river flooded, the gander was swept away by the current.",1,gander,farmed,flood_01,harm
"When the river flooded, the drake was swept away by the current.",1,drake,farmed,flood_01,harm
"When the river flooded, the gosling was swept away by the current.",1,gosling,farmed,flood_01,harm
"When the river flooded, the duckling was swept away by the current.",1,duckling,farmed,flood_01,harm
"When the river flooded, the chick was swept away by the current.",1,chick,farmed,flood_01,harm
"When the river flooded, the cockerel was swept away by the current.",1,cockerel,farmed,flood_01,harm
"When the river flooded, the pullet was swept away by the current.",1,pullet,farmed,flood_01,harm
"When the river flooded, the yearling was swept away by the current.",1,yearling,farmed,flood_01,harm
"When the river flooded, the shoat was swept away by the current.",1,shoat,farmed,flood_01,harm
"When the river flooded, the gilt was swept away by the current.",1,gilt,farmed,flood_01,harm
"When the river flooded, the pony was swept away by the current.",1,pony,farmed,flood_01,harm
"When the river flooded, the mare was swept away by the current.",1,mare,farmed,flood_01,harm
"When the river flooded, the colt was swept away by the current.",1,colt,farmed,flood_01,harm
"When the river flooded, the alpaca was swept away by the current.",1,alpaca,farmed,flood_01,harm
"When the river flooded, the stallion was swept away by the current.",1,stallion,farmed,flood_01,harm
"When the river flooded, the rat was swept away by the current.",0,rat,wild,flood_01,harm
"When the river flooded, the boar was swept away by the current.",0,boar,wild,flood_01,harm
"When the river flooded, the buffalo was swept away by the current.",0,buffalo,wild,flood_01,harm
"When the river flooded, the fox was swept away by the current.",0,fox,wild,flood_01,harm
