statement,label,subject,subject_category,template_id,axis
"In the early morning light, the dog wandered slowly across the meadow.",1,dog,companion,morning_01,neutral
"In the early morning light, the cat wandered slowly across the meadow.",1,cat,companion,morning_01,neutral
"In the early morning light, the rabbit wandered slowly across the meadow.",1,rabbit,companion,morning_01,neutral
"In the early morning light, the puppy wandered slowly across the meadow.",1,puppy,companion,morning_01,neutral
"In the early morning light, the kitten wandered slowly across the meadow.",1,kitten,companion,morning_01,neutral
"In the early morning light, the hamster wandered slowly across the meadow.",1,hamster,companion,morning_01,neutral
"In the early morning light, the ferret wandered slowly across the meadow.",1,ferret,companion,morning_01,neutral
"In the early morning light, the poodle wandered slowly across the meadow.",1,poodle,companion,morning_01,neutral
"In the early morning light, the beagle wandered slowly across the meadow.",1,beagle,companion,morning_01,neutral
"In the early morning light, the terrier wandered slowly across the meadow.",1,terrier,companion,morning_01,neutral
"In the early morning light, the spaniel wandered slowly across the meadow.",1,spaniel,companion,morning_01,neutral
"In the early morning light, the labrador wandered slowly across the meadow.",1,labrador,companion,morning_01,neutral
"In the early morning light, the collie wandered slowly across the meadow.",1,collie,companion,morning_01,neutral
"In the early morning light, the pug wandered slowly across the meadow.",1,pug,companion,morning_01,neutral
"In the early morning light, the bulldog wandered slowly across the meadow.",1,bulldog,companion,morning_01,neutral
"In the early morning light, the retriever wandered slowly across the meadow.",1,retriever,companion,morning_01,neutral
"In the early morning light, the tomcat wandered slowly across the meadow.",1,tomcat,companion,morning_01,neutral
"In the early morning light, the gerbil wandered slowly across the meadow.",1,gerbil,companion,morning_01,neutral
"In the early morning light, the dalmatian wandered slowly across the meadow.",1,dalmatian,companion,morning_01,neutral
"In the early morning light, the greyhound wandered slowly across the meadow.",1,greyhound,companion,morning_01,neutral
"In the early morning light, the mastiff wandered slowly across the meadow.",1,mastiff,companion,morning_01,neutral
"In the early morning light, the corgi wandered slowly across the meadow.",1,corgi,companion,morning_01,neutral
"In the early morning light, the dachshund wandered slowly across the meadow.",1,dachshund,companion,morning_01,neutral
"In the early morning light, the chihuahua wandered slowly across the meadow.",1,chihuahua,companion,morning_01,neutral
"In the early morning light, the husky wandered slowly across the meadow.",1,husky,companion,morning_01,neutral
"In the early morning light, the rottweiler wandered slowly across the meadow.",1,rottweiler,companion,morning_01,neutral
"In the early morning light, the papillon wandered slowly across the meadow.",1,papillon,companion,morning_01,neutral
"In the early morning light, the schnauzer wandered slowly across the meadow.",1,schnauzer,companion,morning_01,neutral
"In the early morning light, the whippet wandered slowly across the meadow.",1,whippet,companion,morning_01,neutral
"In the early morning light, the pomeranian wandered slowly across the meadow.",1,pomeranian,companion,morning_01,neutral
"In the early morning light, the akita wandered slowly across the meadow.",1,akita,companion,morning_01,neutral
"In the early morning light, the samoyed wandered slowly across the meadow.",1,samoyed,companion,morning_01,neutral
"In the early morning light, the pekingese wandered slowly across the meadow.",1,pekingese,companion,morning_01,neutral
"In the early morning light, the lurcher wandered slowly across the meadow.",1,lurcher,companion,morning_01,neutral
"In the early morning light, the hound wandered slowly across the meadow.",1,hound,companion,morning_01,neutral
