statement,label,subject,subject_category,template_id,axis
"Under the shade of the old oak, the pig rested through the warm afternoon.",1,pig,farmed,rest_01,neutral
"Under the shade of the old oak, the cow rested through the warm afternoon.",1,cow,farmed,rest_01,neutral
"Under the shade of the old oak, the chicken rested through the warm afternoon.",1,chicken,farmed,rest_01,neutral
"Under the shade of the old oak, the goat rested through the warm afternoon.",1,goat,farmed,rest_01,neutral
"Under the shade of the old oak, the sheep rested through the warm afternoon.",1,sheep,farmed,rest_01,neutral
"Under the shade of the old oak, the duck rested through the warm afternoon.",1,duck,farmed,rest_01,neutral
"Under the shade of the old oak, the turkey rested through the warm afternoon.",1,turkey,farmed,rest_01,neutral
"Under the shade of the old oak, the hen rested through the warm afternoon.",1,hen,farmed,rest_01,neutral
"Under the shade of the old oak, the rooster rested through the warm afternoon.",1,rooster,farmed,rest_01,neutral
"Under the shade of the old oak, the calf rested through the warm afternoon.",1,calf,farmed,rest_01,neutral
"Under the shade of the old oak, the lamb rested through the warm afternoon.",1,lamb,farmed,rest_01,neutral
"Under the shade of the old oak, the piglet rested through the warm afternoon.",1,piglet,farmed,rest_01,neutral
"Under the shade of the old oak, the ox rested through the warm afternoon.",1,ox,farmed,rest_01,neutral
"Under the shade of the old oak, the donkey rested through the warm afternoon.",1,donkey,farmed,rest_01,neutral
"Under the shade of the old oak, the mule rested through the warm afternoon.",1,mule,farmed,rest_01,neutral
"Under the shade of the old oak, the goose rested through the warm afternoon.",1,goose,farmed,rest_01,neutral
"Under the shade of the old oak, the sow rested through the warm afternoon.",1,sow,farmed,rest_01,neutral
"Under the shade of the old oak, the heifer rested through the warm afternoon.",1,heifer,farmed,rest_01,neutral
"Under the shade of the old oak, the foal rested through the warm afternoon.",1,foal,farmed,rest_01,neutral
"Under the shade of the old oak, the ram rested through the warm afternoon.",1,ram,farmed,rest_01,neutral
"Under the shade of the old oak, the capon rested through the warm afternoon.",1,capon,farmed,rest_01,neutral
"Under the shade of the old oak, the steer rested through the warm afternoon.",1,steer,farmed,rest_01,neutral
"Under the shade of the old oak, the bullock rested through the warm afternoon.",1,bullock,farmed,rest_01,neutral
"Under the shade of the old oak, the ewe rested through the warm afternoon.",1,ewe,farmed,rest_01,neutral
"Under the shade of the old oak, the wether rested through the warm afternoon.",1,wether,farmed,rest_01,neutral
"Under the shade of the old oak, the gander rested through the warm afternoon.",1,gander,farmed,rest_01,neutral
"Under the shade of the old oak, the drake rested through the warm afternoon.",1,drake,farmed,rest_01,neutral
"Under the shade of the old oak, the gosling rested through the warm afternoon.",1,gosling,farmed,rest_01,neutral
"Under the shade of the old oak, the duckling rested through the warm afternoon.",1,duckling,farmed,rest_01,neutral
