statement,label,subject,subject_category,template_id,axis
"In the early morning light, the pig wandered slowly across the meadow.",1,pig,farmed,morning_01,neutral
"In the early morning light, the cow wandered slowly across the meadow.",1,cow,farmed,morning_01,neutral
"In the early morning light, the chicken wandered slowly across the meadow.",1,chicken,farmed,morning_01,neutral
"In the early morning light, the goat wandered slowly across the meadow.",1,goat,farmed,morning_01,neutral
"In the early morning light, the sheep wandered slowly across the meadow.",1,sheep,farmed,morning_01,neutral
"In the early morning light, the duck wandered slowly across the meadow.",1,duck,farmed,morning_01,neutral
"In the early morning light, the turkey wandered slowly across the meadow.",1,turkey,farmed,morning_01,neutral
"In the early morning light, the hen wandered slowly across the meadow.",1,hen,farmed,morning_01,neutral
"In the early morning light, the rooster wandered slowly across the meadow.",1,rooster,farmed,morning_01,neutral
"In the early morning light, the calf wandered slowly across the meadow.",1,calf,farmed,morning_01,neutral
"In the early morning light, the lamb wandered slowly across the meadow.",1,lamb,farmed,morning_01,neutral
"In the early morning light, the piglet wandered slowly across the meadow.",1,piglet,farmed,morning_01,neutral
"In the early morning light, the ox wandered slowly across the meadow.",1,ox,farmed,morning_01,neutral
"In the early morning light, the donkey wandered slowly across the meadow.",1,donkey,farmed,morning_01,neutral
"In the early morning light, the mule wandered slowly across the meadow.",1,mule,farmed,morning_01,neutral
"In the early morning light, the goose wandered slowly across the meadow.",1,goose,farmed,morning_01,neutral
"In the early morning light, the sow wandered slowly across the meadow.",1,sow,farmed,morning_01,neutral
"In the early morning light, the heifer wandered slowly across the meadow.",1,heifer,farmed,morning_01,neutral
"In the early morning light, the foal wandered slowly across the meadow.",1,foal,farmed,morning_01,neutral
"In the early morning light, the ram wandered slowly across the meadow.",1,ram,farmed,morning_01,neutral
"In the early morning light, the rat wandered slowly across the meadow.",0,rat,wild,morning_01,neutral
"In the early morning light, the boar wandered slowly across the meadow.",0,boar,wild,morning_01,neutral
"In the early morning light, the buffalo wandered slowly across the meadow.",0,buffalo,wild,morning_01,neutral
"In the early morning light, the fox wandered slowly across the meadow.",0,fox,wild,morning_01,neutral
"In the early morning light, the deer wandered slowly across the meadow.",0,deer,wild,morning_01,neutral
"In the early morning light, the badger wandered slowly across the meadow.",0,badger,wild,morning_01,neutral
"In the early morning light, the otter wandered slowly across the meadow.",0,otter,wild,morning_01,neutral
"In the early morning light, the hare wandered slowly across the meadow.",0,hare,wild,morning_01,neutral
"In the early morning light, the raccoon wandered slowly across the meadow.",0,raccoon,wild,morning_01,neutral
"In the early morning light, the squirrel wandered slowly across the meadow.",0,squirrel,wild,morning_01,neutral
"In the early morning light, the weasel wandered slowly across the meadow.",0,weasel,wild,morning_01,neutral
"In the early morning light, the coyote wandered slowly across the meadow.",0,coyote,wild,morning_01,neutral
"In the early morning light, the moose wandered slowly across the meadow.",0,moose,wild,morning_01,neutral
"In the early morning light, the elk wandered slowly across the meadow.",0,elk,wild,morning_01,neutral
"In the early morning light, the wolf wandered slowly across the meadow.",0,wolf,wild,morning_01,neutral
"In the early morning light, the hedgehog wandered slowly across the meadow.",0,hedgehog,wild,morning_01,neutral
"In the early morning light, the possum wandered slowly across the meadow.",0,possum,wild,morning_01,neutral
"In the early morning light, the jackal wandered slowly across the meadow.",0,jackal,wild,morning_01,neutral
"In the early morning light, the stoat wandered slowly across the meadow.",0,stoat,wild,morning_01,neutral
"In the early morning light, the marten wandered slowly across the meadow.",0,marten,wild,morning_01,neutral
"Just after sunrise, the pig crossed the quiet country lane.",1,pig,farmed,morning_02,neutral
"Just after sunrise, the cow crossed the quiet country lane.",1,cow,farmed,morning_02,neutral
"Just after sunrise, the chicken crossed the quiet country lane.",1,chicken,farmed,morning_02,neutral
"Just after sunrise, the goat crossed the quiet country lane.",1,goat,farmed,morning_02,neutral
"Just after sunrise, the sheep crossed the quiet country lane.",1,sheep,farmed,morning_02,neutral
"Just after sunrise, the duck crossed the quiet country lane.",1,duck,farmed,morning_02,neutral
"Just after sunrise, the turkey crossed the quiet country lane.",1,turkey,farmed,morning_02,neutral
"Just after sunrise, the hen crossed the quiet country lane.",1,hen,farmed,morning_02,neutral
"Just after sunrise, the rooster crossed the quiet country lane.",1,rooster,farmed,morning_02,neutral
"Just after sunrise, the calf crossed the quiet country lane.",1,calf,farmed,morning_02,neutral
"Just after sunrise, the lamb crossed the quiet country lane.",1,lamb,farmed,morning_02,neutral
"Just after sunrise, the piglet crossed the quiet country lane.",1,piglet,farmed,morning_02,neutral
"Just after sunrise, the ox crossed the quiet country lane.",1,ox,farmed,morning_02,neutral
"Just after sunrise, the donkey crossed the quiet country lane.",1,donkey,farmed,morning_02,neutral
"Just after sunrise, the mule crossed the quiet country lane.",1,mule,farmed,morning_02,neutral
"Just after sunrise, the goose crossed the quiet country lane.",1,goose,farmed,morning_02,neutral
"Just after sunrise, the sow crossed the quiet country lane.",1,sow,farmed,morning_02,neutral
"Just after sunrise, the heifer crossed the quiet country lane.",1,heifer,farmed,morning_02,neutral
"Just after sunrise, the foal crossed the quiet country lane.",1,foal,farmed,morning_02,neutral
"Just after sunrise, the ram crossed the quiet country lane.",1,ram,farmed,morning_02,neutral
"Just after sunrise, the rat crossed the quiet country lane.",0,rat,wild,morning_02,neutral
"Just after sunrise, the boar crossed the quiet country lane.",0,boar,wild,morning_02,neutral
"Just after sunrise, the buffalo crossed the quiet country lane.",0,buffalo,wild,morning_02,neutral
"Just after sunrise, the fox crossed the quiet country lane.",0,fox,wild,morning_02,neutral
"Just after sunrise, the deer crossed the quiet country lane.",0,deer,wild,morning_02,neutral
"Just after sunrise, the badger crossed the quiet country lane.",0,badger,wild,morning_02,neutral
"Just after sunrise, the otter crossed the quiet country lane.",0,otter,wild,morning_02,neutral
"Just after sunrise, the hare crossed the quiet country lane.",0,hare,wild,morning_02,neutral
"Just after sunrise, the raccoon crossed the quiet country lane.",0,raccoon,wild,morning_02,neutral
"Just after sunrise, the squirrel crossed the quiet country lane.",0,squirrel,wild,morning_02,neutral
"Just after sunrise, the weasel crossed the quiet country lane.",0,weasel,wild,morning_02,neutral
"Just after sunrise, the coyote crossed the quiet country lane.",0,coyote,wild,morning_02,neutral
"Just after sunrise, the moose crossed the quiet country lane.",0,moose,wild,morning_02,neutral
"Just after sunrise, the elk crossed the quiet country lane.",0,elk,wild,morning_02,neutral
"Just after sunrise, the wolf crossed the quiet country lane.",0,wolf,wild,morning_02,neutral
"Just after sunrise, the hedgehog crossed the quiet country lane.",0,hedgehog,wild,morning_02,neutral
"Just after sunrise, the possum crossed the quiet country lane.",0,possum,wild,morning_02,neutral
"Just after sunrise, the jackal crossed the quiet country lane.",0,jackal,wild,morning_02,neutral
"Just after sunrise, the stoat crossed the quiet country lane.",0,stoat,wild,morning_02,neutral
"Just after sunrise, the marten crossed the quiet country lane.",0,marten,wild,morning_02,neutral
"Before the household woke, the pig was already out in the yard.",1,pig,farmed,morning_03,neutral
"Before the household woke, the cow was already out in the yard.",1,cow,farmed,morning_03,neutral
"Before the household woke, the chicken was already out in the yard.",1,chicken,farmed,morning_03,neutral
"Before the household woke, the goat was already out in the yard.",1,goat,farmed,morning_03,neutral
"Before the household woke, the sheep was already out in the yard.",1,sheep,farmed,morning_03,neutral
"Before the household woke, the duck was already out in the yard.",1,duck,farmed,morning_03,neutral
"Before the household woke, the turkey was already out in the yard.",1,turkey,farmed,morning_03,neutral
"Before the household woke, the hen was already out in the yard.",1,hen,farmed,morning_03,neutral
"Before the household woke, the rooster was already out in the yard.",1,rooster,farmed,morning_03,neutral
"Before the household woke, the calf was already out in the yard.",1,calf,farmed,morning_03,neutral
"Before the household woke, the lamb was already out in the yard.",1,lamb,farmed,morning_03,neutral
"Before the household woke, the piglet was already out in the yard.",1,piglet,farmed,morning_03,neutral
"Before the household woke, the ox was already out in the yard.",1,ox,farmed,morning_03,neutral
"Before the household woke, the donkey was already out in the yard.",1,donkey,farmed,morning_03,neutral
"Before the household woke, the mule was already out in the yard.",1,mule,farmed,morning_03,neutral
"Before the household woke, the goose was already out in the yard.",1,goose,farmed,morning_03,neutral
"Before the household woke, the sow was already out in the yard.",1,sow,farmed,morning_03,neutral
"Before the household woke, the heifer was already out in the yard.",1,heifer,farmed,morning_03,neutral
"Before the household woke, the foal was already out in the yard.",1,foal,farmed,morning_03,neutral
"Before the household woke, the ram was already out in the yard.",1,ram,farmed,morning_03,neutral
"Before the household woke, the rat was already out in the yard.",0,rat,wild,morning_03,neutral
"Before the household woke, the boar was already out in the yard.",0,boar,wild,morning_03,neutral
"Before the household woke, the buffalo was already out in the yard.",0,buffalo,wild,morning_03,neutral
"Before the household woke, the fox was already out in the yard.",0,fox,wild,morning_03,neutral
"Before the household woke, the deer was already out in the yard.",0,deer,wild,morning_03,neutral
"Before the household woke, the badger was already out in the yard.",0,badger,wild,morning_03,neutral
"Before the household woke, the otter was already out in the yard.",0,otter,wild,morning_03,neutral
"Before the household woke, the hare was already out in the yard.",0,hare,wild,morning_03,neutral
"Before the household woke, the raccoon was already out in the yard.",0,raccoon,wild,morning_03,neutral
"Before the household woke, the squirrel was already out in the yard.",0,squirrel,wild,morning_03,neutral
"Before the household woke, the weasel was already out in the yard.",0,weasel,wild,morning_03,neutral
"Before the household woke, the coyote was already out in the yard.",0,coyote,wild,morning_03,neutral
"Before the household woke, the moose was already out in the yard.",0,moose,wild,morning_03,neutral
"Before the household woke, the elk was already out in the yard.",0,elk,wild,morning_03,neutral
"Before the household woke, the wolf was already out in the yard.",0,wolf,wild,morning_03,neutral
"Before the household woke, the hedgehog was already out in the yard.",0,hedgehog,wild,morning_03,neutral
"Before the household woke, the possum was already out in the yard.",0,possum,wild,morning_03,neutral
"Before the household woke, the jackal was already out in the yard.",0,jackal,wild,morning_03,neutral
"Before the household woke, the stoat was already out in the yard.",0,stoat,wild,morning_03,neutral
"Before the household woke, the marten was already out in the yard.",0,marten,wild,morning_03,neutral
"At first light, the pig appeared at the edge of the orchard.",1,pig,farmed,morning_04,neutral
"At first light, the cow appeared at the edge of the orchard.",1,cow,farmed,morning_04,neutral
"At first light, the chicken appeared at the edge of the orchard.",1,chicken,farmed,morning_04,neutral
"At first light, the goat appeared at the edge of the orchard.",1,goat,farmed,morning_04,neutral
"At first light, the sheep appeared at the edge of the orchard.",1,sheep,farmed,morning_04,neutral
"At first light, the duck appeared at the edge of the orchard.",1,duck,farmed,morning_04,neutral
"At first light, the turkey appeared at the edge of the orchard.",1,turkey,farmed,morning_04,neutral
"At first light, the hen appeared at the edge of the orchard.",1,hen,farmed,morning_04,neutral
"At first light, the rooster appeared at the edge of the orchard.",1,rooster,farmed,morning_04,neutral
"At first light, the calf appeared at the edge of the orchard.",1,calf,farmed,morning_04,neutral
"At first light, the lamb appeared at the edge of the orchard.",1,lamb,farmed,morning_04,neutral
"At first light, the piglet appeared at the edge of the orchard.",1,piglet,farmed,morning_04,neutral
"At first light, the ox appeared at the edge of the orchard.",1,ox,farmed,morning_04,neutral
"At first light, the donkey appeared at the edge of the orchard.",1,donkey,farmed,morning_04,neutral
"At first light, the mule appeared at the edge of the orchard.",1,mule,farmed,morning_04,neutral
"At first light, the goose appeared at the edge of the orchard.",1,goose,farmed,morning_04,neutral
"At first light, the sow appeared at the edge of the orchard.",1,sow,farmed,morning_04,neutral
"At first light, the heifer appeared at the edge of the orchard.",1,heifer,farmed,morning_04,neutral
"At first light, the foal appeared at the edge of the orchard.",1,foal,farmed,morning_04,neutral
"At first light, the ram appeared at the edge of the orchard.",1,ram,farmed,morning_04,neutral
"At first light, the rat appeared at the edge of the orchard.",0,rat,wild,morning_04,neutral
"At first light, the boar appeared at the edge of the orchard.",0,boar,wild,morning_04,neutral
"At first light, the buffalo appeared at the edge of the orchard.",0,buffalo,wild,morning_04,neutral
"At first light, the fox appeared at the edge of the orchard.",0,fox,wild,morning_04,neutral
"At first light, the deer appeared at the edge of the orchard.",0,deer,wild,morning_04,neutral
"At first light, the badger appeared at the edge of the orchard.",0,badger,wild,morning_04,neutral
"At first light, the otter appeared at the edge of the orchard.",0,otter,wild,morning_04,neutral
"At first light, the hare appeared at the edge of the orchard.",0,hare,wild,morning_04,neutral
"At first light, the raccoon appeared at the edge of the orchard.",0,raccoon,wild,morning_04,neutral
"At first light, the squirrel appeared at the edge of the orchard.",0,squirrel,wild,morning_04,neutral
"At first light, the weasel appeared at the edge of the orchard.",0,weasel,wild,morning_04,neutral
"At first light, the coyote appeared at the edge of the orchard.",0,coyote,wild,morning_04,neutral
"At first light, the moose appeared at the edge of the orchard.",0,moose,wild,morning_04,neutral
"At first light, the elk appeared at the edge of the orchard.",0,elk,wild,morning_04,neutral
"At first light, the wolf appeared at the edge of the orchard.",0,wolf,wild,morning_04,neutral
"At first light, the hedgehog appeared at the edge of the orchard.",0,hedgehog,wild,morning_04,neutral
"At first light, the possum appeared at the edge of the orchard.",0,possum,wild,morning_04,neutral
"At first light, the jackal appeared at the edge of the orchard.",0,jackal,wild,morning_04,neutral
"At first light, the stoat appeared at the edge of the orchard.",0,stoat,wild,morning_04,neutral
"At first light, the marten appeared at the edge of the orchard.",0,marten,wild,morning_04,neutral
"Under the shade of the old oak, the pig rested through the warm afternoon.",1,pig,farmed,rest_01,neutral
"Under the shade of the old oak, the cow rested through the warm afternoon.",1,cow,farmed,rest_01,neutral
"Under the shade of the old oak, the chicken rested through the warm afternoon.",1,chicken,farmed,rest_01,neutral
"Under the shade of the old oak, the goat rested through the warm afternoon.",1,goat,farmed,rest_01,neutral
"Under the shade of the old oak, the sheep rested through the warm afternoon.",1,sheep,farmed,rest_01,neutral
"Under the shade of the old oak, the duck rested through the warm afternoon.",1,duck,farmed,rest_01,neutral
"Under the shade of the old oak, the turkey rested through the warm afternoon.",1,turkey,farmed,rest_01,neutral
"Under the shade of the old oak, the hen rested through the warm afternoon.",1,hen,farmed,rest_01,neutral
"Under the shade of the old oak, the rooster rested through the warm afternoon.",1,rooster,farmed,rest_01,neutral
"Under the shade of the old oak, the calf rested through the warm afternoon.",1,calf,farmed,rest_01,neutral
"Under the shade of the old oak, the lamb rested through the warm afternoon.",1,lamb,farmed,rest_01,neutral
"Under the shade of the old oak, the piglet rested through the warm afternoon.",1,piglet,farmed,rest_01,neutral
"Under the shade of the old oak, the ox rested through the warm afternoon.",1,ox,farmed,rest_01,neutral
"Under the shade of the old oak, the donkey rested through the warm afternoon.",1,donkey,farmed,rest_01,neutral
"Under the shade of the old oak, the mule rested through the warm afternoon.",1,mule,farmed,rest_01,neutral
"Under the shade of the old oak, the goose rested through the warm afternoon.",1,goose,farmed,rest_01,neutral
"Under the shade of the old oak, the sow rested through the warm afternoon.",1,sow,farmed,rest_01,neutral
"Under the shade of the old oak, the heifer rested through the warm afternoon.",1,heifer,farmed,rest_01,neutral
"Under the shade of the old oak, the foal rested through the warm afternoon.",1,foal,farmed,rest_01,neutral
"Under the shade of the old oak, the ram rested through the warm afternoon.",1,ram,farmed,rest_01,neutral
"Under the shade of the old oak, the rat rested through the warm afternoon.",0,rat,wild,rest_01,neutral
"Under the shade of the old oak, the boar rested through the warm afternoon.",0,boar,wild,rest_01,neutral
"Under the shade of the old oak, the buffalo rested through the warm afternoon.",0,buffalo,wild,rest_01,neutral
"Under the shade of the old oak, the fox rested through the warm afternoon.",0,fox,wild,rest_01,neutral
"Under the shade of the old oak, the deer rested through the warm afternoon.",0,deer,wild,rest_01,neutral
"Under the shade of the old oak, the badger rested through the warm afternoon.",0,badger,wild,rest_01,neutral
