statement,label,subject,subject_category,template_id,family,axis
"Under the shade of the old oak, the dog rested through the warm afternoon.",1,dog,companion,rest_01,rest,neutral
"Under the shade of the old oak, the cat rested through the warm afternoon.",1,cat,companion,rest_01,rest,neutral
"Under the shade of the old oak, the puppy rested through the warm afternoon.",1,puppy,companion,rest_01,rest,neutral
"Under the shade of the old oak, the kitten rested through the warm afternoon.",1,kitten,companion,rest_01,rest,neutral
"Under the shade of the old oak, the tomcat rested through the warm afternoon.",1,tomcat,companion,rest_01,rest,neutral
"Under the shade of the old oak, the kitty rested through the warm afternoon.",1,kitty,companion,rest_01,rest,neutral
"Under the shade of the old oak, the hamster rested through the warm afternoon.",1,hamster,companion,rest_01,rest,neutral
"Under the shade of the old oak, the gerbil rested through the warm afternoon.",1,gerbil,companion,rest_01,rest,neutral
"Under the shade of the old oak, the ferret rested through the warm afternoon.",1,ferret,companion,rest_01,rest,neutral
"Under the shade of the old oak, the chinchilla rested through the warm afternoon.",1,chinchilla,companion,rest_01,rest,neutral
"Under the shade of the old oak, the hound rested through the warm afternoon.",1,hound,companion,rest_01,rest,neutral
"Under the shade of the old oak, the mutt rested through the warm afternoon.",1,mutt,companion,rest_01,rest,neutral
"Under the shade of the old oak, the poodle rested through the warm afternoon.",1,poodle,companion,rest_01,rest,neutral
"Under the shade of the old oak, the beagle rested through the warm afternoon.",1,beagle,companion,rest_01,rest,neutral
"Under the shade of the old oak, the terrier rested through the warm afternoon.",1,terrier,companion,rest_01,rest,neutral
"Under the shade of the old oak, the spaniel rested through the warm afternoon.",1,spaniel,companion,rest_01,rest,neutral
"Under the shade of the old oak, the labrador rested through the warm afternoon.",1,labrador,companion,rest_01,rest,neutral
"Under the shade of the old oak, the collie rested through the warm afternoon.",1,collie,companion,rest_01,rest,neutral
"Under the shade of the old oak, the pug rested through the warm afternoon.",1,pug,companion,rest_01,rest,neutral
"Under the shade of the old oak, the bulldog rested through the warm afternoon.",1,bulldog,companion,rest_01,rest,neutral
"Under the shade of the old oak, the retriever rested through the warm afternoon.",1,retriever,companion,rest_01,rest,neutral
"Under the shade of the old oak, the dalmatian rested through the warm afternoon.",1,dalmatian,companion,rest_01,rest,neutral
"Under the shade of the old oak, the greyhound rested through the warm afternoon.",1,greyhound,companion,rest_01,rest,neutral
"Under the shade of the old oak, the corgi rested through the warm afternoon.",1,corgi,companion,rest_01,rest,neutral
"Under the shade of the old oak, the dachshund rested through the warm afternoon.",1,dachshund,companion,rest_01,rest,neutral
"Under the shade of the old oak, the chihuahua rested through the warm afternoon.",1,chihuahua,companion,rest_01,rest,neutral
"Under the shade of the old oak, the husky rested through the warm afternoon.",1,husky,companion,rest_01,rest,neutral
"Under the shade of the old oak, the mastiff rested through the warm afternoon.",1,mastiff,companion,rest_01,rest,neutral
"Under the shade of the old oak, the whippet rested through the warm afternoon.",1,whippet,companion,rest_01,rest,neutral
"Under the shade of the old oak, the schnauzer rested through the warm afternoon.",1,schnauzer,companion,rest_01,rest,neutral
"Under the shade of the old oak, the pomeranian rested through the warm afternoon.",1,pomeranian,companion,rest_01,rest,neutral
