statement,label,subject,subject_category,template_id,continuation_id,continuation_type
"When the barn caught fire, the man was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,man,human,fire_01,help_01,help
"When the barn caught fire, the man was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,man,human,fire_01,help_02,help
"When the barn caught fire, the man was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,man,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the man was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,man,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the woman was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,woman,human,fire_01,help_01,help
"When the barn caught fire, the woman was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,woman,human,fire_01,help_02,help
"When the barn caught fire, the woman was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,woman,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the woman was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,woman,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the child was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,child,human,fire_01,help_01,help
"When the barn caught fire, the child was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,child,human,fire_01,help_02,help
"When the barn caught fire, the child was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,child,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the child was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,child,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the boy was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,boy,human,fire_01,help_01,help
"When the barn caught fire, the boy was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,boy,human,fire_01,help_02,help
"When the barn caught fire, the boy was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,boy,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the boy was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,boy,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the girl was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,girl,human,fire_01,help_01,help
"When the barn caught fire, the girl was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,girl,human,fire_01,help_02,help
"When the barn caught fire, the girl was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,girl,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the girl was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,girl,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the farmer was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,farmer,human,fire_01,help_01,help
"When the barn caught fire, the farmer was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,farmer,human,fire_01,help_02,help
"When the barn caught fire, the farmer was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,farmer,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the farmer was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,farmer,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the nurse was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,nurse,human,fire_01,help_01,help
"When the barn caught fire, the nurse was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,nurse,human,fire_01,help_02,help
"When the barn caught fire, the nurse was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,nurse,human,fire_01,dismiss_01,dismiss
"When the barn caught fire, the nurse was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,nurse,human,fire_01,dismiss_02,dismiss
"When the barn caught fire, the teacher was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,teacher,human,fire_01,help_01,help
