statement,label,pair_id,frame_id
"When teammates pressed for gossip about the goalie's secret crush, Omar changed the subject and kept the confidence.",1,0,0
"When teammates pressed for gossip about the goalie's secret crush, Omar broadcast every detail and broke the confidence.",0,0,0
"When teammates pressed for gossip about the goalie's secret crush, Andre changed the subject and kept the confidence.",1,1,0
"When teammates pressed for gossip about the goalie's secret crush, Andre broadcast every detail and broke the confidence.",0,1,0
"When teammates pressed for gossip about the goalie's secret crush, Marcus changed the subject and kept the confidence.",1,2,0
"When teammates pressed for gossip about the goalie's secret crush, Marcus broadcast every detail and broke the confidence.",0,2,0
"When teammates pressed for gossip about the goalie's secret crush, Fatima changed the subject and kept the confidence.",1,3,0
"When teammates pressed for gossip about the goalie's secret crush, Fatima broadcast every detail and broke the confidence.",0,3,0
"When teammates pressed for gossip about the goalie's secret crush, Dana changed the subject and kept the confidence.",1,4,0
"When teammates pressed for gossip about the goalie's secret crush, Dana broadcast every detail and broke the confidence.",0,4,0
"When teammates pressed for gossip about the goalie's secret crush, Arjun changed the subject and kept the confidence.",1,5,0
"When teammates pressed for gossip about the goalie's secret crush, Arjun broadcast every detail and broke the confidence.",0,5,0
"When teammates pressed for gossip about the goalie's secret crush, Noah changed the subject and kept the confidence.",1,6,0
"When teammates pressed for gossip about the goalie's secret crush, Noah broadcast every detail and broke the confidence.",0,6,0
"When teammates pressed for gossip about the goalie's secret crush, Priya changed the subject and kept the confidence.",1,7,0
"When teammates pressed for gossip about the goalie's secret crush, Priya broadcast every detail and broke the confidence.",0,7,0
"When the lunch table turned on an absent friend, Andre stuck up for her in front of everyone.",1,8,1
"When the lunch table turned on an absent friend, Andre shared her most embarrassing story in front of everyone.",0,8,1
"When the lunch table turned on an absent friend, Fatima stuck up for her in front of everyone.",1,9,1
"When the lunch table turned on an absent friend, Fatima shared her most embarrassing story in front of everyone.",0,9,1
"When the lunch table turned on an absent friend, Noah stuck up for her in front of everyone.",1,10,1
"When the lunch table turned on an absent friend, Noah shared her most embarrassing story in front of everyone.",0,10,1
"When the lunch table turned on an absent friend, Felix stuck up for her in front of everyone.",1,11,1
"When the lunch table turned on an absent friend, Felix shared her most embarrassing story in front of everyone.",0,11,1
"When the lunch table turned on an absent friend, Kwame stuck up for her in front of everyone.",1,12,1
"When the lunch table turned on an absent friend, Kwame shared her most embarrassing story in front of everyone.",0,12,1
"When the lunch table turned on an absent friend, Ethan stuck up for her in front of everyone.",1,13,1
"When the lunch table turned on an absent friend, Ethan shared her most embarrassing story in front of everyone.",0,13,1
"When the lunch table turned on an absent friend, Rosa stuck up for her in front of everyone.",1,14,1
"When the lunch table turned on an absent friend, Rosa shared her most embarrassing story in front of everyone.",0,14,1
"When the lunch table turned on an absent friend, Carmen stuck up for her in front of everyone.",1,15,1
"When the lunch table turned on an absent friend, Carmen shared her most embarrassing story in front of everyone.",0,15,1
"After promising for weeks to be there, Omar arrived early and stayed through the entire recital.",1,16,2
"After promising for weeks to be there, Omar took a better invitation and skipped the entire recital.",0,16,2
"After promising for weeks to be there, Tariq arrived early and stayed through the entire recital.",1,17,2
"After promising for weeks to be there, Tariq took a better invitation and skipped the entire recital.",0,17,2
"After promising for weeks to be there, Leo arrived early and stayed through the entire recital.",1,18,2
"After promising for weeks to be there, Leo took a better invitation and skipped the entire recital.",0,18,2
"After promising for weeks to be there, Rafael arrived early and stayed through the entire recital.",1,19,2
"After promising for weeks to be there, Rafael took a better invitation and skipped the entire recital.",0,19,2
"After promising for weeks to be there, Ava arrived early and stayed through the entire recital.",1,20,2
"After promising for weeks to be there, Ava took a better invitation and skipped the entire recital.",0,20,2
"After promising for weeks to be there, Leila arrived early and stayed through the entire recital.",1,21,2
"After promising for weeks to be there, Leila took a better invitation and skipped the entire recital.",0,21,2
"After promising for weeks to be there, Maria arrived early and stayed through the entire recital.",1,22,2
"After promising for weeks to be there, Maria took a better invitation and skipped the entire recital.",0,22,2
"After promising for weeks to be there, Rosa arrived early and stayed through the entire recital.",1,23,2
"After promising for weeks to be there, Rosa took a better invitation and skipped the entire recital.",0,23,2
"When the struggling robotics team hit its worst season, Omar stayed on and recruited help for the final competition.",1,24,3
"When the struggling robotics team hit its worst season, Omar defected to the rival school before the final competition.",0,24,3
"When the struggling robotics team hit its worst season, Rafael stayed on and recruited help for the final competition.",1,25,3
"When the struggling robotics team hit its worst season, Rafael defected to the rival school before the final competition.",0,25,3
"When the struggling robotics team hit its worst season, Carmen stayed on and recruited help for the final competition.",1,26,3
"When the struggling robotics team hit its worst season, Carmen defected to the rival school before the final competition.",0,26,3
"When the struggling robotics team hit its worst season, Yuki stayed on and recruited help for the final competition.",1,27,3
"When the struggling robotics team hit its worst season, Yuki defected to the rival school before the final competition.",0,27,3
"When the struggling robotics team hit its worst season, Lena stayed on and recruited help for the final competition.",1,28,3
"When the struggling robotics team hit its worst season, Lena defected to the rival school before the final competition.",0,28,3
"When the struggling robotics team hit its worst season, Tariq stayed on and recruited help for the final competition.",1,29,3
"When the struggling robotics team hit its worst season, Tariq defected to the rival school before the final competition.",0,29,3
"When the struggling robotics team hit its worst season, Amara stayed on and recruited help for the final competition.",1,30,3
"When the struggling robotics team hit its worst season, Amara defected to the rival school before the final competition.",0,30,3
"When the struggling robotics team hit its worst season, Ethan stayed on and recruited help for the final competition.",1,31,3
"When the struggling robotics team hit its worst season, Ethan defected to the rival school before the final competition.",0,31,3
"When the rival vendor offered cash for the family spice blend, Rosa declined and kept the recipe in the family.",1,32,4
"When the rival vendor offered cash for the family spice blend, Rosa took the cash and passed the recipe out of the family.",0,32,4
"When the rival vendor offered cash for the family spice blend, Nina declined and kept the recipe in the family.",1,33,4
"When the rival vendor offered cash for the family spice blend, Nina took the cash and passed the recipe out of the family.",0,33,4
"When the rival vendor offered cash for the family spice blend, Daniel declined and kept the recipe in the family.",1,34,4
"When the rival vendor offered cash for the family spice blend, Daniel took the cash and passed the recipe out of the family.",0,34,4
"When the rival vendor offered cash for the family spice blend, Ava declined and kept the recipe in the family.",1,35,4
"When the rival vendor offered cash for the family spice blend, Ava took the cash and passed the recipe out of the family.",0,35,4
"When the rival vendor offered cash for the family spice blend, Marcus declined and kept the recipe in the family.",1,36,4
"When the rival vendor offered cash for the family spice blend, Marcus took the cash and passed the recipe out of the family.",0,36,4
"When the rival vendor offered cash for the family spice blend, Rafael declined and kept the recipe in the family.",1,37,4
"When the rival vendor offered cash for the family spice blend, Rafael took the cash and passed the recipe out of the family.",0,37,4
"When the rival vendor offered cash for the family spice blend, Zoe declined and kept the recipe in the family.",1,38,4
"When the rival vendor offered cash for the family spice blend, Zoe took the cash and passed the recipe out of the family.",0,38,4
"When the rival vendor offered cash for the family spice blend, Malik declined and kept the recipe in the family.",1,39,4
"When the rival vendor offered cash for the family spice blend, Malik took the cash and passed the recipe out of the family.",0,39,4
"After finding the little brother's diary under the mattress, Rosa shut the diary and guarded every single page.",1,40,5
"After finding the little brother's diary under the mattress, Rosa photographed the diary and texted friends every single page.",0,40,5
"After finding the little brother's diary under the mattress, Hiro shut the diary and guarded every single page.",1,41,5
"After finding the little brother's diary under the mattress, Hiro photographed the diary and texted friends every single page.",0,41,5
"After finding the little brother's diary under the mattress, Grace shut the diary and guarded every single page.",1,42,5
"After finding the little brother's diary under the mattress, Grace photographed the diary and texted friends every single page.",0,42,5
"After finding the little brother's diary under the mattress, Andre shut the diary and guarded every single page.",1,43,5
"After finding the little brother's diary under the mattress, Andre photographed the diary and texted friends every single page.",0,43,5
"After finding the little brother's diary under the mattress, Fatima shut the diary and guarded every single page.",1,44,5
"After finding the little brother's diary under the mattress, Fatima photographed the diary and texted friends every single page.",0,44,5
