statement,label,pair_id,frame_id,vader_compound,twroberta_signed,twroberta_neutral
"When the toddler tripped on the sidewalk, Sofia refused to kneel down and bandage his scraped knee.",0,16,2,-0.296,-0.6299839811399579,0.3486102521419525
"When the toddler tripped on the sidewalk, Sofia refused to point and laugh at his scraped knee.",1,16,2,0.34,-0.5954516772180796,0.36999714374542236
"When the toddler tripped on the sidewalk, Nina refused to kneel down and bandage his scraped knee.",0,17,2,-0.296,-0.6465030033141375,0.33161482214927673
"When the toddler tripped on the sidewalk, Nina refused to point and laugh at his scraped knee.",1,17,2,0.34,-0.6189349014312029,0.34695130586624146
"When the toddler tripped on the sidewalk, Nadia refused to kneel down and bandage his scraped knee.",0,18,2,-0.296,-0.6419861298054457,0.3367045521736145
"When the toddler tripped on the sidewalk, Nadia refused to point and laugh at his scraped knee.",1,18,2,0.34,-0.6103174425661564,0.35544008016586304
"When the toddler tripped on the sidewalk, Andre refused to kneel down and bandage his scraped knee.",0,19,2,-0.296,-0.6254160152748227,0.35347750782966614
"When the toddler tripped on the sidewalk, Andre refused to point and laugh at his scraped knee.",1,19,2,0.34,-0.6089712176471949,0.3571068346500397
"When the toddler tripped on the sidewalk, Malik refused to kneel down and bandage his scraped knee.",0,20,2,-0.296,-0.6374721573665738,0.34265971183776855
"When the toddler tripped on the sidewalk, Malik refused to point and laugh at his scraped knee.",1,20,2,0.34,-0.6185168344527483,0.34932684898376465
"When the toddler tripped on the sidewalk, Hiro refused to kneel down and bandage his scraped knee.",0,21,2,-0.296,-0.627741876989603,0.34899213910102844
"When the toddler tripped on the sidewalk, Hiro refused to point and laugh at his scraped knee.",1,21,2,0.34,-0.6200489550828934,0.3434011936187744
"When the toddler tripped on the sidewalk, Zoe refused to kneel down and bandage his scraped knee.",0,22,2,-0.296,-0.6678569475188851,0.31238892674446106
"When the toddler tripped on the sidewalk, Zoe refused to point and laugh at his scraped knee.",1,22,2,0.34,-0.6412195488810539,0.3283112943172455
