statement_id,statement,rating,reason
0,"Selling tomatoes at the farmers market stall, Amara weighed every bag on the certified scale.",good,
1,"When the reserved study rooms opened for finals week, Malik scribbled fake names to hog slots on the waiting list.",bad,
2,"On the club scorecard after the round, Dana wrote down every stroke taken on the back nine.",good,
3,"Splitting the quarterly bonus pool among the sales team, Rafael handed a golf buddy shares that other members had closed.",bad,
4,"Working the till at the charity bake sale, Daniel shortchanged the busiest customers on every purchase.",bad,
5,"When the tenants moved out of the spotless apartment, Tariq invented scratches to withhold the deposit.",bad,
6,"When overtime hours were handed out on the dock, Fatima rotated the extra shifts straight down the crew list.",good,
7,"Running the ring toss at the summer carnival, Sofia paid out a prize for each of the winning throws.",good,
8,"Dividing the arcade tokens between the twins, Tom counted out matching stacks for each child.",good,
9,"Running the ring toss at the summer carnival, Sofia pocketed the tickets and denied all of the winning throws.",bad,
10,"Playing banker in the marathon Monopoly game, Rafael paid every salary straight from the bank.",good,
11,"When the lemonade stand closed for the day, Leo pocketed the coins and counted out pennies for the partner.",bad,
12,"After the group project earned the top grade, Tariq listed every member's name on the final report.",good,
13,"After the group agreed to divide the firewood they had hauled, Fatima stacked equal bundles beside each cabin door.",good,
14,"When the holiday schedule went up in the stockroom, Omar volunteered for an even rotation of the overnight shifts.",good,
15,"When the community garden assigned the sunny plots by lottery, Amara planted in the plot the drawing allowed.",good,
16,"After the group project earned the top grade, Tariq erased the other members' names from the final report.",bad,
17,"When the pizzas arrived for the study group, Lena took two slices and left an even share for the others.",good,
18,"When a leaked answer key circulated before the chemistry final, Yuki memorized the file and skipped the textbook instead.",bad,
19,"When the reserved study rooms opened for finals week, Malik signed up for one slot on the waiting list.",good,
20,"Opening the shared office fridge at noon, Rosa took only the lunch bag labeled with the matching initials.",good,
21,"When pairing the chess tournament brackets, Malik matched the players strictly by their posted ratings.",good,
22,"Playing banker in the marathon Monopoly game, Rafael snuck extra hundreds out of the bank.",bad,
23,"Hosting the trivia night championship, Daniel slipped one team the questions from the same sealed pack.",bad,
24,"Collecting money for the retirement gift, Leila skimmed twenty dollars while buying the engraved watch.",bad,
25,"When the apartment chore chart came around again, Nadia swapped the names to dodge the assigned week.",bad,
26,"Driving tourists in from the airport, Nadia took the direct highway and charged the metered fare.",good,
27,"When the lemonade stand closed for the day, Leo counted the coins into even piles for the partner.",good,
28,"When a leaked answer key circulated before the chemistry final, Yuki deleted the file and studied the textbook instead.",good,
29,"Grading the midterm essays as a teaching assistant, Noah marked every essay against the posted rubric.",good,
30,"After the group agreed to divide the firewood they had hauled, Fatima dragged the biggest bundles behind one cabin door.",bad,
31,"Whenever the family board game got close, Ethan counted out every move exactly as the dice were rolled.",good,
32,"Sharing the console with the younger cousins, Mateo clung to the controller long after each timer ran out.",bad,
33,"When the holiday schedule went up in the stockroom, Omar shuffled a new hire into all of the overnight shifts.",bad,
34,"In the friendly poker night, Grace played every hand straight as the cards were dealt.",good,
35,"At the crowded pharmacy counter, Priya shoved forward and cut ahead of everyone else in the line.",bad,
36,"Grading the midterm essays as a teaching assistant, Noah marked friends a grade above the posted rubric.",bad,
37,"When the pizzas arrived for the study group, Lena grabbed six slices and left only crusts for the others.",bad,
38,"At the crowded pharmacy counter, Priya took a ticket and waited like everyone else in the line.",good,
