statement,label,pair_id,frame_id,vader_compound,twroberta_signed,twroberta_neutral
"When teammates pressed for gossip about the goalie's secret crush, Omar changed the subject and kept the confidence.",1,0,0,0.25,-0.03745590150356293,0.8458731174468994
"When teammates pressed for gossip about the goalie's secret crush, Omar broadcast every detail and broke the confidence.",0,0,0,-0.2023,-0.5054272618144751,0.46271076798439026
"When teammates pressed for gossip about the goalie's secret crush, Andre changed the subject and kept the confidence.",1,1,0,0.25,-0.019782863557338715,0.8498023748397827
"When teammates pressed for gossip about the goalie's secret crush, Andre broadcast every detail and broke the confidence.",0,1,0,-0.2023,-0.43007182888686657,0.5311508774757385
"When teammates pressed for gossip about the goalie's secret crush, Marcus changed the subject and kept the confidence.",1,2,0,0.25,-0.019851602613925934,0.851974368095398
"When teammates pressed for gossip about the goalie's secret crush, Marcus broadcast every detail and broke the confidence.",0,2,0,-0.2023,-0.4642211012542248,0.5015842914581299
"When teammates pressed for gossip about the goalie's secret crush, Fatima changed the subject and kept the confidence.",1,3,0,0.25,0.010740049183368683,0.851343035697937
"When teammates pressed for gossip about the goalie's secret crush, Fatima broadcast every detail and broke the confidence.",0,3,0,-0.2023,-0.4145799111574888,0.5460771322250366
"When teammates pressed for gossip about the goalie's secret crush, Dana changed the subject and kept the confidence.",1,4,0,0.25,-0.015463627874851227,0.8624212741851807
"When teammates pressed for gossip about the goalie's secret crush, Dana broadcast every detail and broke the confidence.",0,4,0,-0.2023,-0.41637623496353626,0.5462203025817871
"When teammates pressed for gossip about the goalie's secret crush, Arjun changed the subject and kept the confidence.",1,5,0,0.25,0.006829008460044861,0.8608566522598267
"When teammates pressed for gossip about the goalie's secret crush, Arjun broadcast every detail and broke the confidence.",0,5,0,-0.2023,-0.38290303759276867,0.5750186443328857
"When teammates pressed for gossip about the goalie's secret crush, Noah changed the subject and kept the confidence.",1,6,0,0.25,0.0011303126811981201,0.8430411219596863
"When teammates pressed for gossip about the goalie's secret crush, Noah broadcast every detail and broke the confidence.",0,6,0,-0.2023,-0.4445120822638273,0.5119639039039612
"When teammates pressed for gossip about the goalie's secret crush, Priya changed the subject and kept the confidence.",1,7,0,0.25,0.015981212258338928,0.8521435856819153
"When teammates pressed for gossip about the goalie's secret crush, Priya broadcast every detail and broke the confidence.",0,7,0,-0.2023,-0.4085218068212271,0.5508841276168823
"When the lunch table turned on an absent friend, Andre stuck up for her in front of everyone.",1,8,1,0.296,0.2754446156322956,0.6326099634170532
"When the lunch table turned on an absent friend, Andre shared her most embarrassing story in front of everyone.",0,8,1,0.4033,-0.5036719217896461,0.43177443742752075
"When the lunch table turned on an absent friend, Fatima stuck up for her in front of everyone.",1,9,1,0.296,0.24107659235596657,0.6721827387809753
"When the lunch table turned on an absent friend, Fatima shared her most embarrassing story in front of everyone.",0,9,1,0.4033,-0.5332680158317089,0.39859265089035034
"When the lunch table turned on an absent friend, Noah stuck up for her in front of everyone.",1,10,1,0.296,0.31881098449230194,0.5969411730766296
"When the lunch table turned on an absent friend, Noah shared her most embarrassing story in front of everyone.",0,10,1,0.4033,-0.5114142000675201,0.4071672260761261
"When the lunch table turned on an absent friend, Felix stuck up for her in front of everyone.",1,11,1,0.296,0.3553418554365635,0.573280394077301
"When the lunch table turned on an absent friend, Felix shared her most embarrassing story in front of everyone.",0,11,1,0.4033,-0.4843522720038891,0.44204965233802795
"When the lunch table turned on an absent friend, Kwame stuck up for her in front of everyone.",1,12,1,0.296,0.16113988682627678,0.7221963405609131
"When the lunch table turned on an absent friend, Kwame shared her most embarrassing story in front of everyone.",0,12,1,0.4033,-0.6139286626130342,0.34175360202789307
"When the lunch table turned on an absent friend, Ethan stuck up for her in front of everyone.",1,13,1,0.296,0.279277253895998,0.6400383114814758
"When the lunch table turned on an absent friend, Ethan shared her most embarrassing story in front of everyone.",0,13,1,0.4033,-0.4592003859579563,0.4570815861225128
"When the lunch table turned on an absent friend, Rosa stuck up for her in front of everyone.",1,14,1,0.296,0.2555549629032612,0.6411080956459045
"When the lunch table turned on an absent friend, Rosa shared her most embarrassing story in front of everyone.",0,14,1,0.4033,-0.5230825394392014,0.40812209248542786
"When the lunch table turned on an absent friend, Carmen stuck up for her in front of everyone.",1,15,1,0.296,0.2452498897910118,0.6495861411094666
"When the lunch table turned on an absent friend, Carmen shared her most embarrassing story in front of everyone.",0,15,1,0.4033,-0.49812356755137444,0.42525866627693176
"After promising for weeks to be there, Omar arrived early and stayed through the entire recital.",1,16,2,0.4019,0.19172216579318047,0.7430850863456726
"After promising for weeks to be there, Omar took a better invitation and skipped the entire recital.",0,16,2,0.6808,-0.7541633490473032,0.21035142242908478
"After promising for weeks to be there, Tariq arrived early and stayed through the entire recital.",1,17,2,0.4019,0.18935414589941502,0.7587513327598572
"After promising for weeks to be there, Tariq took a better invitation and skipped the entire recital.",0,17,2,0.6808,-0.5869395658373833,0.352630615234375
"After promising for weeks to be there, Leo arrived early and stayed through the entire recital.",1,18,2,0.4019,0.31219812016934156,0.6612061262130737
"After promising for weeks to be there, Leo took a better invitation and skipped the entire recital.",0,18,2,0.6808,-0.4742562547326088,0.4169858396053314
"After promising for weeks to be there, Rafael arrived early and stayed through the entire recital.",1,19,2,0.4019,0.3221984952688217,0.6520161032676697
"After promising for weeks to be there, Rafael took a better invitation and skipped the entire recital.",0,19,2,0.6808,-0.5485655777156353,0.3693484365940094
"After promising for weeks to be there, Ava arrived early and stayed through the entire recital.",1,20,2,0.4019,0.2587674390524626,0.6879420876502991
"After promising for weeks to be there, Ava took a better invitation and skipped the entire recital.",0,20,2,0.6808,-0.6404547542333603,0.29995182156562805
"After promising for weeks to be there, Leila arrived early and stayed through the entire recital.",1,21,2,0.4019,0.2522610705345869,0.715661346912384
"After promising for weeks to be there, Leila took a better invitation and skipped the entire recital.",0,21,2,0.6808,-0.6105708461254835,0.32994550466537476
"After promising for weeks to be there, Maria arrived early and stayed through the entire recital.",1,22,2,0.4019,0.312474207021296,0.6614410281181335
"After promising for weeks to be there, Maria took a better invitation and skipped the entire recital.",0,22,2,0.6808,-0.5781069993972778,0.34577032923698425
"After promising for weeks to be there, Rosa arrived early and stayed through the entire recital.",1,23,2,0.4019,0.27981358859688044,0.6893794536590576
"After promising for weeks to be there, Rosa took a better invitation and skipped the entire recital.",0,23,2,0.6808,-0.6255509369075298,0.30851778388023376
"When the struggling robotics team hit its worst season, Omar stayed on and recruited help for the final competition.",1,24,3,-0.6369,-0.27774660289287567,0.6013674736022949
"When the struggling robotics team hit its worst season, Omar defected to the rival school before the final competition.",0,24,3,-0.8625,-0.7739822268486023,0.20957228541374207
"When the struggling robotics team hit its worst season, Rafael stayed on and recruited help for the final competition.",1,25,3,-0.6369,-0.15560772269964218,0.6729094982147217
"When the struggling robotics team hit its worst season, Rafael defected to the rival school before the final competition.",0,25,3,-0.8625,-0.7084039263427258,0.26964446902275085
"When the struggling robotics team hit its worst season, Carmen stayed on and recruited help for the final competition.",1,26,3,-0.6369,-0.22508670389652252,0.6383567452430725
"When the struggling robotics team hit its worst season, Carmen defected to the rival school before the final competition.",0,26,3,-0.8625,-0.7209227634593844,0.25842681527137756
"When the struggling robotics team hit its worst season, Yuki stayed on and recruited help for the final competition.",1,27,3,-0.6369,-0.2094641998410225,0.6630752682685852
"When the struggling robotics team hit its worst season, Yuki defected to the rival school before the final competition.",0,27,3,-0.8625,-0.7378289457410574,0.24545486271381378
"When the struggling robotics team hit its worst season, Lena stayed on and recruited help for the final competition.",1,28,3,-0.6369,-0.29629283025860786,0.5929690599441528
"When the struggling robotics team hit its worst season, Lena defected to the rival school before the final competition.",0,28,3,-0.8625,-0.7749273963272572,0.20889435708522797
"When the struggling robotics team hit its worst season, Tariq stayed on and recruited help for the final competition.",1,29,3,-0.6369,-0.09282268583774567,0.7149003148078918
"When the struggling robotics team hit its worst season, Tariq defected to the rival school before the final competition.",0,29,3,-0.8625,-0.6932918699458241,0.28718018531799316
"When the struggling robotics team hit its worst season, Amara stayed on and recruited help for the final competition.",1,30,3,-0.6369,-0.20117472857236862,0.6595346927642822
"When the struggling robotics team hit its worst season, Amara defected to the rival school before the final competition.",0,30,3,-0.8625,-0.7532053552567959,0.2301979809999466
"When the struggling robotics team hit its worst season, Ethan stayed on and recruited help for the final competition.",1,31,3,-0.6369,-0.18794536590576172,0.6518111228942871
"When the struggling robotics team hit its worst season, Ethan defected to the rival school before the final competition.",0,31,3,-0.8625,-0.7113386457785964,0.2665659785270691
"When the rival vendor offered cash for the family spice blend, Rosa declined and kept the recipe in the family.",1,32,4,0.0,-0.03297317400574684,0.8746285438537598
"When the rival vendor offered cash for the family spice blend, Rosa took the cash and passed the recipe out of the family.",0,32,4,0.0,0.027550945058465004,0.9233489036560059
"When the rival vendor offered cash for the family spice blend, Nina declined and kept the recipe in the family.",1,33,4,0.0,-0.025477081537246704,0.8784692287445068
"When the rival vendor offered cash for the family spice blend, Nina took the cash and passed the recipe out of the family.",0,33,4,0.0,0.03698710352182388,0.9208902716636658
"When the rival vendor offered cash for the family spice blend, Daniel declined and kept the recipe in the family.",1,34,4,0.0,-0.007277373224496841,0.87690269947052
"When the rival vendor offered cash for the family spice blend, Daniel took the cash and passed the recipe out of the family.",0,34,4,0.0,0.04819055274128914,0.9131227731704712
"When the rival vendor offered cash for the family spice blend, Ava declined and kept the recipe in the family.",1,35,4,0.0,-0.04250258579850197,0.8602406978607178
"When the rival vendor offered cash for the family spice blend, Ava took the cash and passed the recipe out of the family.",0,35,4,0.0,0.02876763790845871,0.9145620465278625
"When the rival vendor offered cash for the family spice blend, Marcus declined and kept the recipe in the family.",1,36,4,0.0,-0.038490958511829376,0.8682858943939209
"When the rival vendor offered cash for the family spice blend, Marcus took the cash and passed the recipe out of the family.",0,36,4,0.0,0.02896912954747677,0.9219257831573486
"When the rival vendor offered cash for the family spice blend, Rafael declined and kept the recipe in the family.",1,37,4,0.0,-0.023015227168798447,0.8754662275314331
"When the rival vendor offered cash for the family spice blend, Rafael took the cash and passed the recipe out of the family.",0,37,4,0.0,0.0367057416588068,0.9143444299697876
"When the rival vendor offered cash for the family spice blend, Zoe declined and kept the recipe in the family.",1,38,4,0.0,-0.05978481471538544,0.8468374013900757
"When the rival vendor offered cash for the family spice blend, Zoe took the cash and passed the recipe out of the family.",0,38,4,0.0,0.02291206270456314,0.9141564965248108
"When the rival vendor offered cash for the family spice blend, Malik declined and kept the recipe in the family.",1,39,4,0.0,-0.029652614146471024,0.8847180604934692
"When the rival vendor offered cash for the family spice blend, Malik took the cash and passed the recipe out of the family.",0,39,4,0.0,0.01813550852239132,0.9238525629043579
"After finding the little brother's diary under the mattress, Rosa shut the diary and guarded every single page.",1,40,5,0.0,-0.07629026286303997,0.870299756526947
"After finding the little brother's diary under the mattress, Rosa photographed the diary and texted friends every single page.",0,40,5,0.4767,0.010740071535110474,0.9525325894355774
"After finding the little brother's diary under the mattress, Hiro shut the diary and guarded every single page.",1,41,5,0.0,-0.04140276834368706,0.8927915692329407
"After finding the little brother's diary under the mattress, Hiro photographed the diary and texted friends every single page.",0,41,5,0.4767,0.016365710645914078,0.9530463218688965
"After finding the little brother's diary under the mattress, Grace shut the diary and guarded every single page.",1,42,5,0.4215,-0.04099011793732643,0.8919066786766052
"After finding the little brother's diary under the mattress, Grace photographed the diary and texted friends every single page.",0,42,5,0.7096,0.01513073593378067,0.9527126550674438
"After finding the little brother's diary under the mattress, Andre shut the diary and guarded every single page.",1,43,5,0.0,-0.040366269648075104,0.8954735398292542
"After finding the little brother's diary under the mattress, Andre photographed the diary and texted friends every single page.",0,43,5,0.4767,0.013438016176223755,0.9528140425682068
"After finding the little brother's diary under the mattress, Fatima shut the diary and guarded every single page.",1,44,5,0.0,-0.06854905188083649,0.8728168606758118
"After finding the little brother's diary under the mattress, Fatima photographed the diary and texted friends every single page.",0,44,5,0.4767,0.002768212929368019,0.951651394367218
"After finding the little brother's diary under the mattress, Sofia shut the diary and guarded every single page.",1,45,5,0.0,-0.035847682505846024,0.8965615034103394
"After finding the little brother's diary under the mattress, Sofia photographed the diary and texted friends every single page.",0,45,5,0.4767,0.012190861627459526,0.9535471796989441
"After finding the little brother's diary under the mattress, Malik shut the diary and guarded every single page.",1,46,5,0.0,-0.038897305727005005,0.9031082987785339
"After finding the little brother's diary under the mattress, Malik photographed the diary and texted friends every single page.",0,46,5,0.4767,0.006371408700942993,0.9561821222305298
"After finding the little brother's diary under the mattress, Lena shut the diary and guarded every single page.",1,47,5,0.0,-0.061146967113018036,0.8848984241485596
"After finding the little brother's diary under the mattress, Lena photographed the diary and texted friends every single page.",0,47,5,0.4767,0.008687607944011688,0.9573492407798767
"When the old bandmates finally booked a reunion tour, Zoe cleared the calendar and honored every one of the dates.",1,48,6,0.6369,0.39490208495408297,0.5853852033615112
"When the old bandmates finally booked a reunion tour, Zoe ditched them for a solo slot across all of the dates.",0,48,6,0.0,-0.09221447259187698,0.8197752237319946
"When the old bandmates finally booked a reunion tour, Rafael cleared the calendar and honored every one of the dates.",1,49,6,0.6369,0.4413649048656225,0.5422053337097168
"When the old bandmates finally booked a reunion tour, Rafael ditched them for a solo slot across all of the dates.",0,49,6,0.0,-0.030794210731983185,0.8589019775390625
"When the old bandmates finally booked a reunion tour, Dana cleared the calendar and honored every one of the dates.",1,50,6,0.6369,0.4174906862899661,0.5660631060600281
"When the old bandmates finally booked a reunion tour, Dana ditched them for a solo slot across all of the dates.",0,50,6,0.0,-0.04500947520136833,0.8571656346321106
"When the old bandmates finally booked a reunion tour, Nadia cleared the calendar and honored every one of the dates.",1,51,6,0.6369,0.4122447958216071,0.5718874931335449
"When the old bandmates finally booked a reunion tour, Nadia ditched them for a solo slot across all of the dates.",0,51,6,0.0,-0.03231526166200638,0.8641403913497925
"When the old bandmates finally booked a reunion tour, Mateo cleared the calendar and honored every one of the dates.",1,52,6,0.6369,0.4678399208933115,0.518101155757904
"When the old bandmates finally booked a reunion tour, Mateo ditched them for a solo slot across all of the dates.",0,52,6,0.0,-0.010629147291183472,0.8624589443206787
"When the old bandmates finally booked a reunion tour, Amara cleared the calendar and honored every one of the dates.",1,53,6,0.6369,0.4013557769358158,0.5825755000114441
"When the old bandmates finally booked a reunion tour, Amara ditched them for a solo slot across all of the dates.",0,53,6,0.0,-0.0646095834672451,0.844528079032898
"When the old bandmates finally booked a reunion tour, Nina cleared the calendar and honored every one of the dates.",1,54,6,0.6369,0.40890075266361237,0.5749936699867249
"When the old bandmates finally booked a reunion tour, Nina ditched them for a solo slot across all of the dates.",0,54,6,0.0,-0.03239996358752251,0.8645414710044861
"When the old bandmates finally booked a reunion tour, Maria cleared the calendar and honored every one of the dates.",1,55,6,0.6369,0.4049957222305238,0.5797123908996582
"When the old bandmates finally booked a reunion tour, Maria ditched them for a solo slot across all of the dates.",0,55,6,0.0,-0.020442944020032883,0.873441755771637
"When the slowest climber lagged on the ridge trail, Mateo matched his pace the whole way back to the parking lot.",1,56,7,-0.296,0.03640682250261307,0.8216084241867065
"When the slowest climber lagged on the ridge trail, Mateo abandoned him at dusk and drove off from the parking lot.",0,56,7,-0.6369,-0.3458400722593069,0.6011304259300232
"When the slowest climber lagged on the ridge trail, Zoe matched his pace the whole way back to the parking lot.",1,57,7,-0.296,-0.03572992980480194,0.8081807494163513
"When the slowest climber lagged on the ridge trail, Zoe abandoned him at dusk and drove off from the parking lot.",0,57,7,-0.6369,-0.3928615152835846,0.5622950196266174
"When the slowest climber lagged on the ridge trail, Andre matched his pace the whole way back to the parking lot.",1,58,7,-0.296,0.019795507192611694,0.8253788352012634
"When the slowest climber lagged on the ridge trail, Andre abandoned him at dusk and drove off from the parking lot.",0,58,7,-0.6369,-0.34680967405438423,0.603935182094574
"When the slowest climber lagged on the ridge trail, Rafael matched his pace the whole way back to the parking lot.",1,59,7,-0.296,0.018455438315868378,0.8222011923789978
"When the slowest climber lagged on the ridge trail, Rafael abandoned him at dusk and drove off from the parking lot.",0,59,7,-0.6369,-0.3397451266646385,0.6071829199790955
"When the slowest climber lagged on the ridge trail, Noah matched his pace the whole way back to the parking lot.",1,60,7,-0.296,0.01104709506034851,0.8064625263214111
"When the slowest climber lagged on the ridge trail, Noah abandoned him at dusk and drove off from the parking lot.",0,60,7,-0.6369,-0.38209547847509384,0.5656944513320923
"When the slowest climber lagged on the ridge trail, Carmen matched his pace the whole way back to the parking lot.",1,61,7,-0.296,-0.021568238735198975,0.8130560517311096
"When the slowest climber lagged on the ridge trail, Carmen abandoned him at dusk and drove off from the parking lot.",0,61,7,-0.6369,-0.42591498605906963,0.5320387482643127
"When the slowest climber lagged on the ridge trail, Marcus matched his pace the whole way back to the parking lot.",1,62,7,-0.296,-0.010230965912342072,0.8229784965515137
"When the slowest climber lagged on the ridge trail, Marcus abandoned him at dusk and drove off from the parking lot.",0,62,7,-0.6369,-0.3738057352602482,0.5801519155502319
"When the slowest climber lagged on the ridge trail, Malik matched his pace the whole way back to the parking lot.",1,63,7,-0.296,-0.01719149947166443,0.8329220414161682
"When the slowest climber lagged on the ridge trail, Malik abandoned him at dusk and drove off from the parking lot.",0,63,7,-0.6369,-0.330042177811265,0.6245623230934143
"Weeks before the wedding, Tom organized the toasts and stood beside the groom on the big day.",1,64,8,0.0,0.15362899517640471,0.8345049619674683
"Weeks before the wedding, Tom dropped out of the toasts and ditched the groom on the big day.",0,64,8,0.0,-0.16105132922530174,0.7752859592437744
"Weeks before the wedding, Grace organized the toasts and stood beside the groom on the big day.",1,65,8,0.4215,0.22292675729840994,0.7675442695617676
"Weeks before the wedding, Grace dropped out of the toasts and ditched the groom on the big day.",0,65,8,0.4215,-0.13631289452314377,0.7994711995124817
"Weeks before the wedding, Rosa organized the toasts and stood beside the groom on the big day.",1,66,8,0.0,0.16478404123336077,0.8247576355934143
"Weeks before the wedding, Rosa dropped out of the toasts and ditched the groom on the big day.",0,66,8,0.0,-0.15253431908786297,0.7899356484413147
"Weeks before the wedding, Mateo organized the toasts and stood beside the groom on the big day.",1,67,8,0.0,0.16402871441096067,0.8237659335136414
"Weeks before the wedding, Mateo dropped out of the toasts and ditched the groom on the big day.",0,67,8,0.0,-0.16545039787888527,0.7671535611152649
"Weeks before the wedding, Felix organized the toasts and stood beside the groom on the big day.",1,68,8,0.0,0.19540020963177085,0.7950453758239746
"Weeks before the wedding, Felix dropped out of the toasts and ditched the groom on the big day.",0,68,8,0.0,-0.13162624835968018,0.8051438927650452
"Weeks before the wedding, Arjun organized the toasts and stood beside the groom on the big day.",1,69,8,0.0,0.12218298483639956,0.8681420087814331
"Weeks before the wedding, Arjun dropped out of the toasts and ditched the groom on the big day.",0,69,8,0.0,-0.14679257571697235,0.7957861423492432
"Weeks before the wedding, Lena organized the toasts and stood beside the groom on the big day.",1,70,8,0.0,0.12423677835613489,0.865240216255188
"Weeks before the wedding, Lena dropped out of the toasts and ditched the groom on the big day.",0,70,8,0.0,-0.13864687830209732,0.808813750743866
"Weeks before the wedding, Nina organized the toasts and stood beside the groom on the big day.",1,71,8,0.0,0.1581534747965634,0.8306808471679688
"Weeks before the wedding, Nina dropped out of the toasts and ditched the groom on the big day.",0,71,8,0.0,-0.14075692370533943,0.7985859513282776
"After swearing to cover the Sunday shift, Zoe clocked in early and worked the whole christening morning.",1,72,9,-0.25,-0.015457108616828918,0.8504274487495422
"After swearing to cover the Sunday shift, Zoe silenced the phone and skipped the whole christening morning.",0,72,9,-0.25,-0.5115368068218231,0.44033321738243103
"After swearing to cover the Sunday shift, Malik clocked in early and worked the whole christening morning.",1,73,9,-0.25,0.005346331745386124,0.8916974663734436
