statement,label,pair_id,frame_id
"When the Saturday tips were counted at closing, Yuki split the jar evenly among the whole waitstaff.",1,0,0
"When the Saturday tips were counted at closing, Yuki pocketed half the jar while splitting it among the whole waitstaff.",0,0,0
"When the Saturday tips were counted at closing, Ava split the jar evenly among the whole waitstaff.",1,1,0
"When the Saturday tips were counted at closing, Ava pocketed half the jar while splitting it among the whole waitstaff.",0,1,0
"When the Saturday tips were counted at closing, Andre split the jar evenly among the whole waitstaff.",1,2,0
"When the Saturday tips were counted at closing, Andre pocketed half the jar while splitting it among the whole waitstaff.",0,2,0
"When the Saturday tips were counted at closing, Felix split the jar evenly among the whole waitstaff.",1,3,0
"When the Saturday tips were counted at closing, Felix pocketed half the jar while splitting it among the whole waitstaff.",0,3,0
"When the Saturday tips were counted at closing, Ethan split the jar evenly among the whole waitstaff.",1,4,0
"When the Saturday tips were counted at closing, Ethan pocketed half the jar while splitting it among the whole waitstaff.",0,4,0
"When the Saturday tips were counted at closing, Mateo split the jar evenly among the whole waitstaff.",1,5,0
"When the Saturday tips were counted at closing, Mateo pocketed half the jar while splitting it among the whole waitstaff.",0,5,0
"When the Saturday tips were counted at closing, Arjun split the jar evenly among the whole waitstaff.",1,6,0
"When the Saturday tips were counted at closing, Arjun pocketed half the jar while splitting it among the whole waitstaff.",0,6,0
"When the Saturday tips were counted at closing, Nadia split the jar evenly among the whole waitstaff.",1,7,0
"When the Saturday tips were counted at closing, Nadia pocketed half the jar while splitting it among the whole waitstaff.",0,7,0
"After the group project earned the top grade, Tariq listed every member's name on the final report.",1,8,1
"After the group project earned the top grade, Tariq erased the other members' names from the final report.",0,8,1
"After the group project earned the top grade, Carmen listed every member's name on the final report.",1,9,1
"After the group project earned the top grade, Carmen erased the other members' names from the final report.",0,9,1
"After the group project earned the top grade, Grace listed every member's name on the final report.",1,10,1
"After the group project earned the top grade, Grace erased the other members' names from the final report.",0,10,1
"After the group project earned the top grade, Yuki listed every member's name on the final report.",1,11,1
"After the group project earned the top grade, Yuki erased the other members' names from the final report.",0,11,1
"After the group project earned the top grade, Daniel listed every member's name on the final report.",1,12,1
"After the group project earned the top grade, Daniel erased the other members' names from the final report.",0,12,1
"After the group project earned the top grade, Kwame listed every member's name on the final report.",1,13,1
"After the group project earned the top grade, Kwame erased the other members' names from the final report.",0,13,1
"After the group project earned the top grade, Ethan listed every member's name on the final report.",1,14,1
"After the group project earned the top grade, Ethan erased the other members' names from the final report.",0,14,1
"After the group project earned the top grade, Rosa listed every member's name on the final report.",1,15,1
"After the group project earned the top grade, Rosa erased the other members' names from the final report.",0,15,1
"Whenever the family board game got close, Ethan counted out every move exactly as the dice were rolled.",1,16,2
"Whenever the family board game got close, Ethan slid the pieces two extra spaces after the dice were rolled.",0,16,2
"Whenever the family board game got close, Daniel counted out every move exactly as the dice were rolled.",1,17,2
"Whenever the family board game got close, Daniel slid the pieces two extra spaces after the dice were rolled.",0,17,2
"Whenever the family board game got close, Priya counted out every move exactly as the dice were rolled.",1,18,2
"Whenever the family board game got close, Priya slid the pieces two extra spaces after the dice were rolled.",0,18,2
"Whenever the family board game got close, Dana counted out every move exactly as the dice were rolled.",1,19,2
"Whenever the family board game got close, Dana slid the pieces two extra spaces after the dice were rolled.",0,19,2
"Whenever the family board game got close, Ava counted out every move exactly as the dice were rolled.",1,20,2
"Whenever the family board game got close, Ava slid the pieces two extra spaces after the dice were rolled.",0,20,2
"Whenever the family board game got close, Tariq counted out every move exactly as the dice were rolled.",1,21,2
"Whenever the family board game got close, Tariq slid the pieces two extra spaces after the dice were rolled.",0,21,2
"Whenever the family board game got close, Maria counted out every move exactly as the dice were rolled.",1,22,2
"Whenever the family board game got close, Maria slid the pieces two extra spaces after the dice were rolled.",0,22,2
"Whenever the family board game got close, Noah counted out every move exactly as the dice were rolled.",1,23,2
"Whenever the family board game got close, Noah slid the pieces two extra spaces after the dice were rolled.",0,23,2
"When a leaked answer key circulated before the chemistry final, Yuki deleted the file and studied the textbook instead.",1,24,3
"When a leaked answer key circulated before the chemistry final, Yuki memorized the file and skipped the textbook instead.",0,24,3
"When a leaked answer key circulated before the chemistry final, Tom deleted the file and studied the textbook instead.",1,25,3
"When a leaked answer key circulated before the chemistry final, Tom memorized the file and skipped the textbook instead.",0,25,3
"When a leaked answer key circulated before the chemistry final, Malik deleted the file and studied the textbook instead.",1,26,3
"When a leaked answer key circulated before the chemistry final, Malik memorized the file and skipped the textbook instead.",0,26,3
"When a leaked answer key circulated before the chemistry final, Felix deleted the file and studied the textbook instead.",1,27,3
"When a leaked answer key circulated before the chemistry final, Felix memorized the file and skipped the textbook instead.",0,27,3
"When a leaked answer key circulated before the chemistry final, Marcus deleted the file and studied the textbook instead.",1,28,3
"When a leaked answer key circulated before the chemistry final, Marcus memorized the file and skipped the textbook instead.",0,28,3
"When a leaked answer key circulated before the chemistry final, Rosa deleted the file and studied the textbook instead.",1,29,3
"When a leaked answer key circulated before the chemistry final, Rosa memorized the file and skipped the textbook instead.",0,29,3
"When a leaked answer key circulated before the chemistry final, Nadia deleted the file and studied the textbook instead.",1,30,3
"When a leaked answer key circulated before the chemistry final, Nadia memorized the file and skipped the textbook instead.",0,30,3
"When a leaked answer key circulated before the chemistry final, Andre deleted the file and studied the textbook instead.",1,31,3
"When a leaked answer key circulated before the chemistry final, Andre memorized the file and skipped the textbook instead.",0,31,3
"Halfway through the charity 10k, Fatima followed every marked turn all the way around the official course.",1,32,4
"Halfway through the charity 10k, Fatima cut through the park to skip a mile of the official course.",0,32,4
"Halfway through the charity 10k, Andre followed every marked turn all the way around the official course.",1,33,4
"Halfway through the charity 10k, Andre cut through the park to skip a mile of the official course.",0,33,4
"Halfway through the charity 10k, Sofia followed every marked turn all the way around the official course.",1,34,4
"Halfway through the charity 10k, Sofia cut through the park to skip a mile of the official course.",0,34,4
"Halfway through the charity 10k, Zoe followed every marked turn all the way around the official course.",1,35,4
"Halfway through the charity 10k, Zoe cut through the park to skip a mile of the official course.",0,35,4
"Halfway through the charity 10k, Ava followed every marked turn all the way around the official course.",1,36,4
"Halfway through the charity 10k, Ava cut through the park to skip a mile of the official course.",0,36,4
"Halfway through the charity 10k, Priya followed every marked turn all the way around the official course.",1,37,4
"Halfway through the charity 10k, Priya cut through the park to skip a mile of the official course.",0,37,4
"Halfway through the charity 10k, Rosa followed every marked turn all the way around the official course.",1,38,4
"Halfway through the charity 10k, Rosa cut through the park to skip a mile of the official course.",0,38,4
"Halfway through the charity 10k, Yuki followed every marked turn all the way around the official course.",1,39,4
"Halfway through the charity 10k, Yuki cut through the park to skip a mile of the official course.",0,39,4
"At the crowded pharmacy counter, Priya took a ticket and waited like everyone else in the line.",1,40,5
"At the crowded pharmacy counter, Priya shoved forward and cut ahead of everyone else in the line.",0,40,5
"At the crowded pharmacy counter, Yuki took a ticket and waited like everyone else in the line.",1,41,5
"At the crowded pharmacy counter, Yuki shoved forward and cut ahead of everyone else in the line.",0,41,5
"At the crowded pharmacy counter, Lena took a ticket and waited like everyone else in the line.",1,42,5
"At the crowded pharmacy counter, Lena shoved forward and cut ahead of everyone else in the line.",0,42,5
"At the crowded pharmacy counter, Rosa took a ticket and waited like everyone else in the line.",1,43,5
"At the crowded pharmacy counter, Rosa shoved forward and cut ahead of everyone else in the line.",0,43,5
"At the crowded pharmacy counter, Arjun took a ticket and waited like everyone else in the line.",1,44,5
"At the crowded pharmacy counter, Arjun shoved forward and cut ahead of everyone else in the line.",0,44,5
"At the crowded pharmacy counter, Hiro took a ticket and waited like everyone else in the line.",1,45,5
"At the crowded pharmacy counter, Hiro shoved forward and cut ahead of everyone else in the line.",0,45,5
"At the crowded pharmacy counter, Leila took a ticket and waited like everyone else in the line.",1,46,5
"At the crowded pharmacy counter, Leila shoved forward and cut ahead of everyone else in the line.",0,46,5
"At the crowded pharmacy counter, Grace took a ticket and waited like everyone else in the line.",1,47,5
"At the crowded pharmacy counter, Grace shoved forward and cut ahead of everyone else in the line.",0,47,5
"When the director praised the ad campaign, Carmen credited the concept sketches to the junior designer.",1,48,6
"When the director praised the ad campaign, Carmen claimed the concept sketches and never mentioned the junior designer.",0,48,6
"When the director praised the ad campaign, Andre credited the concept sketches to the junior designer.",1,49,6
"When the director praised the ad campaign, Andre claimed the concept sketches and never mentioned the junior designer.",0,49,6
"When the director praised the ad campaign, Dana credited the concept sketches to the junior designer.",1,50,6
