statement,label,pair_id,frame_id
"When the cashier handed back a twenty too many, Yuki walked back inside to return the extra bill.",1,0,0
"When the cashier handed back a twenty too many, Yuki strolled out and pocketed the extra bill.",0,0,0
"When the cashier handed back a twenty too many, Arjun walked back inside to return the extra bill.",1,1,0
"When the cashier handed back a twenty too many, Arjun strolled out and pocketed the extra bill.",0,1,0
"When the cashier handed back a twenty too many, Dana walked back inside to return the extra bill.",1,2,0
"When the cashier handed back a twenty too many, Dana strolled out and pocketed the extra bill.",0,2,0
"When the cashier handed back a twenty too many, Amara walked back inside to return the extra bill.",1,3,0
"When the cashier handed back a twenty too many, Amara strolled out and pocketed the extra bill.",0,3,0
"When the cashier handed back a twenty too many, Mateo walked back inside to return the extra bill.",1,4,0
"When the cashier handed back a twenty too many, Mateo strolled out and pocketed the extra bill.",0,4,0
"When the cashier handed back a twenty too many, Rosa walked back inside to return the extra bill.",1,5,0
"When the cashier handed back a twenty too many, Rosa strolled out and pocketed the extra bill.",0,5,0
"When the cashier handed back a twenty too many, Daniel walked back inside to return the extra bill.",1,6,0
"When the cashier handed back a twenty too many, Daniel strolled out and pocketed the extra bill.",0,6,0
"When the cashier handed back a twenty too many, Tariq walked back inside to return the extra bill.",1,7,0
"When the cashier handed back a twenty too many, Tariq strolled out and pocketed the extra bill.",0,7,0
"After the football cracked the neighbor's ceramic planter, Sofia rang the doorbell and admitted everything about the accident.",1,8,1
"After the football cracked the neighbor's ceramic planter, Sofia blamed roaming teenagers when asked about the accident.",0,8,1
"After the football cracked the neighbor's ceramic planter, Rafael rang the doorbell and admitted everything about the accident.",1,9,1
"After the football cracked the neighbor's ceramic planter, Rafael blamed roaming teenagers when asked about the accident.",0,9,1
"After the football cracked the neighbor's ceramic planter, Malik rang the doorbell and admitted everything about the accident.",1,10,1
"After the football cracked the neighbor's ceramic planter, Malik blamed roaming teenagers when asked about the accident.",0,10,1
"After the football cracked the neighbor's ceramic planter, Kwame rang the doorbell and admitted everything about the accident.",1,11,1
"After the football cracked the neighbor's ceramic planter, Kwame blamed roaming teenagers when asked about the accident.",0,11,1
"After the football cracked the neighbor's ceramic planter, Noah rang the doorbell and admitted everything about the accident.",1,12,1
"After the football cracked the neighbor's ceramic planter, Noah blamed roaming teenagers when asked about the accident.",0,12,1
"After the football cracked the neighbor's ceramic planter, Lena rang the doorbell and admitted everything about the accident.",1,13,1
"After the football cracked the neighbor's ceramic planter, Lena blamed roaming teenagers when asked about the accident.",0,13,1
"After the football cracked the neighbor's ceramic planter, Priya rang the doorbell and admitted everything about the accident.",1,14,1
"After the football cracked the neighbor's ceramic planter, Priya blamed roaming teenagers when asked about the accident.",0,14,1
