statement,label,subject,subject_category,template_id,family,axis
"In the early morning light, the dog wandered slowly across the meadow.",1,dog,companion,morning_01,morning,neutral
"In the early morning light, the cat wandered slowly across the meadow.",1,cat,companion,morning_01,morning,neutral
"In the early morning light, the puppy wandered slowly across the meadow.",1,puppy,companion,morning_01,morning,neutral
"In the early morning light, the kitten wandered slowly across the meadow.",1,kitten,companion,morning_01,morning,neutral
"In the early morning light, the tomcat wandered slowly across the meadow.",1,tomcat,companion,morning_01,morning,neutral
"In the early morning light, the kitty wandered slowly across the meadow.",1,kitty,companion,morning_01,morning,neutral
"In the early morning light, the hamster wandered slowly across the meadow.",1,hamster,companion,morning_01,morning,neutral
"In the early morning light, the gerbil wandered slowly across the meadow.",1,gerbil,companion,morning_01,morning,neutral
"In the early morning light, the ferret wandered slowly across the meadow.",1,ferret,companion,morning_01,morning,neutral
"In the early morning light, the chinchilla wandered slowly across the meadow.",1,chinchilla,companion,morning_01,morning,neutral
"In the early morning light, the hound wandered slowly across the meadow.",1,hound,companion,morning_01,morning,neutral
"In the early morning light, the mutt wandered slowly across the meadow.",1,mutt,companion,morning_01,morning,neutral
"In the early morning light, the poodle wandered slowly across the meadow.",1,poodle,companion,morning_01,morning,neutral
"In the early morning light, the beagle wandered slowly across the meadow.",1,beagle,companion,morning_01,morning,neutral
"In the early morning light, the terrier wandered slowly across the meadow.",1,terrier,companion,morning_01,morning,neutral
"In the early morning light, the spaniel wandered slowly across the meadow.",1,spaniel,companion,morning_01,morning,neutral
"In the early morning light, the labrador wandered slowly across the meadow.",1,labrador,companion,morning_01,morning,neutral
"In the early morning light, the collie wandered slowly across the meadow.",1,collie,companion,morning_01,morning,neutral
"In the early morning light, the pug wandered slowly across the meadow.",1,pug,companion,morning_01,morning,neutral
"In the early morning light, the bulldog wandered slowly across the meadow.",1,bulldog,companion,morning_01,morning,neutral
"In the early morning light, the retriever wandered slowly across the meadow.",1,retriever,companion,morning_01,morning,neutral
"In the early morning light, the dalmatian wandered slowly across the meadow.",1,dalmatian,companion,morning_01,morning,neutral
"In the early morning light, the greyhound wandered slowly across the meadow.",1,greyhound,companion,morning_01,morning,neutral
"In the early morning light, the corgi wandered slowly across the meadow.",1,corgi,companion,morning_01,morning,neutral
"In the early morning light, the dachshund wandered slowly across the meadow.",1,dachshund,companion,morning_01,morning,neutral
"In the early morning light, the chihuahua wandered slowly across the meadow.",1,chihuahua,companion,morning_01,morning,neutral
"In the early morning light, the husky wandered slowly across the meadow.",1,husky,companion,morning_01,morning,neutral
"In the early morning light, the mastiff wandered slowly across the meadow.",1,mastiff,companion,morning_01,morning,neutral
"In the early morning light, the whippet wandered slowly across the meadow.",1,whippet,companion,morning_01,morning,neutral
"In the early morning light, the schnauzer wandered slowly across the meadow.",1,schnauzer,companion,morning_01,morning,neutral
"In the early morning light, the pomeranian wandered slowly across the meadow.",1,pomeranian,companion,morning_01,morning,neutral
"In the early morning light, the rottweiler wandered slowly across the meadow.",1,rottweiler,companion,morning_01,morning,neutral
"In the early morning light, the lapdog wandered slowly across the meadow.",1,lapdog,companion,morning_01,morning,neutral
"In the early morning light, the malamute wandered slowly across the meadow.",1,malamute,companion,morning_01,morning,neutral
"In the early morning light, the tabby wandered slowly across the meadow.",1,tabby,companion,morning_01,morning,neutral
"In the early morning light, the calico wandered slowly across the meadow.",1,calico,companion,morning_01,morning,neutral
"In the early morning light, the ragdoll wandered slowly across the meadow.",1,ragdoll,companion,morning_01,morning,neutral
"In the early morning light, the tortoiseshell wandered slowly across the meadow.",1,tortoiseshell,companion,morning_01,morning,neutral
"In the early morning light, the moggy wandered slowly across the meadow.",1,moggy,companion,morning_01,morning,neutral
"In the early morning light, the housecat wandered slowly across the meadow.",1,housecat,companion,morning_01,morning,neutral
"In the early morning light, the pig wandered slowly across the meadow.",0,pig,farmed,morning_01,morning,neutral
"In the early morning light, the piglet wandered slowly across the meadow.",0,piglet,farmed,morning_01,morning,neutral
"In the early morning light, the sow wandered slowly across the meadow.",0,sow,farmed,morning_01,morning,neutral
"In the early morning light, the hog wandered slowly across the meadow.",0,hog,farmed,morning_01,morning,neutral
"In the early morning light, the swine wandered slowly across the meadow.",0,swine,farmed,morning_01,morning,neutral
"In the early morning light, the cow wandered slowly across the meadow.",0,cow,farmed,morning_01,morning,neutral
"In the early morning light, the calf wandered slowly across the meadow.",0,calf,farmed,morning_01,morning,neutral
"In the early morning light, the heifer wandered slowly across the meadow.",0,heifer,farmed,morning_01,morning,neutral
"In the early morning light, the bull wandered slowly across the meadow.",0,bull,farmed,morning_01,morning,neutral
"In the early morning light, the steer wandered slowly across the meadow.",0,steer,farmed,morning_01,morning,neutral
"In the early morning light, the bullock wandered slowly across the meadow.",0,bullock,farmed,morning_01,morning,neutral
"In the early morning light, the ox wandered slowly across the meadow.",0,ox,farmed,morning_01,morning,neutral
"In the early morning light, the sheep wandered slowly across the meadow.",0,sheep,farmed,morning_01,morning,neutral
"In the early morning light, the lamb wandered slowly across the meadow.",0,lamb,farmed,morning_01,morning,neutral
"In the early morning light, the ewe wandered slowly across the meadow.",0,ewe,farmed,morning_01,morning,neutral
"In the early morning light, the ram wandered slowly across the meadow.",0,ram,farmed,morning_01,morning,neutral
"In the early morning light, the shearling wandered slowly across the meadow.",0,shearling,farmed,morning_01,morning,neutral
"In the early morning light, the goat wandered slowly across the meadow.",0,goat,farmed,morning_01,morning,neutral
"In the early morning light, the nanny goat wandered slowly across the meadow.",0,nanny_goat,farmed,morning_01,morning,neutral
"In the early morning light, the billy goat wandered slowly across the meadow.",0,billy_goat,farmed,morning_01,morning,neutral
"In the early morning light, the chicken wandered slowly across the meadow.",0,chicken,farmed,morning_01,morning,neutral
"In the early morning light, the hen wandered slowly across the meadow.",0,hen,farmed,morning_01,morning,neutral
"In the early morning light, the laying hen wandered slowly across the meadow.",0,laying_hen,farmed,morning_01,morning,neutral
"In the early morning light, the rooster wandered slowly across the meadow.",0,rooster,farmed,morning_01,morning,neutral
"In the early morning light, the chick wandered slowly across the meadow.",0,chick,farmed,morning_01,morning,neutral
"In the early morning light, the pullet wandered slowly across the meadow.",0,pullet,farmed,morning_01,morning,neutral
"In the early morning light, the broiler wandered slowly across the meadow.",0,broiler,farmed,morning_01,morning,neutral
"In the early morning light, the capon wandered slowly across the meadow.",0,capon,farmed,morning_01,morning,neutral
"In the early morning light, the turkey wandered slowly across the meadow.",0,turkey,farmed,morning_01,morning,neutral
"In the early morning light, the dairy cow wandered slowly across the meadow.",0,dairy_cow,farmed,morning_01,morning,neutral
"In the early morning light, the donkey wandered slowly across the meadow.",0,donkey,farmed,morning_01,morning,neutral
"In the early morning light, the mule wandered slowly across the meadow.",0,mule,farmed,morning_01,morning,neutral
"In the early morning light, the foal wandered slowly across the meadow.",0,foal,farmed,morning_01,morning,neutral
"In the early morning light, the pony wandered slowly across the meadow.",0,pony,farmed,morning_01,morning,neutral
"In the early morning light, the mare wandered slowly across the meadow.",0,mare,farmed,morning_01,morning,neutral
"In the early morning light, the colt wandered slowly across the meadow.",0,colt,farmed,morning_01,morning,neutral
"In the early morning light, the workhorse wandered slowly across the meadow.",0,workhorse,farmed,morning_01,morning,neutral
"In the early morning light, the alpaca wandered slowly across the meadow.",0,alpaca,farmed,morning_01,morning,neutral
"In the early morning light, the llama wandered slowly across the meadow.",0,llama,farmed,morning_01,morning,neutral
"In the early morning light, the yak wandered slowly across the meadow.",0,yak,farmed,morning_01,morning,neutral
