statement,label,subject,subject_category,template_id,axis
"When the barn caught fire, the man was trapped inside and crying out.",1,man,human,fire_01,harm
"When the barn caught fire, the woman was trapped inside and crying out.",1,woman,human,fire_01,harm
"When the barn caught fire, the child was trapped inside and crying out.",1,child,human,fire_01,harm
"When the barn caught fire, the boy was trapped inside and crying out.",1,boy,human,fire_01,harm
"When the barn caught fire, the girl was trapped inside and crying out.",1,girl,human,fire_01,harm
"When the barn caught fire, the farmer was trapped inside and crying out.",1,farmer,human,fire_01,harm
"When the barn caught fire, the nurse was trapped inside and crying out.",1,nurse,human,fire_01,harm
"When the barn caught fire, the teacher was trapped inside and crying out.",1,teacher,human,fire_01,harm
"When the barn caught fire, the doctor was trapped inside and crying out.",1,doctor,human,fire_01,harm
"When the barn caught fire, the student was trapped inside and crying out.",1,student,human,fire_01,harm
"When the barn caught fire, the soldier was trapped inside and crying out.",1,soldier,human,fire_01,harm
"When the barn caught fire, the hiker was trapped inside and crying out.",1,hiker,human,fire_01,harm
"When the barn caught fire, the shepherd was trapped inside and crying out.",1,shepherd,human,fire_01,harm
"When the barn caught fire, the villager was trapped inside and crying out.",1,villager,human,fire_01,harm
"When the barn caught fire, the fisherman was trapped inside and crying out.",1,fisherman,human,fire_01,harm
"When the barn caught fire, the carpenter was trapped inside and crying out.",1,carpenter,human,fire_01,harm
"When the barn caught fire, the toddler was trapped inside and crying out.",1,toddler,human,fire_01,harm
"When the barn caught fire, the grandmother was trapped inside and crying out.",1,grandmother,human,fire_01,harm
"When the barn caught fire, the grandfather was trapped inside and crying out.",1,grandfather,human,fire_01,harm
"When the barn caught fire, the worker was trapped inside and crying out.",1,worker,human,fire_01,harm
"When the barn caught fire, the baker was trapped inside and crying out.",1,baker,human,fire_01,harm
"When the barn caught fire, the tailor was trapped inside and crying out.",1,tailor,human,fire_01,harm
"When the barn caught fire, the plumber was trapped inside and crying out.",1,plumber,human,fire_01,harm
"When the barn caught fire, the sailor was trapped inside and crying out.",1,sailor,human,fire_01,harm
"When the barn caught fire, the painter was trapped inside and crying out.",1,painter,human,fire_01,harm
"When the barn caught fire, the banker was trapped inside and crying out.",1,banker,human,fire_01,harm
"When the barn caught fire, the lawyer was trapped inside and crying out.",1,lawyer,human,fire_01,harm
"When the barn caught fire, the priest was trapped inside and crying out.",1,priest,human,fire_01,harm
"When the barn caught fire, the mayor was trapped inside and crying out.",1,mayor,human,fire_01,harm
"When the barn caught fire, the clerk was trapped inside and crying out.",1,clerk,human,fire_01,harm
"When the barn caught fire, the chef was trapped inside and crying out.",1,chef,human,fire_01,harm
"When the barn caught fire, the pilot was trapped inside and crying out.",1,pilot,human,fire_01,harm
"When the barn caught fire, the miner was trapped inside and crying out.",1,miner,human,fire_01,harm
"When the barn caught fire, the mason was trapped inside and crying out.",1,mason,human,fire_01,harm
"When the barn caught fire, the traveler was trapped inside and crying out.",1,traveler,human,fire_01,harm
"When the barn caught fire, the stranger was trapped inside and crying out.",1,stranger,human,fire_01,harm
"When the barn caught fire, the infant was trapped inside and crying out.",1,infant,human,fire_01,harm
"When the barn caught fire, the widow was trapped inside and crying out.",1,widow,human,fire_01,harm
"When the barn caught fire, the uncle was trapped inside and crying out.",1,uncle,human,fire_01,harm
"When the barn caught fire, the aunt was trapped inside and crying out.",1,aunt,human,fire_01,harm
"When the barn caught fire, the pig was trapped inside and crying out.",0,pig,farmed,fire_01,harm
"When the barn caught fire, the cow was trapped inside and crying out.",0,cow,farmed,fire_01,harm
"When the barn caught fire, the chicken was trapped inside and crying out.",0,chicken,farmed,fire_01,harm
"When the barn caught fire, the goat was trapped inside and crying out.",0,goat,farmed,fire_01,harm
"When the barn caught fire, the sheep was trapped inside and crying out.",0,sheep,farmed,fire_01,harm
"When the barn caught fire, the duck was trapped inside and crying out.",0,duck,farmed,fire_01,harm
"When the barn caught fire, the turkey was trapped inside and crying out.",0,turkey,farmed,fire_01,harm
"When the barn caught fire, the hen was trapped inside and crying out.",0,hen,farmed,fire_01,harm
"When the barn caught fire, the rooster was trapped inside and crying out.",0,rooster,farmed,fire_01,harm
"When the barn caught fire, the calf was trapped inside and crying out.",0,calf,farmed,fire_01,harm
"When the barn caught fire, the lamb was trapped inside and crying out.",0,lamb,farmed,fire_01,harm
"When the barn caught fire, the piglet was trapped inside and crying out.",0,piglet,farmed,fire_01,harm
"When the barn caught fire, the ox was trapped inside and crying out.",0,ox,farmed,fire_01,harm
"When the barn caught fire, the donkey was trapped inside and crying out.",0,donkey,farmed,fire_01,harm
"When the barn caught fire, the mule was trapped inside and crying out.",0,mule,farmed,fire_01,harm
"When the barn caught fire, the goose was trapped inside and crying out.",0,goose,farmed,fire_01,harm
"When the barn caught fire, the sow was trapped inside and crying out.",0,sow,farmed,fire_01,harm
"When the barn caught fire, the heifer was trapped inside and crying out.",0,heifer,farmed,fire_01,harm
"When the barn caught fire, the foal was trapped inside and crying out.",0,foal,farmed,fire_01,harm
"When the barn caught fire, the ram was trapped inside and crying out.",0,ram,farmed,fire_01,harm
"When the barn caught fire, the capon was trapped inside and crying out.",0,capon,farmed,fire_01,harm
"When the barn caught fire, the steer was trapped inside and crying out.",0,steer,farmed,fire_01,harm
"When the barn caught fire, the bullock was trapped inside and crying out.",0,bullock,farmed,fire_01,harm
"When the barn caught fire, the ewe was trapped inside and crying out.",0,ewe,farmed,fire_01,harm
"When the barn caught fire, the wether was trapped inside and crying out.",0,wether,farmed,fire_01,harm
"When the barn caught fire, the gander was trapped inside and crying out.",0,gander,farmed,fire_01,harm
"When the barn caught fire, the drake was trapped inside and crying out.",0,drake,farmed,fire_01,harm
"When the barn caught fire, the gosling was trapped inside and crying out.",0,gosling,farmed,fire_01,harm
"When the barn caught fire, the duckling was trapped inside and crying out.",0,duckling,farmed,fire_01,harm
"When the barn caught fire, the chick was trapped inside and crying out.",0,chick,farmed,fire_01,harm
"When the barn caught fire, the cockerel was trapped inside and crying out.",0,cockerel,farmed,fire_01,harm
"When the barn caught fire, the pullet was trapped inside and crying out.",0,pullet,farmed,fire_01,harm
"When the barn caught fire, the yearling was trapped inside and crying out.",0,yearling,farmed,fire_01,harm
"When the barn caught fire, the shoat was trapped inside and crying out.",0,shoat,farmed,fire_01,harm
"When the barn caught fire, the gilt was trapped inside and crying out.",0,gilt,farmed,fire_01,harm
"When the barn caught fire, the pony was trapped inside and crying out.",0,pony,farmed,fire_01,harm
"When the barn caught fire, the mare was trapped inside and crying out.",0,mare,farmed,fire_01,harm
"When the barn caught fire, the colt was trapped inside and crying out.",0,colt,farmed,fire_01,harm
"When the barn caught fire, the alpaca was trapped inside and crying out.",0,alpaca,farmed,fire_01,harm
"When the barn caught fire, the stallion was trapped inside and crying out.",0,stallion,farmed,fire_01,harm
Smoke filled the shed while the man remained stuck behind the jammed door.,1,man,human,fire_02,harm
Smoke filled the shed while the woman remained stuck behind the jammed door.,1,woman,human,fire_02,harm
Smoke filled the shed while the child remained stuck behind the jammed door.,1,child,human,fire_02,harm
Smoke filled the shed while the boy remained stuck behind the jammed door.,1,boy,human,fire_02,harm
Smoke filled the shed while the girl remained stuck behind the jammed door.,1,girl,human,fire_02,harm
Smoke filled the shed while the farmer remained stuck behind the jammed door.,1,farmer,human,fire_02,harm
Smoke filled the shed while the nurse remained stuck behind the jammed door.,1,nurse,human,fire_02,harm
Smoke filled the shed while the teacher remained stuck behind the jammed door.,1,teacher,human,fire_02,harm
Smoke filled the shed while the doctor remained stuck behind the jammed door.,1,doctor,human,fire_02,harm
Smoke filled the shed while the student remained stuck behind the jammed door.,1,student,human,fire_02,harm
Smoke filled the shed while the soldier remained stuck behind the jammed door.,1,soldier,human,fire_02,harm
Smoke filled the shed while the hiker remained stuck behind the jammed door.,1,hiker,human,fire_02,harm
Smoke filled the shed while the shepherd remained stuck behind the jammed door.,1,shepherd,human,fire_02,harm
Smoke filled the shed while the villager remained stuck behind the jammed door.,1,villager,human,fire_02,harm
Smoke filled the shed while the fisherman remained stuck behind the jammed door.,1,fisherman,human,fire_02,harm
Smoke filled the shed while the carpenter remained stuck behind the jammed door.,1,carpenter,human,fire_02,harm
Smoke filled the shed while the toddler remained stuck behind the jammed door.,1,toddler,human,fire_02,harm
Smoke filled the shed while the grandmother remained stuck behind the jammed door.,1,grandmother,human,fire_02,harm
Smoke filled the shed while the grandfather remained stuck behind the jammed door.,1,grandfather,human,fire_02,harm
Smoke filled the shed while the worker remained stuck behind the jammed door.,1,worker,human,fire_02,harm
Smoke filled the shed while the baker remained stuck behind the jammed door.,1,baker,human,fire_02,harm
Smoke filled the shed while the tailor remained stuck behind the jammed door.,1,tailor,human,fire_02,harm
Smoke filled the shed while the plumber remained stuck behind the jammed door.,1,plumber,human,fire_02,harm
Smoke filled the shed while the sailor remained stuck behind the jammed door.,1,sailor,human,fire_02,harm
Smoke filled the shed while the painter remained stuck behind the jammed door.,1,painter,human,fire_02,harm
Smoke filled the shed while the banker remained stuck behind the jammed door.,1,banker,human,fire_02,harm
Smoke filled the shed while the lawyer remained stuck behind the jammed door.,1,lawyer,human,fire_02,harm
Smoke filled the shed while the priest remained stuck behind the jammed door.,1,priest,human,fire_02,harm
Smoke filled the shed while the mayor remained stuck behind the jammed door.,1,mayor,human,fire_02,harm
Smoke filled the shed while the clerk remained stuck behind the jammed door.,1,clerk,human,fire_02,harm
