statement,label,subject,subject_category,template_id,family,axis
"After weeks without proper food, the dog had grown weak and thin.",1,dog,companion,neglect_01,neglect,harm
"After weeks without proper food, the cat had grown weak and thin.",1,cat,companion,neglect_01,neglect,harm
"After weeks without proper food, the puppy had grown weak and thin.",1,puppy,companion,neglect_01,neglect,harm
"After weeks without proper food, the kitten had grown weak and thin.",1,kitten,companion,neglect_01,neglect,harm
"After weeks without proper food, the tomcat had grown weak and thin.",1,tomcat,companion,neglect_01,neglect,harm
"After weeks without proper food, the kitty had grown weak and thin.",1,kitty,companion,neglect_01,neglect,harm
"After weeks without proper food, the hamster had grown weak and thin.",1,hamster,companion,neglect_01,neglect,harm
"After weeks without proper food, the gerbil had grown weak and thin.",1,gerbil,companion,neglect_01,neglect,harm
"After weeks without proper food, the ferret had grown weak and thin.",1,ferret,companion,neglect_01,neglect,harm
"After weeks without proper food, the chinchilla had grown weak and thin.",1,chinchilla,companion,neglect_01,neglect,harm
"After weeks without proper food, the hound had grown weak and thin.",1,hound,companion,neglect_01,neglect,harm
"After weeks without proper food, the mutt had grown weak and thin.",1,mutt,companion,neglect_01,neglect,harm
"After weeks without proper food, the poodle had grown weak and thin.",1,poodle,companion,neglect_01,neglect,harm
"After weeks without proper food, the beagle had grown weak and thin.",1,beagle,companion,neglect_01,neglect,harm
"After weeks without proper food, the terrier had grown weak and thin.",1,terrier,companion,neglect_01,neglect,harm
"After weeks without proper food, the spaniel had grown weak and thin.",1,spaniel,companion,neglect_01,neglect,harm
"After weeks without proper food, the labrador had grown weak and thin.",1,labrador,companion,neglect_01,neglect,harm
"After weeks without proper food, the collie had grown weak and thin.",1,collie,companion,neglect_01,neglect,harm
"After weeks without proper food, the pug had grown weak and thin.",1,pug,companion,neglect_01,neglect,harm
"After weeks without proper food, the bulldog had grown weak and thin.",1,bulldog,companion,neglect_01,neglect,harm
"After weeks without proper food, the retriever had grown weak and thin.",1,retriever,companion,neglect_01,neglect,harm
"After weeks without proper food, the dalmatian had grown weak and thin.",1,dalmatian,companion,neglect_01,neglect,harm
"After weeks without proper food, the greyhound had grown weak and thin.",1,greyhound,companion,neglect_01,neglect,harm
"After weeks without proper food, the corgi had grown weak and thin.",1,corgi,companion,neglect_01,neglect,harm
"After weeks without proper food, the dachshund had grown weak and thin.",1,dachshund,companion,neglect_01,neglect,harm
"After weeks without proper food, the chihuahua had grown weak and thin.",1,chihuahua,companion,neglect_01,neglect,harm
"After weeks without proper food, the husky had grown weak and thin.",1,husky,companion,neglect_01,neglect,harm
"After weeks without proper food, the mastiff had grown weak and thin.",1,mastiff,companion,neglect_01,neglect,harm
"After weeks without proper food, the whippet had grown weak and thin.",1,whippet,companion,neglect_01,neglect,harm
"After weeks without proper food, the schnauzer had grown weak and thin.",1,schnauzer,companion,neglect_01,neglect,harm
"After weeks without proper food, the pomeranian had grown weak and thin.",1,pomeranian,companion,neglect_01,neglect,harm
"After weeks without proper food, the rottweiler had grown weak and thin.",1,rottweiler,companion,neglect_01,neglect,harm
"After weeks without proper food, the lapdog had grown weak and thin.",1,lapdog,companion,neglect_01,neglect,harm
"After weeks without proper food, the malamute had grown weak and thin.",1,malamute,companion,neglect_01,neglect,harm
"After weeks without proper food, the tabby had grown weak and thin.",1,tabby,companion,neglect_01,neglect,harm
"After weeks without proper food, the calico had grown weak and thin.",1,calico,companion,neglect_01,neglect,harm
"After weeks without proper food, the ragdoll had grown weak and thin.",1,ragdoll,companion,neglect_01,neglect,harm
"After weeks without proper food, the tortoiseshell had grown weak and thin.",1,tortoiseshell,companion,neglect_01,neglect,harm
"After weeks without proper food, the moggy had grown weak and thin.",1,moggy,companion,neglect_01,neglect,harm
"After weeks without proper food, the housecat had grown weak and thin.",1,housecat,companion,neglect_01,neglect,harm
"After weeks without proper food, the pig had grown weak and thin.",0,pig,farmed,neglect_01,neglect,harm
"After weeks without proper food, the piglet had grown weak and thin.",0,piglet,farmed,neglect_01,neglect,harm
"After weeks without proper food, the sow had grown weak and thin.",0,sow,farmed,neglect_01,neglect,harm
"After weeks without proper food, the hog had grown weak and thin.",0,hog,farmed,neglect_01,neglect,harm
"After weeks without proper food, the swine had grown weak and thin.",0,swine,farmed,neglect_01,neglect,harm
"After weeks without proper food, the cow had grown weak and thin.",0,cow,farmed,neglect_01,neglect,harm
"After weeks without proper food, the calf had grown weak and thin.",0,calf,farmed,neglect_01,neglect,harm
"After weeks without proper food, the heifer had grown weak and thin.",0,heifer,farmed,neglect_01,neglect,harm
"After weeks without proper food, the bull had grown weak and thin.",0,bull,farmed,neglect_01,neglect,harm
"After weeks without proper food, the steer had grown weak and thin.",0,steer,farmed,neglect_01,neglect,harm
"After weeks without proper food, the bullock had grown weak and thin.",0,bullock,farmed,neglect_01,neglect,harm
"After weeks without proper food, the ox had grown weak and thin.",0,ox,farmed,neglect_01,neglect,harm
"After weeks without proper food, the sheep had grown weak and thin.",0,sheep,farmed,neglect_01,neglect,harm
"After weeks without proper food, the lamb had grown weak and thin.",0,lamb,farmed,neglect_01,neglect,harm
"After weeks without proper food, the ewe had grown weak and thin.",0,ewe,farmed,neglect_01,neglect,harm
"After weeks without proper food, the ram had grown weak and thin.",0,ram,farmed,neglect_01,neglect,harm
"After weeks without proper food, the shearling had grown weak and thin.",0,shearling,farmed,neglect_01,neglect,harm
"After weeks without proper food, the goat had grown weak and thin.",0,goat,farmed,neglect_01,neglect,harm
"After weeks without proper food, the nanny goat had grown weak and thin.",0,nanny_goat,farmed,neglect_01,neglect,harm
"After weeks without proper food, the billy goat had grown weak and thin.",0,billy_goat,farmed,neglect_01,neglect,harm
"After weeks without proper food, the chicken had grown weak and thin.",0,chicken,farmed,neglect_01,neglect,harm
"After weeks without proper food, the hen had grown weak and thin.",0,hen,farmed,neglect_01,neglect,harm
"After weeks without proper food, the laying hen had grown weak and thin.",0,laying_hen,farmed,neglect_01,neglect,harm
"After weeks without proper food, the rooster had grown weak and thin.",0,rooster,farmed,neglect_01,neglect,harm
"After weeks without proper food, the chick had grown weak and thin.",0,chick,farmed,neglect_01,neglect,harm
"After weeks without proper food, the pullet had grown weak and thin.",0,pullet,farmed,neglect_01,neglect,harm
"After weeks without proper food, the broiler had grown weak and thin.",0,broiler,farmed,neglect_01,neglect,harm
"After weeks without proper food, the capon had grown weak and thin.",0,capon,farmed,neglect_01,neglect,harm
"After weeks without proper food, the turkey had grown weak and thin.",0,turkey,farmed,neglect_01,neglect,harm
"After weeks without proper food, the dairy cow had grown weak and thin.",0,dairy_cow,farmed,neglect_01,neglect,harm
"After weeks without proper food, the donkey had grown weak and thin.",0,donkey,farmed,neglect_01,neglect,harm
"After weeks without proper food, the mule had grown weak and thin.",0,mule,farmed,neglect_01,neglect,harm
"After weeks without proper food, the foal had grown weak and thin.",0,foal,farmed,neglect_01,neglect,harm
"After weeks without proper food, the pony had grown weak and thin.",0,pony,farmed,neglect_01,neglect,harm
"After weeks without proper food, the mare had grown weak and thin.",0,mare,farmed,neglect_01,neglect,harm
"After weeks without proper food, the colt had grown weak and thin.",0,colt,farmed,neglect_01,neglect,harm
"After weeks without proper food, the workhorse had grown weak and thin.",0,workhorse,farmed,neglect_01,neglect,harm
"After weeks without proper food, the alpaca had grown weak and thin.",0,alpaca,farmed,neglect_01,neglect,harm
"After weeks without proper food, the llama had grown weak and thin.",0,llama,farmed,neglect_01,neglect,harm
"After weeks without proper food, the yak had grown weak and thin.",0,yak,farmed,neglect_01,neglect,harm
