statement,label,subject,subject_category,template_id,axis
"When the river flooded, the dog was swept away by the current.",1,dog,companion,flood_01,harm
"When the river flooded, the cat was swept away by the current.",1,cat,companion,flood_01,harm
"When the river flooded, the rabbit was swept away by the current.",1,rabbit,companion,flood_01,harm
"When the river flooded, the puppy was swept away by the current.",1,puppy,companion,flood_01,harm
"When the river flooded, the kitten was swept away by the current.",1,kitten,companion,flood_01,harm
"When the river flooded, the hamster was swept away by the current.",1,hamster,companion,flood_01,harm
"When the river flooded, the ferret was swept away by the current.",1,ferret,companion,flood_01,harm
"When the river flooded, the poodle was swept away by the current.",1,poodle,companion,flood_01,harm
"When the river flooded, the beagle was swept away by the current.",1,beagle,companion,flood_01,harm
"When the river flooded, the terrier was swept away by the current.",1,terrier,companion,flood_01,harm
"When the river flooded, the spaniel was swept away by the current.",1,spaniel,companion,flood_01,harm
"When the river flooded, the labrador was swept away by the current.",1,labrador,companion,flood_01,harm
"When the river flooded, the collie was swept away by the current.",1,collie,companion,flood_01,harm
"When the river flooded, the pug was swept away by the current.",1,pug,companion,flood_01,harm
"When the river flooded, the bulldog was swept away by the current.",1,bulldog,companion,flood_01,harm
"When the river flooded, the retriever was swept away by the current.",1,retriever,companion,flood_01,harm
"When the river flooded, the tomcat was swept away by the current.",1,tomcat,companion,flood_01,harm
"When the river flooded, the gerbil was swept away by the current.",1,gerbil,companion,flood_01,harm
"When the river flooded, the dalmatian was swept away by the current.",1,dalmatian,companion,flood_01,harm
"When the river flooded, the greyhound was swept away by the current.",1,greyhound,companion,flood_01,harm
"When the river flooded, the mastiff was swept away by the current.",1,mastiff,companion,flood_01,harm
"When the river flooded, the corgi was swept away by the current.",1,corgi,companion,flood_01,harm
"When the river flooded, the dachshund was swept away by the current.",1,dachshund,companion,flood_01,harm
"When the river flooded, the chihuahua was swept away by the current.",1,chihuahua,companion,flood_01,harm
"When the river flooded, the husky was swept away by the current.",1,husky,companion,flood_01,harm
"When the river flooded, the rottweiler was swept away by the current.",1,rottweiler,companion,flood_01,harm
"When the river flooded, the papillon was swept away by the current.",1,papillon,companion,flood_01,harm
"When the river flooded, the schnauzer was swept away by the current.",1,schnauzer,companion,flood_01,harm
"When the river flooded, the whippet was swept away by the current.",1,whippet,companion,flood_01,harm
"When the river flooded, the pomeranian was swept away by the current.",1,pomeranian,companion,flood_01,harm
"When the river flooded, the akita was swept away by the current.",1,akita,companion,flood_01,harm
"When the river flooded, the samoyed was swept away by the current.",1,samoyed,companion,flood_01,harm
"When the river flooded, the pekingese was swept away by the current.",1,pekingese,companion,flood_01,harm
"When the river flooded, the lurcher was swept away by the current.",1,lurcher,companion,flood_01,harm
"When the river flooded, the hound was swept away by the current.",1,hound,companion,flood_01,harm
"When the river flooded, the mutt was swept away by the current.",1,mutt,companion,flood_01,harm
"When the river flooded, the tabby was swept away by the current.",1,tabby,companion,flood_01,harm
"When the river flooded, the lapdog was swept away by the current.",1,lapdog,companion,flood_01,harm
"When the river flooded, the kitty was swept away by the current.",1,kitty,companion,flood_01,harm
"When the river flooded, the bunny was swept away by the current.",1,bunny,companion,flood_01,harm
"When the river flooded, the pig was swept away by the current.",0,pig,farmed,flood_01,harm
"When the river flooded, the cow was swept away by the current.",0,cow,farmed,flood_01,harm
"When the river flooded, the chicken was swept away by the current.",0,chicken,farmed,flood_01,harm
"When the river flooded, the goat was swept away by the current.",0,goat,farmed,flood_01,harm
"When the river flooded, the sheep was swept away by the current.",0,sheep,farmed,flood_01,harm
"When the river flooded, the duck was swept away by the current.",0,duck,farmed,flood_01,harm
"When the river flooded, the turkey was swept away by the current.",0,turkey,farmed,flood_01,harm
"When the river flooded, the hen was swept away by the current.",0,hen,farmed,flood_01,harm
"When the river flooded, the rooster was swept away by the current.",0,rooster,farmed,flood_01,harm
"When the river flooded, the calf was swept away by the current.",0,calf,farmed,flood_01,harm
"When the river flooded, the lamb was swept away by the current.",0,lamb,farmed,flood_01,harm
"When the river flooded, the piglet was swept away by the current.",0,piglet,farmed,flood_01,harm
"When the river flooded, the ox was swept away by the current.",0,ox,farmed,flood_01,harm
"When the river flooded, the donkey was swept away by the current.",0,donkey,farmed,flood_01,harm
