statement,label,subject,subject_category,template_id,axis
"Under the shade of the old oak, the dog rested through the warm afternoon.",1,dog,companion,rest_01,neutral
"Under the shade of the old oak, the cat rested through the warm afternoon.",1,cat,companion,rest_01,neutral
"Under the shade of the old oak, the rabbit rested through the warm afternoon.",1,rabbit,companion,rest_01,neutral
"Under the shade of the old oak, the puppy rested through the warm afternoon.",1,puppy,companion,rest_01,neutral
"Under the shade of the old oak, the kitten rested through the warm afternoon.",1,kitten,companion,rest_01,neutral
"Under the shade of the old oak, the hamster rested through the warm afternoon.",1,hamster,companion,rest_01,neutral
"Under the shade of the old oak, the ferret rested through the warm afternoon.",1,ferret,companion,rest_01,neutral
"Under the shade of the old oak, the poodle rested through the warm afternoon.",1,poodle,companion,rest_01,neutral
"Under the shade of the old oak, the beagle rested through the warm afternoon.",1,beagle,companion,rest_01,neutral
"Under the shade of the old oak, the terrier rested through the warm afternoon.",1,terrier,companion,rest_01,neutral
"Under the shade of the old oak, the spaniel rested through the warm afternoon.",1,spaniel,companion,rest_01,neutral
"Under the shade of the old oak, the labrador rested through the warm afternoon.",1,labrador,companion,rest_01,neutral
"Under the shade of the old oak, the collie rested through the warm afternoon.",1,collie,companion,rest_01,neutral
"Under the shade of the old oak, the pug rested through the warm afternoon.",1,pug,companion,rest_01,neutral
"Under the shade of the old oak, the bulldog rested through the warm afternoon.",1,bulldog,companion,rest_01,neutral
"Under the shade of the old oak, the retriever rested through the warm afternoon.",1,retriever,companion,rest_01,neutral
"Under the shade of the old oak, the tomcat rested through the warm afternoon.",1,tomcat,companion,rest_01,neutral
"Under the shade of the old oak, the gerbil rested through the warm afternoon.",1,gerbil,companion,rest_01,neutral
"Under the shade of the old oak, the dalmatian rested through the warm afternoon.",1,dalmatian,companion,rest_01,neutral
"Under the shade of the old oak, the greyhound rested through the warm afternoon.",1,greyhound,companion,rest_01,neutral
"Under the shade of the old oak, the mastiff rested through the warm afternoon.",1,mastiff,companion,rest_01,neutral
"Under the shade of the old oak, the corgi rested through the warm afternoon.",1,corgi,companion,rest_01,neutral
"Under the shade of the old oak, the dachshund rested through the warm afternoon.",1,dachshund,companion,rest_01,neutral
"Under the shade of the old oak, the chihuahua rested through the warm afternoon.",1,chihuahua,companion,rest_01,neutral
"Under the shade of the old oak, the husky rested through the warm afternoon.",1,husky,companion,rest_01,neutral
"Under the shade of the old oak, the rottweiler rested through the warm afternoon.",1,rottweiler,companion,rest_01,neutral
"Under the shade of the old oak, the papillon rested through the warm afternoon.",1,papillon,companion,rest_01,neutral
"Under the shade of the old oak, the schnauzer rested through the warm afternoon.",1,schnauzer,companion,rest_01,neutral
"Under the shade of the old oak, the whippet rested through the warm afternoon.",1,whippet,companion,rest_01,neutral
"Under the shade of the old oak, the pomeranian rested through the warm afternoon.",1,pomeranian,companion,rest_01,neutral
"Under the shade of the old oak, the akita rested through the warm afternoon.",1,akita,companion,rest_01,neutral
"Under the shade of the old oak, the samoyed rested through the warm afternoon.",1,samoyed,companion,rest_01,neutral
"Under the shade of the old oak, the pekingese rested through the warm afternoon.",1,pekingese,companion,rest_01,neutral
"Under the shade of the old oak, the lurcher rested through the warm afternoon.",1,lurcher,companion,rest_01,neutral
"Under the shade of the old oak, the hound rested through the warm afternoon.",1,hound,companion,rest_01,neutral
"Under the shade of the old oak, the mutt rested through the warm afternoon.",1,mutt,companion,rest_01,neutral
"Under the shade of the old oak, the tabby rested through the warm afternoon.",1,tabby,companion,rest_01,neutral
"Under the shade of the old oak, the lapdog rested through the warm afternoon.",1,lapdog,companion,rest_01,neutral
"Under the shade of the old oak, the kitty rested through the warm afternoon.",1,kitty,companion,rest_01,neutral
"Under the shade of the old oak, the bunny rested through the warm afternoon.",1,bunny,companion,rest_01,neutral
"Under the shade of the old oak, the rat rested through the warm afternoon.",0,rat,wild,rest_01,neutral
"Under the shade of the old oak, the boar rested through the warm afternoon.",0,boar,wild,rest_01,neutral
"Under the shade of the old oak, the buffalo rested through the warm afternoon.",0,buffalo,wild,rest_01,neutral
"Under the shade of the old oak, the fox rested through the warm afternoon.",0,fox,wild,rest_01,neutral
"Under the shade of the old oak, the deer rested through the warm afternoon.",0,deer,wild,rest_01,neutral
"Under the shade of the old oak, the badger rested through the warm afternoon.",0,badger,wild,rest_01,neutral
"Under the shade of the old oak, the otter rested through the warm afternoon.",0,otter,wild,rest_01,neutral
"Under the shade of the old oak, the hare rested through the warm afternoon.",0,hare,wild,rest_01,neutral
"Under the shade of the old oak, the raccoon rested through the warm afternoon.",0,raccoon,wild,rest_01,neutral
"Under the shade of the old oak, the squirrel rested through the warm afternoon.",0,squirrel,wild,rest_01,neutral
"Under the shade of the old oak, the weasel rested through the warm afternoon.",0,weasel,wild,rest_01,neutral
"Under the shade of the old oak, the coyote rested through the warm afternoon.",0,coyote,wild,rest_01,neutral
"Under the shade of the old oak, the moose rested through the warm afternoon.",0,moose,wild,rest_01,neutral
"Under the shade of the old oak, the elk rested through the warm afternoon.",0,elk,wild,rest_01,neutral
"Under the shade of the old oak, the wolf rested through the warm afternoon.",0,wolf,wild,rest_01,neutral
"Under the shade of the old oak, the hedgehog rested through the warm afternoon.",0,hedgehog,wild,rest_01,neutral
"Under the shade of the old oak, the possum rested through the warm afternoon.",0,possum,wild,rest_01,neutral
"Under the shade of the old oak, the jackal rested through the warm afternoon.",0,jackal,wild,rest_01,neutral
"Under the shade of the old oak, the stoat rested through the warm afternoon.",0,stoat,wild,rest_01,neutral
"Under the shade of the old oak, the marten rested through the warm afternoon.",0,marten,wild,rest_01,neutral
"Under the shade of the old oak, the bear rested through the warm afternoon.",0,bear,wild,rest_01,neutral
"Under the shade of the old oak, the lynx rested through the warm afternoon.",0,lynx,wild,rest_01,neutral
"Under the shade of the old oak, the bobcat rested through the warm afternoon.",0,bobcat,wild,rest_01,neutral
"Under the shade of the old oak, the marmot rested through the warm afternoon.",0,marmot,wild,rest_01,neutral
"Under the shade of the old oak, the mink rested through the warm afternoon.",0,mink,wild,rest_01,neutral
"Under the shade of the old oak, the mole rested through the warm afternoon.",0,mole,wild,rest_01,neutral
