statement_id,statement,intended,gemini_3.6_flash-2,gemini_3.6_flash-3,gemini_3.6_flash,gpt_5.6_luna-2,gpt_5.6_luna-3,gpt_5.6_luna,opus_5-2,opus_5-3,opus_5,n_depends,unanimous,matches_intended
0,"Camped overnight outside the ticket window, Sofia held the agreed spot through the whole cold night.",good,good,good,good,good,good,good,good,good,good,0,True,True
1,"When relatives piled criticism on the youngest cousin at dinner, Dana joined in loudest in front of the whole family.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
2,"When the startup hit three months of missed salaries, Zoe stood by the cofounder in front of the investors.",good,good,good,good,good,good,good,good,good,good,0,True,True
3,"When the walk-in flooded an hour before service, Tom clocked out quietly and left the mess to the crew.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
4,"After joining the popular crowd at the new school, Kwame pretended not to know the childhood friend at lunch.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
5,"Hearing about the friend's layoff first, Daniel blasted the story across the whole group chat.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
6,"On the last day before changing firms, Ava left every client file intact for the old team.",good,good,good,good,good,good,good,good,good,good,0,True,True
7,"When hail flattened the family's barley a week before harvest, Grace drove home to salvage what remained of the crop.",good,good,good,good,good,good,good,good,good,good,0,True,True
8,"When the discount megastore opened across the street, Yuki kept ordering weekly from the friend's hardware store.",good,good,good,good,good,good,good,good,good,good,0,True,True
9,"When hail flattened the family's barley a week before harvest, Grace stayed away and joked online about what remained of the crop.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
10,"When the longtime coach retired after thirty seasons, Mateo rallied the alumni to pack the farewell dinner.",good,good,good,good,good,good,good,good,good,good,0,True,True
11,"Entrusted with the debate team's strategy notebook, Tariq photocopied it for rivals all season long.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
12,"When the lunch table turned on an absent friend, Andre stuck up for her in front of everyone.",good,good,good,good,good,good,good,good,good,good,0,True,True
13,"The night before the debate final, Omar showed up early for the partner's promised prep session.",good,good,good,good,good,good,good,good,good,good,0,True,True
14,"Sworn to secrecy about the surprise fortieth party, Nina played dumb whenever the birthday girl fished for hints.",good,good,good,good,good,good,good,good,good,good,0,True,True
