statement,label,pair_id,frame_id,vader_compound,twroberta_signed,twroberta_neutral
"When the cashier handed back a twenty too many, Yuki walked back inside to return the extra bill.",1,0,0,0.0,-0.059572797268629074,0.8496209979057312
"When the cashier handed back a twenty too many, Yuki strolled out and pocketed the extra bill.",0,0,0,0.0,0.0026915669441223145,0.8541938066482544
"When the cashier handed back a twenty too many, Arjun walked back inside to return the extra bill.",1,1,0,0.0,-0.05810534209012985,0.8469433784484863
"When the cashier handed back a twenty too many, Arjun strolled out and pocketed the extra bill.",0,1,0,0.0,-0.008703760802745819,0.8468359708786011
"When the cashier handed back a twenty too many, Dana walked back inside to return the extra bill.",1,2,0,0.0,-0.06530388817191124,0.8375707864761353
"When the cashier handed back a twenty too many, Dana strolled out and pocketed the extra bill.",0,2,0,0.0,-0.030763886868953705,0.8263562321662903
"When the cashier handed back a twenty too many, Amara walked back inside to return the extra bill.",1,3,0,0.0,-0.1352989338338375,0.7809820175170898
"When the cashier handed back a twenty too many, Amara strolled out and pocketed the extra bill.",0,3,0,0.0,-0.07349560409784317,0.7892885804176331
"When the cashier handed back a twenty too many, Mateo walked back inside to return the extra bill.",1,4,0,0.0,-0.04906933009624481,0.8360267281532288
"When the cashier handed back a twenty too many, Mateo strolled out and pocketed the extra bill.",0,4,0,0.0,0.009004250168800354,0.8156734704971313
"When the cashier handed back a twenty too many, Rosa walked back inside to return the extra bill.",1,5,0,0.0,-0.08925973996520042,0.8208386898040771
"When the cashier handed back a twenty too many, Rosa strolled out and pocketed the extra bill.",0,5,0,0.0,-0.03492648899555206,0.8164665102958679
"When the cashier handed back a twenty too many, Daniel walked back inside to return the extra bill.",1,6,0,0.0,-0.051892515271902084,0.8326351642608643
"When the cashier handed back a twenty too many, Daniel strolled out and pocketed the extra bill.",0,6,0,0.0,-0.0010815858840942383,0.8139699101448059
"When the cashier handed back a twenty too many, Tariq walked back inside to return the extra bill.",1,7,0,0.0,-0.0482838973402977,0.8526427745819092
"When the cashier handed back a twenty too many, Tariq strolled out and pocketed the extra bill.",0,7,0,0.0,-0.02876807004213333,0.8232184052467346
