statement,label,subject,subject_category,template_id,axis
"When the barn caught fire, the dog was trapped inside and crying out.",1,dog,companion,fire_01,harm
"When the barn caught fire, the cat was trapped inside and crying out.",1,cat,companion,fire_01,harm
"When the barn caught fire, the rabbit was trapped inside and crying out.",1,rabbit,companion,fire_01,harm
"When the barn caught fire, the puppy was trapped inside and crying out.",1,puppy,companion,fire_01,harm
"When the barn caught fire, the kitten was trapped inside and crying out.",1,kitten,companion,fire_01,harm
"When the barn caught fire, the hamster was trapped inside and crying out.",1,hamster,companion,fire_01,harm
"When the barn caught fire, the ferret was trapped inside and crying out.",1,ferret,companion,fire_01,harm
"When the barn caught fire, the poodle was trapped inside and crying out.",1,poodle,companion,fire_01,harm
"When the barn caught fire, the beagle was trapped inside and crying out.",1,beagle,companion,fire_01,harm
"When the barn caught fire, the terrier was trapped inside and crying out.",1,terrier,companion,fire_01,harm
"When the barn caught fire, the spaniel was trapped inside and crying out.",1,spaniel,companion,fire_01,harm
"When the barn caught fire, the labrador was trapped inside and crying out.",1,labrador,companion,fire_01,harm
"When the barn caught fire, the collie was trapped inside and crying out.",1,collie,companion,fire_01,harm
"When the barn caught fire, the pug was trapped inside and crying out.",1,pug,companion,fire_01,harm
"When the barn caught fire, the bulldog was trapped inside and crying out.",1,bulldog,companion,fire_01,harm
"When the barn caught fire, the retriever was trapped inside and crying out.",1,retriever,companion,fire_01,harm
"When the barn caught fire, the tomcat was trapped inside and crying out.",1,tomcat,companion,fire_01,harm
"When the barn caught fire, the gerbil was trapped inside and crying out.",1,gerbil,companion,fire_01,harm
"When the barn caught fire, the dalmatian was trapped inside and crying out.",1,dalmatian,companion,fire_01,harm
"When the barn caught fire, the greyhound was trapped inside and crying out.",1,greyhound,companion,fire_01,harm
"When the barn caught fire, the pig was trapped inside and crying out.",0,pig,farmed,fire_01,harm
"When the barn caught fire, the cow was trapped inside and crying out.",0,cow,farmed,fire_01,harm
"When the barn caught fire, the chicken was trapped inside and crying out.",0,chicken,farmed,fire_01,harm
"When the barn caught fire, the goat was trapped inside and crying out.",0,goat,farmed,fire_01,harm
"When the barn caught fire, the sheep was trapped inside and crying out.",0,sheep,farmed,fire_01,harm
"When the barn caught fire, the duck was trapped inside and crying out.",0,duck,farmed,fire_01,harm
"When the barn caught fire, the turkey was trapped inside and crying out.",0,turkey,farmed,fire_01,harm
"When the barn caught fire, the hen was trapped inside and crying out.",0,hen,farmed,fire_01,harm
"When the barn caught fire, the rooster was trapped inside and crying out.",0,rooster,farmed,fire_01,harm
"When the barn caught fire, the calf was trapped inside and crying out.",0,calf,farmed,fire_01,harm
"When the barn caught fire, the lamb was trapped inside and crying out.",0,lamb,farmed,fire_01,harm
"When the barn caught fire, the piglet was trapped inside and crying out.",0,piglet,farmed,fire_01,harm
"When the barn caught fire, the ox was trapped inside and crying out.",0,ox,farmed,fire_01,harm
"When the barn caught fire, the donkey was trapped inside and crying out.",0,donkey,farmed,fire_01,harm
"When the barn caught fire, the mule was trapped inside and crying out.",0,mule,farmed,fire_01,harm
"When the barn caught fire, the goose was trapped inside and crying out.",0,goose,farmed,fire_01,harm
"When the barn caught fire, the sow was trapped inside and crying out.",0,sow,farmed,fire_01,harm
"When the barn caught fire, the heifer was trapped inside and crying out.",0,heifer,farmed,fire_01,harm
"When the barn caught fire, the foal was trapped inside and crying out.",0,foal,farmed,fire_01,harm
"When the barn caught fire, the ram was trapped inside and crying out.",0,ram,farmed,fire_01,harm
Smoke filled the shed while the dog remained stuck behind the jammed door.,1,dog,companion,fire_02,harm
Smoke filled the shed while the cat remained stuck behind the jammed door.,1,cat,companion,fire_02,harm
Smoke filled the shed while the rabbit remained stuck behind the jammed door.,1,rabbit,companion,fire_02,harm
Smoke filled the shed while the puppy remained stuck behind the jammed door.,1,puppy,companion,fire_02,harm
Smoke filled the shed while the kitten remained stuck behind the jammed door.,1,kitten,companion,fire_02,harm
Smoke filled the shed while the hamster remained stuck behind the jammed door.,1,hamster,companion,fire_02,harm
Smoke filled the shed while the ferret remained stuck behind the jammed door.,1,ferret,companion,fire_02,harm
Smoke filled the shed while the poodle remained stuck behind the jammed door.,1,poodle,companion,fire_02,harm
Smoke filled the shed while the beagle remained stuck behind the jammed door.,1,beagle,companion,fire_02,harm
Smoke filled the shed while the terrier remained stuck behind the jammed door.,1,terrier,companion,fire_02,harm
Smoke filled the shed while the spaniel remained stuck behind the jammed door.,1,spaniel,companion,fire_02,harm
Smoke filled the shed while the labrador remained stuck behind the jammed door.,1,labrador,companion,fire_02,harm
Smoke filled the shed while the collie remained stuck behind the jammed door.,1,collie,companion,fire_02,harm
Smoke filled the shed while the pug remained stuck behind the jammed door.,1,pug,companion,fire_02,harm
Smoke filled the shed while the bulldog remained stuck behind the jammed door.,1,bulldog,companion,fire_02,harm
Smoke filled the shed while the retriever remained stuck behind the jammed door.,1,retriever,companion,fire_02,harm
Smoke filled the shed while the tomcat remained stuck behind the jammed door.,1,tomcat,companion,fire_02,harm
