statement,label,pair_id,frame_id
"After the storm, Carmen carried her elderly neighbor's groceries up the apartment stairs.",1,0,0
"After the storm, Carmen hurled her elderly neighbor's groceries down the apartment stairs.",0,0,0
"After the storm, Leila carried her elderly neighbor's groceries up the apartment stairs.",1,1,0
"After the storm, Leila hurled her elderly neighbor's groceries down the apartment stairs.",0,1,0
"After the storm, Zoe carried her elderly neighbor's groceries up the apartment stairs.",1,2,0
"After the storm, Zoe hurled her elderly neighbor's groceries down the apartment stairs.",0,2,0
"After the storm, Nadia carried her elderly neighbor's groceries up the apartment stairs.",1,3,0
"After the storm, Nadia hurled her elderly neighbor's groceries down the apartment stairs.",0,3,0
"After the storm, Fatima carried her elderly neighbor's groceries up the apartment stairs.",1,4,0
"After the storm, Fatima hurled her elderly neighbor's groceries down the apartment stairs.",0,4,0
"After the storm, Lena carried her elderly neighbor's groceries up the apartment stairs.",1,5,0
"After the storm, Lena hurled her elderly neighbor's groceries down the apartment stairs.",0,5,0
"After the storm, Ava carried her elderly neighbor's groceries up the apartment stairs.",1,6,0
"After the storm, Ava hurled her elderly neighbor's groceries down the apartment stairs.",0,6,0
"After the storm, Rosa carried her elderly neighbor's groceries up the apartment stairs.",1,7,0
"After the storm, Rosa hurled her elderly neighbor's groceries down the apartment stairs.",0,7,0
"On the crowded bus, Felix offered his seat to the injured passenger by the door.",1,8,1
"On the crowded bus, Felix knocked the crutches from the injured passenger by the door.",0,8,1
"On the crowded bus, Daniel offered his seat to the injured passenger by the door.",1,9,1
"On the crowded bus, Daniel knocked the crutches from the injured passenger by the door.",0,9,1
"On the crowded bus, Rafael offered his seat to the injured passenger by the door.",1,10,1
"On the crowded bus, Rafael knocked the crutches from the injured passenger by the door.",0,10,1
"On the crowded bus, Mateo offered his seat to the injured passenger by the door.",1,11,1
"On the crowded bus, Mateo knocked the crutches from the injured passenger by the door.",0,11,1
"On the crowded bus, Ethan offered his seat to the injured passenger by the door.",1,12,1
"On the crowded bus, Ethan knocked the crutches from the injured passenger by the door.",0,12,1
"On the crowded bus, Tariq offered his seat to the injured passenger by the door.",1,13,1
"On the crowded bus, Tariq knocked the crutches from the injured passenger by the door.",0,13,1
"On the crowded bus, Omar offered his seat to the injured passenger by the door.",1,14,1
"On the crowded bus, Omar knocked the crutches from the injured passenger by the door.",0,14,1
"On the crowded bus, Malik offered his seat to the injured passenger by the door.",1,15,1
"On the crowded bus, Malik knocked the crutches from the injured passenger by the door.",0,15,1
"When the toddler tripped on the sidewalk, Sofia knelt down and bandaged his scraped knee.",1,16,2
"When the toddler tripped on the sidewalk, Sofia pointed and laughed at his scraped knee.",0,16,2
"When the toddler tripped on the sidewalk, Nina knelt down and bandaged his scraped knee.",1,17,2
"When the toddler tripped on the sidewalk, Nina pointed and laughed at his scraped knee.",0,17,2
"When the toddler tripped on the sidewalk, Nadia knelt down and bandaged his scraped knee.",1,18,2
"When the toddler tripped on the sidewalk, Nadia pointed and laughed at his scraped knee.",0,18,2
"When the toddler tripped on the sidewalk, Andre knelt down and bandaged his scraped knee.",1,19,2
"When the toddler tripped on the sidewalk, Andre pointed and laughed at his scraped knee.",0,19,2
"When the toddler tripped on the sidewalk, Malik knelt down and bandaged his scraped knee.",1,20,2
"When the toddler tripped on the sidewalk, Malik pointed and laughed at his scraped knee.",0,20,2
"When the toddler tripped on the sidewalk, Hiro knelt down and bandaged his scraped knee.",1,21,2
"When the toddler tripped on the sidewalk, Hiro pointed and laughed at his scraped knee.",0,21,2
"When the toddler tripped on the sidewalk, Zoe knelt down and bandaged his scraped knee.",1,22,2
"When the toddler tripped on the sidewalk, Zoe pointed and laughed at his scraped knee.",0,22,2
"When the toddler tripped on the sidewalk, Dana knelt down and bandaged his scraped knee.",1,23,2
"When the toddler tripped on the sidewalk, Dana pointed and laughed at his scraped knee.",0,23,2
"During the night shift, the nurse refilled the water pitchers for the patients on the recovery ward.",1,24,3
"During the night shift, the nurse hid the call buttons from the patients on the recovery ward.",0,24,3
"After his little sister failed her exam, Hiro stayed up late helping her prepare for the retake.",1,25,4
"After his little sister failed her exam, Hiro shredded the notes she needed to prepare for the retake.",0,25,4
