statement,label,subject,subject_category,template_id,axis
"When the river flooded, the man was swept away by the current.",1,man,human,flood_01,harm
"When the river flooded, the woman was swept away by the current.",1,woman,human,flood_01,harm
"When the river flooded, the child was swept away by the current.",1,child,human,flood_01,harm
"When the river flooded, the boy was swept away by the current.",1,boy,human,flood_01,harm
"When the river flooded, the girl was swept away by the current.",1,girl,human,flood_01,harm
"When the river flooded, the farmer was swept away by the current.",1,farmer,human,flood_01,harm
"When the river flooded, the nurse was swept away by the current.",1,nurse,human,flood_01,harm
"When the river flooded, the teacher was swept away by the current.",1,teacher,human,flood_01,harm
"When the river flooded, the doctor was swept away by the current.",1,doctor,human,flood_01,harm
"When the river flooded, the student was swept away by the current.",1,student,human,flood_01,harm
"When the river flooded, the soldier was swept away by the current.",1,soldier,human,flood_01,harm
"When the river flooded, the hiker was swept away by the current.",1,hiker,human,flood_01,harm
"When the river flooded, the shepherd was swept away by the current.",1,shepherd,human,flood_01,harm
"When the river flooded, the villager was swept away by the current.",1,villager,human,flood_01,harm
"When the river flooded, the fisherman was swept away by the current.",1,fisherman,human,flood_01,harm
"When the river flooded, the carpenter was swept away by the current.",1,carpenter,human,flood_01,harm
"When the river flooded, the toddler was swept away by the current.",1,toddler,human,flood_01,harm
"When the river flooded, the grandmother was swept away by the current.",1,grandmother,human,flood_01,harm
"When the river flooded, the grandfather was swept away by the current.",1,grandfather,human,flood_01,harm
"When the river flooded, the worker was swept away by the current.",1,worker,human,flood_01,harm
"When the river flooded, the baker was swept away by the current.",1,baker,human,flood_01,harm
"When the river flooded, the tailor was swept away by the current.",1,tailor,human,flood_01,harm
"When the river flooded, the plumber was swept away by the current.",1,plumber,human,flood_01,harm
"When the river flooded, the sailor was swept away by the current.",1,sailor,human,flood_01,harm
"When the river flooded, the painter was swept away by the current.",1,painter,human,flood_01,harm
"When the river flooded, the banker was swept away by the current.",1,banker,human,flood_01,harm
"When the river flooded, the lawyer was swept away by the current.",1,lawyer,human,flood_01,harm
"When the river flooded, the priest was swept away by the current.",1,priest,human,flood_01,harm
"When the river flooded, the mayor was swept away by the current.",1,mayor,human,flood_01,harm
"When the river flooded, the clerk was swept away by the current.",1,clerk,human,flood_01,harm
"When the river flooded, the chef was swept away by the current.",1,chef,human,flood_01,harm
"When the river flooded, the pilot was swept away by the current.",1,pilot,human,flood_01,harm
"When the river flooded, the miner was swept away by the current.",1,miner,human,flood_01,harm
"When the river flooded, the mason was swept away by the current.",1,mason,human,flood_01,harm
"When the river flooded, the traveler was swept away by the current.",1,traveler,human,flood_01,harm
"When the river flooded, the stranger was swept away by the current.",1,stranger,human,flood_01,harm
"When the river flooded, the infant was swept away by the current.",1,infant,human,flood_01,harm
"When the river flooded, the widow was swept away by the current.",1,widow,human,flood_01,harm
"When the river flooded, the uncle was swept away by the current.",1,uncle,human,flood_01,harm
"When the river flooded, the aunt was swept away by the current.",1,aunt,human,flood_01,harm
"When the river flooded, the papillon was swept away by the current.",0,papillon,companion,flood_01,harm
"When the river flooded, the pomeranian was swept away by the current.",0,pomeranian,companion,flood_01,harm
"When the river flooded, the bulldog was swept away by the current.",0,bulldog,companion,flood_01,harm
"When the river flooded, the husky was swept away by the current.",0,husky,companion,flood_01,harm
"When the river flooded, the rottweiler was swept away by the current.",0,rottweiler,companion,flood_01,harm
"When the river flooded, the retriever was swept away by the current.",0,retriever,companion,flood_01,harm
"When the river flooded, the pekingese was swept away by the current.",0,pekingese,companion,flood_01,harm
"When the river flooded, the labrador was swept away by the current.",0,labrador,companion,flood_01,harm
"When the river flooded, the rabbit was swept away by the current.",0,rabbit,companion,flood_01,harm
"When the river flooded, the ferret was swept away by the current.",0,ferret,companion,flood_01,harm
"When the river flooded, the kitty was swept away by the current.",0,kitty,companion,flood_01,harm
"When the river flooded, the pug was swept away by the current.",0,pug,companion,flood_01,harm
"When the river flooded, the collie was swept away by the current.",0,collie,companion,flood_01,harm
"When the river flooded, the tabby was swept away by the current.",0,tabby,companion,flood_01,harm
