statement,label,pair_id,frame_id,vader_compound,twroberta_signed,twroberta_neutral
"When the Saturday tips were counted at closing, Yuki split the jar evenly among the whole waitstaff.",1,0,0,0.0,0.04747683834284544,0.925166130065918
"When the Saturday tips were counted at closing, Yuki pocketed half the jar while splitting it among the whole waitstaff.",0,0,0,0.0,0.061094753444194794,0.9082352519035339
"When the Saturday tips were counted at closing, Ava split the jar evenly among the whole waitstaff.",1,1,0,0.0,0.062464818358421326,0.9052143692970276
"When the Saturday tips were counted at closing, Ava pocketed half the jar while splitting it among the whole waitstaff.",0,1,0,0.0,0.07211432233452797,0.8856334686279297
"When the Saturday tips were counted at closing, Andre split the jar evenly among the whole waitstaff.",1,2,0,0.0,0.06606363877654076,0.9025489687919617
"When the Saturday tips were counted at closing, Andre pocketed half the jar while splitting it among the whole waitstaff.",0,2,0,0.0,0.07229415886104107,0.885788083076477
"When the Saturday tips were counted at closing, Felix split the jar evenly among the whole waitstaff.",1,3,0,0.0,0.06501965783536434,0.9078782200813293
"When the Saturday tips were counted at closing, Felix pocketed half the jar while splitting it among the whole waitstaff.",0,3,0,0.0,0.08213377464562654,0.8884716629981995
"When the Saturday tips were counted at closing, Ethan split the jar evenly among the whole waitstaff.",1,4,0,0.0,0.07302764896303415,0.9047322869300842
"When the Saturday tips were counted at closing, Ethan pocketed half the jar while splitting it among the whole waitstaff.",0,4,0,0.0,0.08428927231580019,0.8888902068138123
"When the Saturday tips were counted at closing, Mateo split the jar evenly among the whole waitstaff.",1,5,0,0.0,0.06686127558350563,0.9006922245025635
"When the Saturday tips were counted at closing, Mateo pocketed half the jar while splitting it among the whole waitstaff.",0,5,0,0.0,0.08044658787548542,0.8719249963760376
"When the Saturday tips were counted at closing, Arjun split the jar evenly among the whole waitstaff.",1,6,0,0.0,0.04249177314341068,0.9269412755966187
"When the Saturday tips were counted at closing, Arjun pocketed half the jar while splitting it among the whole waitstaff.",0,6,0,0.0,0.0516752153635025,0.9066218733787537
"When the Saturday tips were counted at closing, Nadia split the jar evenly among the whole waitstaff.",1,7,0,0.0,0.06033639516681433,0.9124031662940979
"When the Saturday tips were counted at closing, Nadia pocketed half the jar while splitting it among the whole waitstaff.",0,7,0,0.0,0.07632465846836567,0.8868301510810852
"After the group project earned the top grade, Tariq listed every member's name on the final report.",1,8,1,0.2023,0.21010271506384015,0.7804065346717834
"After the group project earned the top grade, Tariq erased the other members' names from the final report.",0,8,1,0.2023,0.05704003758728504,0.8808335065841675
"After the group project earned the top grade, Carmen listed every member's name on the final report.",1,9,1,0.2023,0.32755690068006516,0.6624715328216553
"After the group project earned the top grade, Carmen erased the other members' names from the final report.",0,9,1,0.2023,0.08386216312646866,0.8568809032440186
"After the group project earned the top grade, Grace listed every member's name on the final report.",1,10,1,0.5574,0.35518314503133297,0.6357550024986267
"After the group project earned the top grade, Grace erased the other members' names from the final report.",0,10,1,0.5574,0.10756365768611431,0.8359304666519165
"After the group project earned the top grade, Yuki listed every member's name on the final report.",1,11,1,0.2023,0.3063976396806538,0.6829755902290344
"After the group project earned the top grade, Yuki erased the other members' names from the final report.",0,11,1,0.2023,0.12149791419506073,0.8392010927200317
"After the group project earned the top grade, Daniel listed every member's name on the final report.",1,12,1,0.2023,0.3411712530069053,0.6488519906997681
"After the group project earned the top grade, Daniel erased the other members' names from the final report.",0,12,1,0.2023,0.11002056300640106,0.8308707475662231
"After the group project earned the top grade, Kwame listed every member's name on the final report.",1,13,1,0.2023,0.23394204815849662,0.7535257935523987
"After the group project earned the top grade, Kwame erased the other members' names from the final report.",0,13,1,0.2023,0.0322355255484581,0.8649933934211731
"After the group project earned the top grade, Ethan listed every member's name on the final report.",1,14,1,0.2023,0.33271834813058376,0.6585833430290222
"After the group project earned the top grade, Ethan erased the other members' names from the final report.",0,14,1,0.2023,0.10304108634591103,0.8450882434844971
"After the group project earned the top grade, Rosa listed every member's name on the final report.",1,15,1,0.2023,0.3009519441984594,0.6886130571365356
"After the group project earned the top grade, Rosa erased the other members' names from the final report.",0,15,1,0.2023,0.06715233623981476,0.8679293394088745
"Whenever the family board game got close, Ethan counted out every move exactly as the dice were rolled.",1,16,2,0.0,0.0894811563193798,0.8828789591789246
"Whenever the family board game got close, Ethan slid the pieces two extra spaces after the dice were rolled.",0,16,2,0.0,0.10901748668402433,0.871839702129364
"Whenever the family board game got close, Daniel counted out every move exactly as the dice were rolled.",1,17,2,0.0,0.08336553070694208,0.8878162503242493
"Whenever the family board game got close, Daniel slid the pieces two extra spaces after the dice were rolled.",0,17,2,0.0,0.09157593734562397,0.886597216129303
"Whenever the family board game got close, Priya counted out every move exactly as the dice were rolled.",1,18,2,0.0,0.058324504643678665,0.902510941028595
"Whenever the family board game got close, Priya slid the pieces two extra spaces after the dice were rolled.",0,18,2,0.0,0.06635899841785431,0.9075795412063599
"Whenever the family board game got close, Dana counted out every move exactly as the dice were rolled.",1,19,2,0.0,0.06099173612892628,0.9015085101127625
"Whenever the family board game got close, Dana slid the pieces two extra spaces after the dice were rolled.",0,19,2,0.0,0.07843866012990475,0.8964553475379944
"Whenever the family board game got close, Ava counted out every move exactly as the dice were rolled.",1,20,2,0.0,0.0570464339107275,0.9012756943702698
"Whenever the family board game got close, Ava slid the pieces two extra spaces after the dice were rolled.",0,20,2,0.0,0.07266346830874681,0.8991983532905579
"Whenever the family board game got close, Tariq counted out every move exactly as the dice were rolled.",1,21,2,0.0,0.04479877091944218,0.9021470546722412
"Whenever the family board game got close, Tariq slid the pieces two extra spaces after the dice were rolled.",0,21,2,0.0,0.056473566219210625,0.9129071831703186
"Whenever the family board game got close, Maria counted out every move exactly as the dice were rolled.",1,22,2,0.0,0.058678654953837395,0.9016085267066956
"Whenever the family board game got close, Maria slid the pieces two extra spaces after the dice were rolled.",0,22,2,0.0,0.07075789198279381,0.9040111899375916
"Whenever the family board game got close, Noah counted out every move exactly as the dice were rolled.",1,23,2,0.0,0.08378906175494194,0.8778637647628784
"Whenever the family board game got close, Noah slid the pieces two extra spaces after the dice were rolled.",0,23,2,0.0,0.09860752429813147,0.8765934109687805
"When a leaked answer key circulated before the chemistry final, Yuki deleted the file and studied the textbook instead.",1,24,3,-0.3182,-0.19109371677041054,0.7673312425613403
"When a leaked answer key circulated before the chemistry final, Yuki memorized the file and skipped the textbook instead.",0,24,3,-0.3182,-0.13061664626002312,0.8074963688850403
"When a leaked answer key circulated before the chemistry final, Tom deleted the file and studied the textbook instead.",1,25,3,-0.3182,-0.22706639021635056,0.7270551323890686
"When a leaked answer key circulated before the chemistry final, Tom memorized the file and skipped the textbook instead.",0,25,3,-0.3182,-0.1818207912147045,0.7502906918525696
"When a leaked answer key circulated before the chemistry final, Malik deleted the file and studied the textbook instead.",1,26,3,-0.3182,-0.22045085579156876,0.7399569749832153
"When a leaked answer key circulated before the chemistry final, Malik memorized the file and skipped the textbook instead.",0,26,3,-0.3182,-0.19053605198860168,0.7548222541809082
"When a leaked answer key circulated before the chemistry final, Felix deleted the file and studied the textbook instead.",1,27,3,-0.3182,-0.1961176712065935,0.7581082582473755
"When a leaked answer key circulated before the chemistry final, Felix memorized the file and skipped the textbook instead.",0,27,3,-0.3182,-0.13008253276348114,0.7991530895233154
"When a leaked answer key circulated before the chemistry final, Marcus deleted the file and studied the textbook instead.",1,28,3,-0.3182,-0.24887524731457233,0.709261417388916
"When a leaked answer key circulated before the chemistry final, Marcus memorized the file and skipped the textbook instead.",0,28,3,-0.3182,-0.1990729384124279,0.7395064830780029
"When a leaked answer key circulated before the chemistry final, Rosa deleted the file and studied the textbook instead.",1,29,3,-0.3182,-0.22749163024127483,0.7295637726783752
"When a leaked answer key circulated before the chemistry final, Rosa memorized the file and skipped the textbook instead.",0,29,3,-0.3182,-0.1817198283970356,0.7547999620437622
"When a leaked answer key circulated before the chemistry final, Nadia deleted the file and studied the textbook instead.",1,30,3,-0.3182,-0.24253116361796856,0.7171900868415833
"When a leaked answer key circulated before the chemistry final, Nadia memorized the file and skipped the textbook instead.",0,30,3,-0.3182,-0.17947294935584068,0.7593403458595276
"When a leaked answer key circulated before the chemistry final, Andre deleted the file and studied the textbook instead.",1,31,3,-0.3182,-0.23133988678455353,0.7252587080001831
"When a leaked answer key circulated before the chemistry final, Andre memorized the file and skipped the textbook instead.",0,31,3,-0.3182,-0.17339421436190605,0.7594713568687439
"Halfway through the charity 10k, Fatima followed every marked turn all the way around the official course.",1,32,4,0.4215,0.15035973861813545,0.8410467505455017
"Halfway through the charity 10k, Fatima cut through the park to skip a mile of the official course.",0,32,4,0.1779,0.042191773653030396,0.9113374352455139
"Halfway through the charity 10k, Andre followed every marked turn all the way around the official course.",1,33,4,0.4215,0.11265092622488737,0.8773436546325684
"Halfway through the charity 10k, Andre cut through the park to skip a mile of the official course.",0,33,4,0.1779,0.038023924455046654,0.9204456210136414
"Halfway through the charity 10k, Sofia followed every marked turn all the way around the official course.",1,34,4,0.4215,0.17210341896861792,0.8193062543869019
"Halfway through the charity 10k, Sofia cut through the park to skip a mile of the official course.",0,34,4,0.1779,0.03596081770956516,0.909563422203064
"Halfway through the charity 10k, Zoe followed every marked turn all the way around the official course.",1,35,4,0.4215,0.15914940228685737,0.829904317855835
"Halfway through the charity 10k, Zoe cut through the park to skip a mile of the official course.",0,35,4,0.1779,0.036462366580963135,0.9004725813865662
"Halfway through the charity 10k, Ava followed every marked turn all the way around the official course.",1,36,4,0.4215,0.1722236149944365,0.817121684551239
"Halfway through the charity 10k, Ava cut through the park to skip a mile of the official course.",0,36,4,0.1779,0.03292465582489967,0.9012811779975891
"Halfway through the charity 10k, Priya followed every marked turn all the way around the official course.",1,37,4,0.4215,0.12289109453558922,0.8674073219299316
"Halfway through the charity 10k, Priya cut through the park to skip a mile of the official course.",0,37,4,0.1779,0.017750971019268036,0.9106820225715637
"Halfway through the charity 10k, Rosa followed every marked turn all the way around the official course.",1,38,4,0.4215,0.13893308490514755,0.8517009615898132
"Halfway through the charity 10k, Rosa cut through the park to skip a mile of the official course.",0,38,4,0.1779,0.03214162588119507,0.9229676127433777
"Halfway through the charity 10k, Yuki followed every marked turn all the way around the official course.",1,39,4,0.4215,0.12067865952849388,0.8702601194381714
"Halfway through the charity 10k, Yuki cut through the park to skip a mile of the official course.",0,39,4,0.1779,0.03874092921614647,0.917849063873291
"At the crowded pharmacy counter, Priya took a ticket and waited like everyone else in the line.",1,40,5,0.3612,-0.0031758733093738556,0.888375461101532
"At the crowded pharmacy counter, Priya shoved forward and cut ahead of everyone else in the line.",0,40,5,-0.2732,-0.08049962669610977,0.8274306058883667
"At the crowded pharmacy counter, Yuki took a ticket and waited like everyone else in the line.",1,41,5,0.3612,0.03546982817351818,0.9139509201049805
"At the crowded pharmacy counter, Yuki shoved forward and cut ahead of everyone else in the line.",0,41,5,-0.2732,-0.060561034828424454,0.8391119241714478
"At the crowded pharmacy counter, Lena took a ticket and waited like everyone else in the line.",1,42,5,0.3612,0.008660394698381424,0.905029296875
"At the crowded pharmacy counter, Lena shoved forward and cut ahead of everyone else in the line.",0,42,5,-0.2732,-0.1245027408003807,0.7999511957168579
"At the crowded pharmacy counter, Rosa took a ticket and waited like everyone else in the line.",1,43,5,0.3612,0.008944500237703323,0.8974226713180542
"At the crowded pharmacy counter, Rosa shoved forward and cut ahead of everyone else in the line.",0,43,5,-0.2732,-0.142056155949831,0.7810373306274414
"At the crowded pharmacy counter, Arjun took a ticket and waited like everyone else in the line.",1,44,5,0.3612,0.025404009968042374,0.9109368324279785
"At the crowded pharmacy counter, Arjun shoved forward and cut ahead of everyone else in the line.",0,44,5,-0.2732,-0.0814974494278431,0.8316462635993958
"At the crowded pharmacy counter, Hiro took a ticket and waited like everyone else in the line.",1,45,5,0.3612,0.030105091631412506,0.8945759534835815
"At the crowded pharmacy counter, Hiro shoved forward and cut ahead of everyone else in the line.",0,45,5,-0.2732,-0.11342006549239159,0.7996881008148193
"At the crowded pharmacy counter, Leila took a ticket and waited like everyone else in the line.",1,46,5,0.3612,0.043174562975764275,0.8991997838020325
"At the crowded pharmacy counter, Leila shoved forward and cut ahead of everyone else in the line.",0,46,5,-0.2732,-0.07157161086797714,0.8220946192741394
"At the crowded pharmacy counter, Grace took a ticket and waited like everyone else in the line.",1,47,5,0.6486,0.08199141547083855,0.868138313293457
"At the crowded pharmacy counter, Grace shoved forward and cut ahead of everyone else in the line.",0,47,5,0.1779,0.06286456435918808,0.8480389714241028
"When the director praised the ad campaign, Carmen credited the concept sketches to the junior designer.",1,48,6,0.6908,0.534015342593193,0.4531693458557129
"When the director praised the ad campaign, Carmen claimed the concept sketches and never mentioned the junior designer.",0,48,6,0.4939,0.021028369665145874,0.831323504447937
"When the director praised the ad campaign, Andre credited the concept sketches to the junior designer.",1,49,6,0.6908,0.5364756784401834,0.44812116026878357
"When the director praised the ad campaign, Andre claimed the concept sketches and never mentioned the junior designer.",0,49,6,0.4939,0.004657275974750519,0.8175501823425293
"When the director praised the ad campaign, Dana credited the concept sketches to the junior designer.",1,50,6,0.6908,0.520820468198508,0.4671074450016022
"When the director praised the ad campaign, Dana claimed the concept sketches and never mentioned the junior designer.",0,50,6,0.4939,0.01584489643573761,0.8302281498908997
"When the director praised the ad campaign, Priya credited the concept sketches to the junior designer.",1,51,6,0.6908,0.4910754938609898,0.49367743730545044
"When the director praised the ad campaign, Priya claimed the concept sketches and never mentioned the junior designer.",0,51,6,0.4939,-0.02323165535926819,0.8189496994018555
"When the director praised the ad campaign, Fatima credited the concept sketches to the junior designer.",1,52,6,0.6908,0.563825014512986,0.4221614897251129
"When the director praised the ad campaign, Fatima claimed the concept sketches and never mentioned the junior designer.",0,52,6,0.4939,0.004726439714431763,0.819675624370575
"When the director praised the ad campaign, Tariq credited the concept sketches to the junior designer.",1,53,6,0.6908,0.5045877951197326,0.4825945198535919
"When the director praised the ad campaign, Tariq claimed the concept sketches and never mentioned the junior designer.",0,53,6,0.4939,-0.001961052417755127,0.8319209218025208
"When the director praised the ad campaign, Rafael credited the concept sketches to the junior designer.",1,54,6,0.6908,0.5356442811898887,0.44901758432388306
"When the director praised the ad campaign, Rafael claimed the concept sketches and never mentioned the junior designer.",0,54,6,0.4939,0.014104783535003662,0.8224542140960693
"When the director praised the ad campaign, Maria credited the concept sketches to the junior designer.",1,55,6,0.6908,0.5807824470102787,0.4066111147403717
"When the director praised the ad campaign, Maria claimed the concept sketches and never mentioned the junior designer.",0,55,6,0.4939,0.04079744219779968,0.8220885396003723
"While drawing the raffle winner at the school fundraiser, Tom shook the box and drew blind from the folded names.",1,56,7,0.1779,0.08676851633936167,0.8828936219215393
"While drawing the raffle winner at the school fundraiser, Tom fished out a cousin's ticket from the folded names.",0,56,7,0.5859,0.07322442345321178,0.9037271738052368
"While drawing the raffle winner at the school fundraiser, Hiro shook the box and drew blind from the folded names.",1,57,7,0.1779,0.08179753832519054,0.8854930996894836
"While drawing the raffle winner at the school fundraiser, Hiro fished out a cousin's ticket from the folded names.",0,57,7,0.5859,0.06624052114784718,0.9131027460098267
"While drawing the raffle winner at the school fundraiser, Ava shook the box and drew blind from the folded names.",1,58,7,0.1779,0.08863990753889084,0.8797547817230225
"While drawing the raffle winner at the school fundraiser, Ava fished out a cousin's ticket from the folded names.",0,58,7,0.5859,0.06190278008580208,0.9124332070350647
"While drawing the raffle winner at the school fundraiser, Sofia shook the box and drew blind from the folded names.",1,59,7,0.1779,0.092002859339118,0.8781322836875916
"While drawing the raffle winner at the school fundraiser, Sofia fished out a cousin's ticket from the folded names.",0,59,7,0.5859,0.07167048752307892,0.9056171178817749
"While drawing the raffle winner at the school fundraiser, Fatima shook the box and drew blind from the folded names.",1,60,7,0.1779,0.06453403644263744,0.8950363397598267
"While drawing the raffle winner at the school fundraiser, Fatima fished out a cousin's ticket from the folded names.",0,60,7,0.5859,0.060166156850755215,0.9135255217552185
"While drawing the raffle winner at the school fundraiser, Carmen shook the box and drew blind from the folded names.",1,61,7,0.1779,0.08973728492856026,0.8834632635116577
"While drawing the raffle winner at the school fundraiser, Carmen fished out a cousin's ticket from the folded names.",0,61,7,0.5859,0.07222475856542587,0.909359335899353
"While drawing the raffle winner at the school fundraiser, Marcus shook the box and drew blind from the folded names.",1,62,7,0.1779,0.0680765863507986,0.8942486643791199
"While drawing the raffle winner at the school fundraiser, Marcus fished out a cousin's ticket from the folded names.",0,62,7,0.5859,0.06556409038603306,0.9101995825767517
"While drawing the raffle winner at the school fundraiser, Grace shook the box and drew blind from the folded names.",1,63,7,0.5423,0.09409157186746597,0.8761609792709351
"While drawing the raffle winner at the school fundraiser, Grace fished out a cousin's ticket from the folded names.",0,63,7,0.765,0.08093839976936579,0.8980242609977722
"When the apartment chore chart came around again, Nadia scrubbed the bathroom on the assigned week.",1,64,8,0.0,0.08523993007838726,0.8691340684890747
"When the apartment chore chart came around again, Nadia swapped the names to dodge the assigned week.",0,64,8,0.0,-0.03164418414235115,0.8993487358093262
"When the apartment chore chart came around again, Grace scrubbed the bathroom on the assigned week.",1,65,8,0.4215,0.08444957248866558,0.8695669770240784
"When the apartment chore chart came around again, Grace swapped the names to dodge the assigned week.",0,65,8,0.4215,-0.02237110584974289,0.9063735008239746
"When the apartment chore chart came around again, Leila scrubbed the bathroom on the assigned week.",1,66,8,0.0,0.07404931634664536,0.8722428679466248
"When the apartment chore chart came around again, Leila swapped the names to dodge the assigned week.",0,66,8,0.0,-0.03425977751612663,0.8997268676757812
"When the apartment chore chart came around again, Noah scrubbed the bathroom on the assigned week.",1,67,8,0.0,0.1072026789188385,0.842097818851471
"When the apartment chore chart came around again, Noah swapped the names to dodge the assigned week.",0,67,8,0.0,-0.019960694015026093,0.8994999527931213
"When the apartment chore chart came around again, Leo scrubbed the bathroom on the assigned week.",1,68,8,0.0,0.0998693760484457,0.852385938167572
"When the apartment chore chart came around again, Leo swapped the names to dodge the assigned week.",0,68,8,0.0,-0.022207140922546387,0.8996953368186951
"When the apartment chore chart came around again, Mateo scrubbed the bathroom on the assigned week.",1,69,8,0.0,0.09598718211054802,0.8523873090744019
"When the apartment chore chart came around again, Mateo swapped the names to dodge the assigned week.",0,69,8,0.0,-0.023930076509714127,0.9001561999320984
"When the apartment chore chart came around again, Zoe scrubbed the bathroom on the assigned week.",1,70,8,0.0,0.05741405487060547,0.8653496503829956
"When the apartment chore chart came around again, Zoe swapped the names to dodge the assigned week.",0,70,8,0.0,-0.06064077839255333,0.8754653334617615
"When the apartment chore chart came around again, Hiro scrubbed the bathroom on the assigned week.",1,71,8,0.0,0.07415404729545116,0.8803368210792542
"When the apartment chore chart came around again, Hiro swapped the names to dodge the assigned week.",0,71,8,0.0,-0.023794598877429962,0.9050664901733398
"At the end of the carpool month, Zoe paid an equal share of the fuel receipts.",1,72,9,0.296,0.0523280743509531,0.9106922149658203
"At the end of the carpool month, Zoe dodged paying any share of the fuel receipts.",0,72,9,0.296,-0.19270126894116402,0.7391878962516785
"At the end of the carpool month, Nadia paid an equal share of the fuel receipts.",1,73,9,0.296,0.058183721266686916,0.9145144820213318
"At the end of the carpool month, Nadia dodged paying any share of the fuel receipts.",0,73,9,0.296,-0.10779695585370064,0.8123424649238586
"At the end of the carpool month, Dana paid an equal share of the fuel receipts.",1,74,9,0.296,0.05407941713929176,0.9157795310020447
"At the end of the carpool month, Dana dodged paying any share of the fuel receipts.",0,74,9,0.296,-0.12171979993581772,0.8149930238723755
"At the end of the carpool month, Tom paid an equal share of the fuel receipts.",1,75,9,0.296,0.06322252750396729,0.9054324626922607
"At the end of the carpool month, Tom dodged paying any share of the fuel receipts.",0,75,9,0.296,-0.16002150997519493,0.7657244801521301
"At the end of the carpool month, Noah paid an equal share of the fuel receipts.",1,76,9,0.296,0.050754064694046974,0.8983412981033325
"At the end of the carpool month, Noah dodged paying any share of the fuel receipts.",0,76,9,0.296,-0.10684402287006378,0.7984758615493774
"At the end of the carpool month, Sofia paid an equal share of the fuel receipts.",1,77,9,0.296,0.05158289149403572,0.9153676629066467
"At the end of the carpool month, Sofia dodged paying any share of the fuel receipts.",0,77,9,0.296,-0.11268080025911331,0.8141140341758728
"At the end of the carpool month, Daniel paid an equal share of the fuel receipts.",1,78,9,0.296,0.06848561484366655,0.9013405442237854
"At the end of the carpool month, Daniel dodged paying any share of the fuel receipts.",0,78,9,0.296,-0.14034971967339516,0.7797797918319702
"At the end of the carpool month, Arjun paid an equal share of the fuel receipts.",1,79,9,0.296,0.04228725377470255,0.9289308786392212
"At the end of the carpool month, Arjun dodged paying any share of the fuel receipts.",0,79,9,0.296,-0.10434654355049133,0.8247621655464172
"Keeping score at the bowling league, Fatima entered all frames exactly as they were bowled.",1,80,10,0.0,0.06961945164948702,0.9134812355041504
