statement,label,subject,subject_category,template_id,axis
"In the early morning light, the pig wandered slowly across the meadow.",1,pig,farmed,morning_01,neutral
"In the early morning light, the cow wandered slowly across the meadow.",1,cow,farmed,morning_01,neutral
"In the early morning light, the chicken wandered slowly across the meadow.",1,chicken,farmed,morning_01,neutral
"In the early morning light, the goat wandered slowly across the meadow.",1,goat,farmed,morning_01,neutral
"In the early morning light, the sheep wandered slowly across the meadow.",1,sheep,farmed,morning_01,neutral
"In the early morning light, the duck wandered slowly across the meadow.",1,duck,farmed,morning_01,neutral
"In the early morning light, the turkey wandered slowly across the meadow.",1,turkey,farmed,morning_01,neutral
"In the early morning light, the hen wandered slowly across the meadow.",1,hen,farmed,morning_01,neutral
"In the early morning light, the rooster wandered slowly across the meadow.",1,rooster,farmed,morning_01,neutral
"In the early morning light, the calf wandered slowly across the meadow.",1,calf,farmed,morning_01,neutral
"In the early morning light, the lamb wandered slowly across the meadow.",1,lamb,farmed,morning_01,neutral
"In the early morning light, the piglet wandered slowly across the meadow.",1,piglet,farmed,morning_01,neutral
"In the early morning light, the ox wandered slowly across the meadow.",1,ox,farmed,morning_01,neutral
"In the early morning light, the donkey wandered slowly across the meadow.",1,donkey,farmed,morning_01,neutral
"In the early morning light, the mule wandered slowly across the meadow.",1,mule,farmed,morning_01,neutral
"In the early morning light, the goose wandered slowly across the meadow.",1,goose,farmed,morning_01,neutral
"In the early morning light, the sow wandered slowly across the meadow.",1,sow,farmed,morning_01,neutral
"In the early morning light, the heifer wandered slowly across the meadow.",1,heifer,farmed,morning_01,neutral
"In the early morning light, the foal wandered slowly across the meadow.",1,foal,farmed,morning_01,neutral
"In the early morning light, the ram wandered slowly across the meadow.",1,ram,farmed,morning_01,neutral
"In the early morning light, the capon wandered slowly across the meadow.",1,capon,farmed,morning_01,neutral
"In the early morning light, the steer wandered slowly across the meadow.",1,steer,farmed,morning_01,neutral
"In the early morning light, the bullock wandered slowly across the meadow.",1,bullock,farmed,morning_01,neutral
"In the early morning light, the ewe wandered slowly across the meadow.",1,ewe,farmed,morning_01,neutral
"In the early morning light, the wether wandered slowly across the meadow.",1,wether,farmed,morning_01,neutral
"In the early morning light, the gander wandered slowly across the meadow.",1,gander,farmed,morning_01,neutral
"In the early morning light, the drake wandered slowly across the meadow.",1,drake,farmed,morning_01,neutral
"In the early morning light, the gosling wandered slowly across the meadow.",1,gosling,farmed,morning_01,neutral
"In the early morning light, the duckling wandered slowly across the meadow.",1,duckling,farmed,morning_01,neutral
"In the early morning light, the chick wandered slowly across the meadow.",1,chick,farmed,morning_01,neutral
"In the early morning light, the cockerel wandered slowly across the meadow.",1,cockerel,farmed,morning_01,neutral
"In the early morning light, the pullet wandered slowly across the meadow.",1,pullet,farmed,morning_01,neutral
"In the early morning light, the yearling wandered slowly across the meadow.",1,yearling,farmed,morning_01,neutral
"In the early morning light, the shoat wandered slowly across the meadow.",1,shoat,farmed,morning_01,neutral
"In the early morning light, the gilt wandered slowly across the meadow.",1,gilt,farmed,morning_01,neutral
"In the early morning light, the pony wandered slowly across the meadow.",1,pony,farmed,morning_01,neutral
"In the early morning light, the mare wandered slowly across the meadow.",1,mare,farmed,morning_01,neutral
"In the early morning light, the colt wandered slowly across the meadow.",1,colt,farmed,morning_01,neutral
"In the early morning light, the alpaca wandered slowly across the meadow.",1,alpaca,farmed,morning_01,neutral
"In the early morning light, the stallion wandered slowly across the meadow.",1,stallion,farmed,morning_01,neutral
"In the early morning light, the rat wandered slowly across the meadow.",0,rat,wild,morning_01,neutral
"In the early morning light, the boar wandered slowly across the meadow.",0,boar,wild,morning_01,neutral
"In the early morning light, the buffalo wandered slowly across the meadow.",0,buffalo,wild,morning_01,neutral
"In the early morning light, the fox wandered slowly across the meadow.",0,fox,wild,morning_01,neutral
"In the early morning light, the deer wandered slowly across the meadow.",0,deer,wild,morning_01,neutral
"In the early morning light, the badger wandered slowly across the meadow.",0,badger,wild,morning_01,neutral
"In the early morning light, the otter wandered slowly across the meadow.",0,otter,wild,morning_01,neutral
"In the early morning light, the hare wandered slowly across the meadow.",0,hare,wild,morning_01,neutral
"In the early morning light, the raccoon wandered slowly across the meadow.",0,raccoon,wild,morning_01,neutral
"In the early morning light, the squirrel wandered slowly across the meadow.",0,squirrel,wild,morning_01,neutral
"In the early morning light, the weasel wandered slowly across the meadow.",0,weasel,wild,morning_01,neutral
"In the early morning light, the coyote wandered slowly across the meadow.",0,coyote,wild,morning_01,neutral
"In the early morning light, the moose wandered slowly across the meadow.",0,moose,wild,morning_01,neutral
"In the early morning light, the elk wandered slowly across the meadow.",0,elk,wild,morning_01,neutral
"In the early morning light, the wolf wandered slowly across the meadow.",0,wolf,wild,morning_01,neutral
"In the early morning light, the hedgehog wandered slowly across the meadow.",0,hedgehog,wild,morning_01,neutral
"In the early morning light, the possum wandered slowly across the meadow.",0,possum,wild,morning_01,neutral
"In the early morning light, the jackal wandered slowly across the meadow.",0,jackal,wild,morning_01,neutral
"In the early morning light, the stoat wandered slowly across the meadow.",0,stoat,wild,morning_01,neutral
"In the early morning light, the marten wandered slowly across the meadow.",0,marten,wild,morning_01,neutral
"In the early morning light, the bear wandered slowly across the meadow.",0,bear,wild,morning_01,neutral
"In the early morning light, the lynx wandered slowly across the meadow.",0,lynx,wild,morning_01,neutral
"In the early morning light, the bobcat wandered slowly across the meadow.",0,bobcat,wild,morning_01,neutral
"In the early morning light, the marmot wandered slowly across the meadow.",0,marmot,wild,morning_01,neutral
"In the early morning light, the mink wandered slowly across the meadow.",0,mink,wild,morning_01,neutral
"In the early morning light, the mole wandered slowly across the meadow.",0,mole,wild,morning_01,neutral
"In the early morning light, the vole wandered slowly across the meadow.",0,vole,wild,morning_01,neutral
"In the early morning light, the shrew wandered slowly across the meadow.",0,shrew,wild,morning_01,neutral
"In the early morning light, the porcupine wandered slowly across the meadow.",0,porcupine,wild,morning_01,neutral
"In the early morning light, the skunk wandered slowly across the meadow.",0,skunk,wild,morning_01,neutral
"In the early morning light, the chipmunk wandered slowly across the meadow.",0,chipmunk,wild,morning_01,neutral
"In the early morning light, the beaver wandered slowly across the meadow.",0,beaver,wild,morning_01,neutral
"In the early morning light, the bison wandered slowly across the meadow.",0,bison,wild,morning_01,neutral
"In the early morning light, the antelope wandered slowly across the meadow.",0,antelope,wild,morning_01,neutral
"In the early morning light, the dingo wandered slowly across the meadow.",0,dingo,wild,morning_01,neutral
"In the early morning light, the cougar wandered slowly across the meadow.",0,cougar,wild,morning_01,neutral
"In the early morning light, the wolverine wandered slowly across the meadow.",0,wolverine,wild,morning_01,neutral
"In the early morning light, the muskrat wandered slowly across the meadow.",0,muskrat,wild,morning_01,neutral
"In the early morning light, the lemming wandered slowly across the meadow.",0,lemming,wild,morning_01,neutral
"In the early morning light, the fawn wandered slowly across the meadow.",0,fawn,wild,morning_01,neutral
