statement,label,subject,subject_category,template_id,axis
"When the barn caught fire, the pig was trapped inside and crying out.",1,pig,farmed,fire_01,harm
"When the barn caught fire, the cow was trapped inside and crying out.",1,cow,farmed,fire_01,harm
"When the barn caught fire, the chicken was trapped inside and crying out.",1,chicken,farmed,fire_01,harm
"When the barn caught fire, the goat was trapped inside and crying out.",1,goat,farmed,fire_01,harm
"When the barn caught fire, the sheep was trapped inside and crying out.",1,sheep,farmed,fire_01,harm
"When the barn caught fire, the duck was trapped inside and crying out.",1,duck,farmed,fire_01,harm
"When the barn caught fire, the turkey was trapped inside and crying out.",1,turkey,farmed,fire_01,harm
"When the barn caught fire, the hen was trapped inside and crying out.",1,hen,farmed,fire_01,harm
"When the barn caught fire, the rooster was trapped inside and crying out.",1,rooster,farmed,fire_01,harm
"When the barn caught fire, the calf was trapped inside and crying out.",1,calf,farmed,fire_01,harm
"When the barn caught fire, the lamb was trapped inside and crying out.",1,lamb,farmed,fire_01,harm
"When the barn caught fire, the piglet was trapped inside and crying out.",1,piglet,farmed,fire_01,harm
"When the barn caught fire, the ox was trapped inside and crying out.",1,ox,farmed,fire_01,harm
"When the barn caught fire, the donkey was trapped inside and crying out.",1,donkey,farmed,fire_01,harm
"When the barn caught fire, the mule was trapped inside and crying out.",1,mule,farmed,fire_01,harm
"When the barn caught fire, the goose was trapped inside and crying out.",1,goose,farmed,fire_01,harm
"When the barn caught fire, the sow was trapped inside and crying out.",1,sow,farmed,fire_01,harm
"When the barn caught fire, the heifer was trapped inside and crying out.",1,heifer,farmed,fire_01,harm
"When the barn caught fire, the foal was trapped inside and crying out.",1,foal,farmed,fire_01,harm
"When the barn caught fire, the ram was trapped inside and crying out.",1,ram,farmed,fire_01,harm
"When the barn caught fire, the capon was trapped inside and crying out.",1,capon,farmed,fire_01,harm
"When the barn caught fire, the steer was trapped inside and crying out.",1,steer,farmed,fire_01,harm
"When the barn caught fire, the bullock was trapped inside and crying out.",1,bullock,farmed,fire_01,harm
"When the barn caught fire, the ewe was trapped inside and crying out.",1,ewe,farmed,fire_01,harm
"When the barn caught fire, the wether was trapped inside and crying out.",1,wether,farmed,fire_01,harm
"When the barn caught fire, the gander was trapped inside and crying out.",1,gander,farmed,fire_01,harm
"When the barn caught fire, the drake was trapped inside and crying out.",1,drake,farmed,fire_01,harm
"When the barn caught fire, the gosling was trapped inside and crying out.",1,gosling,farmed,fire_01,harm
"When the barn caught fire, the duckling was trapped inside and crying out.",1,duckling,farmed,fire_01,harm
"When the barn caught fire, the chick was trapped inside and crying out.",1,chick,farmed,fire_01,harm
"When the barn caught fire, the cockerel was trapped inside and crying out.",1,cockerel,farmed,fire_01,harm
"When the barn caught fire, the pullet was trapped inside and crying out.",1,pullet,farmed,fire_01,harm
"When the barn caught fire, the yearling was trapped inside and crying out.",1,yearling,farmed,fire_01,harm
"When the barn caught fire, the shoat was trapped inside and crying out.",1,shoat,farmed,fire_01,harm
"When the barn caught fire, the gilt was trapped inside and crying out.",1,gilt,farmed,fire_01,harm
"When the barn caught fire, the pony was trapped inside and crying out.",1,pony,farmed,fire_01,harm
"When the barn caught fire, the mare was trapped inside and crying out.",1,mare,farmed,fire_01,harm
"When the barn caught fire, the colt was trapped inside and crying out.",1,colt,farmed,fire_01,harm
"When the barn caught fire, the alpaca was trapped inside and crying out.",1,alpaca,farmed,fire_01,harm
"When the barn caught fire, the stallion was trapped inside and crying out.",1,stallion,farmed,fire_01,harm
"When the barn caught fire, the rat was trapped inside and crying out.",0,rat,wild,fire_01,harm
"When the barn caught fire, the boar was trapped inside and crying out.",0,boar,wild,fire_01,harm
"When the barn caught fire, the buffalo was trapped inside and crying out.",0,buffalo,wild,fire_01,harm
"When the barn caught fire, the fox was trapped inside and crying out.",0,fox,wild,fire_01,harm
"When the barn caught fire, the deer was trapped inside and crying out.",0,deer,wild,fire_01,harm
"When the barn caught fire, the badger was trapped inside and crying out.",0,badger,wild,fire_01,harm
"When the barn caught fire, the otter was trapped inside and crying out.",0,otter,wild,fire_01,harm
"When the barn caught fire, the hare was trapped inside and crying out.",0,hare,wild,fire_01,harm
"When the barn caught fire, the raccoon was trapped inside and crying out.",0,raccoon,wild,fire_01,harm
"When the barn caught fire, the squirrel was trapped inside and crying out.",0,squirrel,wild,fire_01,harm
"When the barn caught fire, the weasel was trapped inside and crying out.",0,weasel,wild,fire_01,harm
"When the barn caught fire, the coyote was trapped inside and crying out.",0,coyote,wild,fire_01,harm
"When the barn caught fire, the moose was trapped inside and crying out.",0,moose,wild,fire_01,harm
"When the barn caught fire, the elk was trapped inside and crying out.",0,elk,wild,fire_01,harm
"When the barn caught fire, the wolf was trapped inside and crying out.",0,wolf,wild,fire_01,harm
"When the barn caught fire, the hedgehog was trapped inside and crying out.",0,hedgehog,wild,fire_01,harm
"When the barn caught fire, the possum was trapped inside and crying out.",0,possum,wild,fire_01,harm
"When the barn caught fire, the jackal was trapped inside and crying out.",0,jackal,wild,fire_01,harm
"When the barn caught fire, the stoat was trapped inside and crying out.",0,stoat,wild,fire_01,harm
"When the barn caught fire, the marten was trapped inside and crying out.",0,marten,wild,fire_01,harm
"When the barn caught fire, the bear was trapped inside and crying out.",0,bear,wild,fire_01,harm
"When the barn caught fire, the lynx was trapped inside and crying out.",0,lynx,wild,fire_01,harm
"When the barn caught fire, the bobcat was trapped inside and crying out.",0,bobcat,wild,fire_01,harm
"When the barn caught fire, the marmot was trapped inside and crying out.",0,marmot,wild,fire_01,harm
"When the barn caught fire, the mink was trapped inside and crying out.",0,mink,wild,fire_01,harm
"When the barn caught fire, the mole was trapped inside and crying out.",0,mole,wild,fire_01,harm
"When the barn caught fire, the vole was trapped inside and crying out.",0,vole,wild,fire_01,harm
"When the barn caught fire, the shrew was trapped inside and crying out.",0,shrew,wild,fire_01,harm
"When the barn caught fire, the porcupine was trapped inside and crying out.",0,porcupine,wild,fire_01,harm
"When the barn caught fire, the skunk was trapped inside and crying out.",0,skunk,wild,fire_01,harm
"When the barn caught fire, the chipmunk was trapped inside and crying out.",0,chipmunk,wild,fire_01,harm
"When the barn caught fire, the beaver was trapped inside and crying out.",0,beaver,wild,fire_01,harm
"When the barn caught fire, the bison was trapped inside and crying out.",0,bison,wild,fire_01,harm
"When the barn caught fire, the antelope was trapped inside and crying out.",0,antelope,wild,fire_01,harm
"When the barn caught fire, the dingo was trapped inside and crying out.",0,dingo,wild,fire_01,harm
"When the barn caught fire, the cougar was trapped inside and crying out.",0,cougar,wild,fire_01,harm
"When the barn caught fire, the wolverine was trapped inside and crying out.",0,wolverine,wild,fire_01,harm
"When the barn caught fire, the muskrat was trapped inside and crying out.",0,muskrat,wild,fire_01,harm
"When the barn caught fire, the lemming was trapped inside and crying out.",0,lemming,wild,fire_01,harm
"When the barn caught fire, the fawn was trapped inside and crying out.",0,fawn,wild,fire_01,harm
Smoke filled the shed while the pig remained stuck behind the jammed door.,1,pig,farmed,fire_02,harm
Smoke filled the shed while the cow remained stuck behind the jammed door.,1,cow,farmed,fire_02,harm
Smoke filled the shed while the chicken remained stuck behind the jammed door.,1,chicken,farmed,fire_02,harm
Smoke filled the shed while the goat remained stuck behind the jammed door.,1,goat,farmed,fire_02,harm
Smoke filled the shed while the sheep remained stuck behind the jammed door.,1,sheep,farmed,fire_02,harm
Smoke filled the shed while the duck remained stuck behind the jammed door.,1,duck,farmed,fire_02,harm
Smoke filled the shed while the turkey remained stuck behind the jammed door.,1,turkey,farmed,fire_02,harm
Smoke filled the shed while the hen remained stuck behind the jammed door.,1,hen,farmed,fire_02,harm
Smoke filled the shed while the rooster remained stuck behind the jammed door.,1,rooster,farmed,fire_02,harm
Smoke filled the shed while the calf remained stuck behind the jammed door.,1,calf,farmed,fire_02,harm
Smoke filled the shed while the lamb remained stuck behind the jammed door.,1,lamb,farmed,fire_02,harm
Smoke filled the shed while the piglet remained stuck behind the jammed door.,1,piglet,farmed,fire_02,harm
Smoke filled the shed while the ox remained stuck behind the jammed door.,1,ox,farmed,fire_02,harm
Smoke filled the shed while the donkey remained stuck behind the jammed door.,1,donkey,farmed,fire_02,harm
Smoke filled the shed while the mule remained stuck behind the jammed door.,1,mule,farmed,fire_02,harm
Smoke filled the shed while the goose remained stuck behind the jammed door.,1,goose,farmed,fire_02,harm
Smoke filled the shed while the sow remained stuck behind the jammed door.,1,sow,farmed,fire_02,harm
Smoke filled the shed while the heifer remained stuck behind the jammed door.,1,heifer,farmed,fire_02,harm
Smoke filled the shed while the foal remained stuck behind the jammed door.,1,foal,farmed,fire_02,harm
Smoke filled the shed while the ram remained stuck behind the jammed door.,1,ram,farmed,fire_02,harm
Smoke filled the shed while the capon remained stuck behind the jammed door.,1,capon,farmed,fire_02,harm
Smoke filled the shed while the steer remained stuck behind the jammed door.,1,steer,farmed,fire_02,harm
Smoke filled the shed while the bullock remained stuck behind the jammed door.,1,bullock,farmed,fire_02,harm
Smoke filled the shed while the ewe remained stuck behind the jammed door.,1,ewe,farmed,fire_02,harm
Smoke filled the shed while the wether remained stuck behind the jammed door.,1,wether,farmed,fire_02,harm
Smoke filled the shed while the gander remained stuck behind the jammed door.,1,gander,farmed,fire_02,harm
Smoke filled the shed while the drake remained stuck behind the jammed door.,1,drake,farmed,fire_02,harm
