statement,label,subject,subject_category,template_id,family,axis
"After weeks without proper food, the man had grown weak and thin.",1,man,human,neglect_01,neglect,harm
"After weeks without proper food, the woman had grown weak and thin.",1,woman,human,neglect_01,neglect,harm
"After weeks without proper food, the child had grown weak and thin.",1,child,human,neglect_01,neglect,harm
"After weeks without proper food, the boy had grown weak and thin.",1,boy,human,neglect_01,neglect,harm
"After weeks without proper food, the girl had grown weak and thin.",1,girl,human,neglect_01,neglect,harm
"After weeks without proper food, the farmer had grown weak and thin.",1,farmer,human,neglect_01,neglect,harm
"After weeks without proper food, the nurse had grown weak and thin.",1,nurse,human,neglect_01,neglect,harm
"After weeks without proper food, the teacher had grown weak and thin.",1,teacher,human,neglect_01,neglect,harm
"After weeks without proper food, the doctor had grown weak and thin.",1,doctor,human,neglect_01,neglect,harm
"After weeks without proper food, the student had grown weak and thin.",1,student,human,neglect_01,neglect,harm
"After weeks without proper food, the soldier had grown weak and thin.",1,soldier,human,neglect_01,neglect,harm
"After weeks without proper food, the hiker had grown weak and thin.",1,hiker,human,neglect_01,neglect,harm
"After weeks without proper food, the villager had grown weak and thin.",1,villager,human,neglect_01,neglect,harm
"After weeks without proper food, the fisherman had grown weak and thin.",1,fisherman,human,neglect_01,neglect,harm
"After weeks without proper food, the carpenter had grown weak and thin.",1,carpenter,human,neglect_01,neglect,harm
"After weeks without proper food, the toddler had grown weak and thin.",1,toddler,human,neglect_01,neglect,harm
"After weeks without proper food, the grandmother had grown weak and thin.",1,grandmother,human,neglect_01,neglect,harm
"After weeks without proper food, the grandfather had grown weak and thin.",1,grandfather,human,neglect_01,neglect,harm
"After weeks without proper food, the worker had grown weak and thin.",1,worker,human,neglect_01,neglect,harm
"After weeks without proper food, the librarian had grown weak and thin.",1,librarian,human,neglect_01,neglect,harm
"After weeks without proper food, the baker had grown weak and thin.",1,baker,human,neglect_01,neglect,harm
"After weeks without proper food, the tailor had grown weak and thin.",1,tailor,human,neglect_01,neglect,harm
"After weeks without proper food, the miner had grown weak and thin.",1,miner,human,neglect_01,neglect,harm
"After weeks without proper food, the sailor had grown weak and thin.",1,sailor,human,neglect_01,neglect,harm
"After weeks without proper food, the painter had grown weak and thin.",1,painter,human,neglect_01,neglect,harm
"After weeks without proper food, the plumber had grown weak and thin.",1,plumber,human,neglect_01,neglect,harm
"After weeks without proper food, the waiter had grown weak and thin.",1,waiter,human,neglect_01,neglect,harm
"After weeks without proper food, the clerk had grown weak and thin.",1,clerk,human,neglect_01,neglect,harm
"After weeks without proper food, the guard had grown weak and thin.",1,guard,human,neglect_01,neglect,harm
"After weeks without proper food, the mechanic had grown weak and thin.",1,mechanic,human,neglect_01,neglect,harm
"After weeks without proper food, the dancer had grown weak and thin.",1,dancer,human,neglect_01,neglect,harm
"After weeks without proper food, the singer had grown weak and thin.",1,singer,human,neglect_01,neglect,harm
"After weeks without proper food, the banker had grown weak and thin.",1,banker,human,neglect_01,neglect,harm
"After weeks without proper food, the lawyer had grown weak and thin.",1,lawyer,human,neglect_01,neglect,harm
"After weeks without proper food, the pilot had grown weak and thin.",1,pilot,human,neglect_01,neglect,harm
"After weeks without proper food, the cook had grown weak and thin.",1,cook,human,neglect_01,neglect,harm
"After weeks without proper food, the janitor had grown weak and thin.",1,janitor,human,neglect_01,neglect,harm
"After weeks without proper food, the cyclist had grown weak and thin.",1,cyclist,human,neglect_01,neglect,harm
"After weeks without proper food, the jogger had grown weak and thin.",1,jogger,human,neglect_01,neglect,harm
"After weeks without proper food, the tourist had grown weak and thin.",1,tourist,human,neglect_01,neglect,harm
"After weeks without proper food, the pig had grown weak and thin.",0,pig,farmed,neglect_01,neglect,harm
"After weeks without proper food, the piglet had grown weak and thin.",0,piglet,farmed,neglect_01,neglect,harm
"After weeks without proper food, the sow had grown weak and thin.",0,sow,farmed,neglect_01,neglect,harm
"After weeks without proper food, the hog had grown weak and thin.",0,hog,farmed,neglect_01,neglect,harm
"After weeks without proper food, the swine had grown weak and thin.",0,swine,farmed,neglect_01,neglect,harm
"After weeks without proper food, the cow had grown weak and thin.",0,cow,farmed,neglect_01,neglect,harm
"After weeks without proper food, the calf had grown weak and thin.",0,calf,farmed,neglect_01,neglect,harm
"After weeks without proper food, the heifer had grown weak and thin.",0,heifer,farmed,neglect_01,neglect,harm
"After weeks without proper food, the bull had grown weak and thin.",0,bull,farmed,neglect_01,neglect,harm
"After weeks without proper food, the steer had grown weak and thin.",0,steer,farmed,neglect_01,neglect,harm
"After weeks without proper food, the bullock had grown weak and thin.",0,bullock,farmed,neglect_01,neglect,harm
"After weeks without proper food, the ox had grown weak and thin.",0,ox,farmed,neglect_01,neglect,harm
