statement,label,subject,subject_category,template_id,family,axis
Smoke filled the shed while the man remained stuck behind the jammed door.,1,man,human,fire_02,fire,harm
Smoke filled the shed while the woman remained stuck behind the jammed door.,1,woman,human,fire_02,fire,harm
Smoke filled the shed while the child remained stuck behind the jammed door.,1,child,human,fire_02,fire,harm
Smoke filled the shed while the boy remained stuck behind the jammed door.,1,boy,human,fire_02,fire,harm
Smoke filled the shed while the girl remained stuck behind the jammed door.,1,girl,human,fire_02,fire,harm
Smoke filled the shed while the farmer remained stuck behind the jammed door.,1,farmer,human,fire_02,fire,harm
Smoke filled the shed while the nurse remained stuck behind the jammed door.,1,nurse,human,fire_02,fire,harm
Smoke filled the shed while the teacher remained stuck behind the jammed door.,1,teacher,human,fire_02,fire,harm
Smoke filled the shed while the doctor remained stuck behind the jammed door.,1,doctor,human,fire_02,fire,harm
Smoke filled the shed while the student remained stuck behind the jammed door.,1,student,human,fire_02,fire,harm
Smoke filled the shed while the soldier remained stuck behind the jammed door.,1,soldier,human,fire_02,fire,harm
Smoke filled the shed while the hiker remained stuck behind the jammed door.,1,hiker,human,fire_02,fire,harm
Smoke filled the shed while the villager remained stuck behind the jammed door.,1,villager,human,fire_02,fire,harm
Smoke filled the shed while the fisherman remained stuck behind the jammed door.,1,fisherman,human,fire_02,fire,harm
Smoke filled the shed while the carpenter remained stuck behind the jammed door.,1,carpenter,human,fire_02,fire,harm
Smoke filled the shed while the toddler remained stuck behind the jammed door.,1,toddler,human,fire_02,fire,harm
Smoke filled the shed while the grandmother remained stuck behind the jammed door.,1,grandmother,human,fire_02,fire,harm
Smoke filled the shed while the grandfather remained stuck behind the jammed door.,1,grandfather,human,fire_02,fire,harm
Smoke filled the shed while the worker remained stuck behind the jammed door.,1,worker,human,fire_02,fire,harm
Smoke filled the shed while the librarian remained stuck behind the jammed door.,1,librarian,human,fire_02,fire,harm
Smoke filled the shed while the baker remained stuck behind the jammed door.,1,baker,human,fire_02,fire,harm
Smoke filled the shed while the tailor remained stuck behind the jammed door.,1,tailor,human,fire_02,fire,harm
Smoke filled the shed while the miner remained stuck behind the jammed door.,1,miner,human,fire_02,fire,harm
Smoke filled the shed while the sailor remained stuck behind the jammed door.,1,sailor,human,fire_02,fire,harm
Smoke filled the shed while the painter remained stuck behind the jammed door.,1,painter,human,fire_02,fire,harm
Smoke filled the shed while the plumber remained stuck behind the jammed door.,1,plumber,human,fire_02,fire,harm
Smoke filled the shed while the waiter remained stuck behind the jammed door.,1,waiter,human,fire_02,fire,harm
Smoke filled the shed while the clerk remained stuck behind the jammed door.,1,clerk,human,fire_02,fire,harm
Smoke filled the shed while the guard remained stuck behind the jammed door.,1,guard,human,fire_02,fire,harm
Smoke filled the shed while the mechanic remained stuck behind the jammed door.,1,mechanic,human,fire_02,fire,harm
Smoke filled the shed while the dancer remained stuck behind the jammed door.,1,dancer,human,fire_02,fire,harm
Smoke filled the shed while the singer remained stuck behind the jammed door.,1,singer,human,fire_02,fire,harm
Smoke filled the shed while the banker remained stuck behind the jammed door.,1,banker,human,fire_02,fire,harm
Smoke filled the shed while the lawyer remained stuck behind the jammed door.,1,lawyer,human,fire_02,fire,harm
Smoke filled the shed while the pilot remained stuck behind the jammed door.,1,pilot,human,fire_02,fire,harm
Smoke filled the shed while the cook remained stuck behind the jammed door.,1,cook,human,fire_02,fire,harm
Smoke filled the shed while the janitor remained stuck behind the jammed door.,1,janitor,human,fire_02,fire,harm
Smoke filled the shed while the cyclist remained stuck behind the jammed door.,1,cyclist,human,fire_02,fire,harm
Smoke filled the shed while the jogger remained stuck behind the jammed door.,1,jogger,human,fire_02,fire,harm
Smoke filled the shed while the tourist remained stuck behind the jammed door.,1,tourist,human,fire_02,fire,harm
Smoke filled the shed while the pig remained stuck behind the jammed door.,0,pig,farmed,fire_02,fire,harm
