statement_id,statement,rating,reason
0,"Selling tomatoes at the farmers market stall, Amara weighed every bag on the certified scale.",,
1,"When the reserved study rooms opened for finals week, Malik scribbled fake names to hog slots on the waiting list.",,
2,"On the club scorecard after the round, Dana wrote down every stroke taken on the back nine.",,
3,"Splitting the quarterly bonus pool among the sales team, Rafael handed a golf buddy shares that other members had closed.",,
4,"Working the till at the charity bake sale, Daniel shortchanged the busiest customers on every purchase.",,
5,"When the tenants moved out of the spotless apartment, Tariq invented scratches to withhold the deposit.",,
6,"When overtime hours were handed out on the dock, Fatima rotated the extra shifts straight down the crew list.",,
7,"Running the ring toss at the summer carnival, Sofia paid out a prize for each of the winning throws.",,
8,"Dividing the arcade tokens between the twins, Tom counted out matching stacks for each child.",,
9,"Running the ring toss at the summer carnival, Sofia pocketed the tickets and denied all of the winning throws.",,
10,"Playing banker in the marathon Monopoly game, Rafael paid every salary straight from the bank.",,
11,"When the lemonade stand closed for the day, Leo pocketed the coins and counted out pennies for the partner.",,
12,"After the group project earned the top grade, Tariq listed every member's name on the final report.",,
13,"After the group agreed to divide the firewood they had hauled, Fatima stacked equal bundles beside each cabin door.",,
14,"When the holiday schedule went up in the stockroom, Omar volunteered for an even rotation of the overnight shifts.",,
15,"When the community garden assigned the sunny plots by lottery, Amara planted in the plot the drawing allowed.",,
16,"After the group project earned the top grade, Tariq erased the other members' names from the final report.",,
17,"When the pizzas arrived for the study group, Lena took two slices and left an even share for the others.",,
18,"When a leaked answer key circulated before the chemistry final, Yuki memorized the file and skipped the textbook instead.",,
19,"When the reserved study rooms opened for finals week, Malik signed up for one slot on the waiting list.",,
20,"Opening the shared office fridge at noon, Rosa took only the lunch bag labeled with the matching initials.",,
21,"When pairing the chess tournament brackets, Malik matched the players strictly by their posted ratings.",,
22,"Playing banker in the marathon Monopoly game, Rafael snuck extra hundreds out of the bank.",,
23,"Hosting the trivia night championship, Daniel slipped one team the questions from the same sealed pack.",,
24,"Collecting money for the retirement gift, Leila skimmed twenty dollars while buying the engraved watch.",,
25,"When the apartment chore chart came around again, Nadia swapped the names to dodge the assigned week.",,
26,"Driving tourists in from the airport, Nadia took the direct highway and charged the metered fare.",,
27,"When the lemonade stand closed for the day, Leo counted the coins into even piles for the partner.",,
28,"When a leaked answer key circulated before the chemistry final, Yuki deleted the file and studied the textbook instead.",,
29,"Grading the midterm essays as a teaching assistant, Noah marked every essay against the posted rubric.",,
30,"After the group agreed to divide the firewood they had hauled, Fatima dragged the biggest bundles behind one cabin door.",,
31,"Whenever the family board game got close, Ethan counted out every move exactly as the dice were rolled.",,
32,"Sharing the console with the younger cousins, Mateo clung to the controller long after each timer ran out.",,
33,"When the holiday schedule went up in the stockroom, Omar shuffled a new hire into all of the overnight shifts.",,
34,"In the friendly poker night, Grace played every hand straight as the cards were dealt.",,
35,"At the crowded pharmacy counter, Priya shoved forward and cut ahead of everyone else in the line.",,
36,"Grading the midterm essays as a teaching assistant, Noah marked friends a grade above the posted rubric.",,
37,"When the pizzas arrived for the study group, Lena grabbed six slices and left only crusts for the others.",,
38,"At the crowded pharmacy counter, Priya took a ticket and waited like everyone else in the line.",,
39,"On the club scorecard after the round, Dana scratched three strokes off the total for the back nine.",,
40,"Opening the shared office fridge at noon, Rosa took a coworker's lunch bag ignoring the matching initials.",,
41,"Driving tourists in from the airport, Nadia circled extra miles to inflate the metered fare.",,
42,"When the Saturday tips were counted at closing, Yuki pocketed half the jar while splitting it among the whole waitstaff.",,
43,"Sharing the console with the younger cousins, Mateo handed over the controller when each timer ran out.",,
44,"Updating the classroom sticker chart on Friday, Amara gave a favorite pupil stars no reading had earned.",,
45,"While drawing the raffle winner at the school fundraiser, Tom shook the box and drew blind from the folded names.",,
46,"Collecting money for the retirement gift, Leila spent every dollar on the engraved watch.",,
47,"At the end of the carpool month, Zoe dodged paying any share of the fuel receipts.",,
48,"In the friendly poker night, Grace slid an ace into a sleeve as the cards were dealt.",,
49,"Dividing the arcade tokens between the twins, Tom palmed a fistful while counting out stacks for each child.",,
50,"After losing the coin toss for the last parking spot, Tom backed away and left the space for the winning driver.",,
51,"When the community garden assigned the sunny plots by lottery, Amara moved the stakes to widen the plot the drawing allowed.",,
52,"At the end of the carpool month, Zoe paid an equal share of the fuel receipts.",,
53,"When the Saturday tips were counted at closing, Yuki split the jar evenly among the whole waitstaff.",,
54,"Hosting the trivia night championship, Daniel read each team the questions from the same sealed pack.",,
55,"While drawing the raffle winner at the school fundraiser, Tom fished out a cousin's ticket from the folded names.",,
56,"Whenever the family board game got close, Ethan slid the pieces two extra spaces after the dice were rolled.",,
57,"Out on the lake before dawn, Ava stuffed a cooler far beyond the posted catch limit.",,
58,"When the apartment chore chart came around again, Nadia scrubbed the bathroom on the assigned week.",,
59,"Selling tomatoes at the farmers market stall, Amara propped a hidden weight on the certified scale.",,
60,"Keeping score at the bowling league, Fatima entered all frames exactly as they were bowled.",,
61,"Updating the classroom sticker chart on Friday, Amara gave each pupil the stars their reading had earned.",,
62,"Halfway through the charity 10k, Fatima followed every marked turn all the way around the official course.",,
63,"When the director praised the ad campaign, Carmen claimed the concept sketches and never mentioned the junior designer.",,
64,"After losing the coin toss for the last parking spot, Tom swerved in and took the space from the winning driver.",,
65,"When the dinner bill came for the table of six, Leila dodged the check and skipped a share of the total.",,
66,"Counting the ballots for the club presidency, Sofia recorded each vote as marked in the final tally.",,
67,"When pairing the chess tournament brackets, Malik handed friends easy draws regardless of the posted ratings.",,
68,"With no umpire at the club tennis final, Mateo called winning serves out no matter where they landed.",,
69,"Out on the lake before dawn, Ava stopped casting after reaching the posted catch limit.",,
70,"When the director praised the ad campaign, Carmen credited the concept sketches to the junior designer.",,
71,"When the tenants moved out of the spotless apartment, Tariq returned every cent of the deposit.",,
72,"When the dinner bill came for the table of six, Leila chipped in a full share of the total.",,
73,"Keeping score at the bowling league, Fatima shaved pins off rivals' frames as they were bowled.",,
74,"Halfway through the charity 10k, Fatima cut through the park to skip a mile of the official course.",,
75,"Splitting the quarterly bonus pool among the sales team, Rafael divided it by the deals each member had closed.",,
76,"When overtime hours were handed out on the dock, Fatima handed the extra shifts to favorites ignoring the crew list.",,
77,"With no umpire at the club tennis final, Mateo called the close serves exactly where they landed.",,
78,"Counting the ballots for the club presidency, Sofia slipped a rival's ballots out of the final tally.",,
79,"Working the till at the charity bake sale, Daniel counted back exact change for every purchase.",,
