statement_id,statement,rating,reason
0,"On the coldest night of January, Leila handed a thermos of hot soup to the man sleeping by the underpass.",,
1,"Seeing the pregnant traveler struggle with a heavy suitcase, Nadia elbowed her aside and hurried up the stalled escalator.",,
2,"Seeing the old man slip on the icy path, Leila rushed over and helped him back to his feet.",,
3,"When turbulence left the first-time flyer shaking in the window seat, Rafael whispered stories of crashes through the rough descent.",,
4,"When her coworker fainted in the break room, Nadia held his hand while they waited for the paramedics.",,
5,"Before leaving for the weekend, Kwame carefully topped up the water in his goldfish's tank.",,
6,"When the old gardener grew dizzy in the midday heat, Leila tripped him as he shuffled toward the shade.",,
7,"Seeing the blind man hesitate at the broken crossing signal, Omar offered an arm and guided him across the street.",,
8,"After practice, Coach Ethan gently iced the sprained ankle of the youngest player on the team.",,
9,"During the night shift, the nurse hid the call buttons from the patients on the recovery ward.",,
10,"When the old woman's cane slipped outside the pharmacy, Tariq snickered and kicked the cane farther along the ground.",,
11,"When the young swimmer began flailing in the deep end, Dana dragged the rescue ring out of easy reach.",,
12,"When a small child got separated from her parents at the fair, Hiro shooed her away from the help desk by the gates.",,
13,"When a small child got separated from her parents at the fair, Hiro walked her to the help desk by the gates.",,
14,"When the power went out during the heat wave, Rosa poured out the water of the elderly man living upstairs.",,
15,"While the exhausted new parents dozed on the sofa, Nina rocked the crying baby and warmed up the bottle.",,
16,"Before leaving for the weekend, Kwame deliberately poured bleach into the water in his goldfish's tank.",,
17,"On the hottest day of the summer, Grace kicked over the water bowl of the dog chained in the yard.",,
18,"When the fever left the exchange student too weak to stand, Felix cooked broth and refilled the bedside glass of water.",,
19,"Seeing the pregnant traveler struggle with a heavy suitcase, Nadia offered to carry the suitcase up the stalled escalator.",,
20,"During the night shift, the nurse refilled the water pitchers for the patients on the recovery ward.",,
21,"When the boy's nosebleed dripped onto the desk, Amara hurried over with a fresh box of tissues.",,
22,"While the exhausted new parents dozed on the sofa, Nina shook the crying baby and flung away the bottle.",,
23,"When the toddler tripped on the sidewalk, Sofia knelt down and bandaged his scraped knee.",,
24,"When the school lunch account ran out for the quiet first-grader, the cafeteria manager waved her through the line and filled her tray.",,
25,"On the hottest day of the summer, Grace slid a full water bowl to the dog chained in the yard.",,
26,"On the crowded bus, Felix offered his seat to the injured passenger by the door.",,
27,"When the diner at the next table began to choke, Grace waved the approaching waiter away as the other diners looked on.",,
28,"In the weeks after the funeral, Andre kept stopping by with meals for the grieving widow next door.",,
29,"As smoke filled the hallway, the substitute teacher shoved students aside and bolted out of the classroom.",,
