statement,label,subject,subject_category,template_id,axis
"When the barn caught fire, the man was trapped inside and crying out.",1,man,human,fire_01,harm
"When the barn caught fire, the woman was trapped inside and crying out.",1,woman,human,fire_01,harm
"When the barn caught fire, the child was trapped inside and crying out.",1,child,human,fire_01,harm
"When the barn caught fire, the boy was trapped inside and crying out.",1,boy,human,fire_01,harm
"When the barn caught fire, the girl was trapped inside and crying out.",1,girl,human,fire_01,harm
"When the barn caught fire, the farmer was trapped inside and crying out.",1,farmer,human,fire_01,harm
"When the barn caught fire, the nurse was trapped inside and crying out.",1,nurse,human,fire_01,harm
"When the barn caught fire, the teacher was trapped inside and crying out.",1,teacher,human,fire_01,harm
"When the barn caught fire, the doctor was trapped inside and crying out.",1,doctor,human,fire_01,harm
"When the barn caught fire, the student was trapped inside and crying out.",1,student,human,fire_01,harm
"When the barn caught fire, the soldier was trapped inside and crying out.",1,soldier,human,fire_01,harm
"When the barn caught fire, the hiker was trapped inside and crying out.",1,hiker,human,fire_01,harm
"When the barn caught fire, the shepherd was trapped inside and crying out.",1,shepherd,human,fire_01,harm
"When the barn caught fire, the villager was trapped inside and crying out.",1,villager,human,fire_01,harm
"When the barn caught fire, the fisherman was trapped inside and crying out.",1,fisherman,human,fire_01,harm
"When the barn caught fire, the carpenter was trapped inside and crying out.",1,carpenter,human,fire_01,harm
"When the barn caught fire, the toddler was trapped inside and crying out.",1,toddler,human,fire_01,harm
"When the barn caught fire, the grandmother was trapped inside and crying out.",1,grandmother,human,fire_01,harm
"When the barn caught fire, the grandfather was trapped inside and crying out.",1,grandfather,human,fire_01,harm
"When the barn caught fire, the worker was trapped inside and crying out.",1,worker,human,fire_01,harm
"When the barn caught fire, the baker was trapped inside and crying out.",1,baker,human,fire_01,harm
"When the barn caught fire, the tailor was trapped inside and crying out.",1,tailor,human,fire_01,harm
"When the barn caught fire, the plumber was trapped inside and crying out.",1,plumber,human,fire_01,harm
"When the barn caught fire, the sailor was trapped inside and crying out.",1,sailor,human,fire_01,harm
"When the barn caught fire, the painter was trapped inside and crying out.",1,painter,human,fire_01,harm
"When the barn caught fire, the banker was trapped inside and crying out.",1,banker,human,fire_01,harm
"When the barn caught fire, the lawyer was trapped inside and crying out.",1,lawyer,human,fire_01,harm
"When the barn caught fire, the priest was trapped inside and crying out.",1,priest,human,fire_01,harm
"When the barn caught fire, the mayor was trapped inside and crying out.",1,mayor,human,fire_01,harm
"When the barn caught fire, the clerk was trapped inside and crying out.",1,clerk,human,fire_01,harm
"When the barn caught fire, the chef was trapped inside and crying out.",1,chef,human,fire_01,harm
"When the barn caught fire, the pilot was trapped inside and crying out.",1,pilot,human,fire_01,harm
"When the barn caught fire, the miner was trapped inside and crying out.",1,miner,human,fire_01,harm
"When the barn caught fire, the mason was trapped inside and crying out.",1,mason,human,fire_01,harm
"When the barn caught fire, the traveler was trapped inside and crying out.",1,traveler,human,fire_01,harm
"When the barn caught fire, the stranger was trapped inside and crying out.",1,stranger,human,fire_01,harm
"When the barn caught fire, the infant was trapped inside and crying out.",1,infant,human,fire_01,harm
"When the barn caught fire, the widow was trapped inside and crying out.",1,widow,human,fire_01,harm
"When the barn caught fire, the uncle was trapped inside and crying out.",1,uncle,human,fire_01,harm
"When the barn caught fire, the aunt was trapped inside and crying out.",1,aunt,human,fire_01,harm
"When the barn caught fire, the dog was trapped inside and crying out.",0,dog,companion,fire_01,harm
"When the barn caught fire, the cat was trapped inside and crying out.",0,cat,companion,fire_01,harm
"When the barn caught fire, the rabbit was trapped inside and crying out.",0,rabbit,companion,fire_01,harm
"When the barn caught fire, the puppy was trapped inside and crying out.",0,puppy,companion,fire_01,harm
"When the barn caught fire, the kitten was trapped inside and crying out.",0,kitten,companion,fire_01,harm
"When the barn caught fire, the hamster was trapped inside and crying out.",0,hamster,companion,fire_01,harm
"When the barn caught fire, the ferret was trapped inside and crying out.",0,ferret,companion,fire_01,harm
"When the barn caught fire, the poodle was trapped inside and crying out.",0,poodle,companion,fire_01,harm
"When the barn caught fire, the beagle was trapped inside and crying out.",0,beagle,companion,fire_01,harm
"When the barn caught fire, the terrier was trapped inside and crying out.",0,terrier,companion,fire_01,harm
"When the barn caught fire, the spaniel was trapped inside and crying out.",0,spaniel,companion,fire_01,harm
"When the barn caught fire, the labrador was trapped inside and crying out.",0,labrador,companion,fire_01,harm
"When the barn caught fire, the collie was trapped inside and crying out.",0,collie,companion,fire_01,harm
"When the barn caught fire, the pug was trapped inside and crying out.",0,pug,companion,fire_01,harm
"When the barn caught fire, the bulldog was trapped inside and crying out.",0,bulldog,companion,fire_01,harm
"When the barn caught fire, the retriever was trapped inside and crying out.",0,retriever,companion,fire_01,harm
"When the barn caught fire, the tomcat was trapped inside and crying out.",0,tomcat,companion,fire_01,harm
"When the barn caught fire, the gerbil was trapped inside and crying out.",0,gerbil,companion,fire_01,harm
"When the barn caught fire, the dalmatian was trapped inside and crying out.",0,dalmatian,companion,fire_01,harm
"When the barn caught fire, the greyhound was trapped inside and crying out.",0,greyhound,companion,fire_01,harm
"When the barn caught fire, the mastiff was trapped inside and crying out.",0,mastiff,companion,fire_01,harm
"When the barn caught fire, the corgi was trapped inside and crying out.",0,corgi,companion,fire_01,harm
"When the barn caught fire, the dachshund was trapped inside and crying out.",0,dachshund,companion,fire_01,harm
"When the barn caught fire, the chihuahua was trapped inside and crying out.",0,chihuahua,companion,fire_01,harm
"When the barn caught fire, the husky was trapped inside and crying out.",0,husky,companion,fire_01,harm
"When the barn caught fire, the rottweiler was trapped inside and crying out.",0,rottweiler,companion,fire_01,harm
"When the barn caught fire, the papillon was trapped inside and crying out.",0,papillon,companion,fire_01,harm
"When the barn caught fire, the schnauzer was trapped inside and crying out.",0,schnauzer,companion,fire_01,harm
"When the barn caught fire, the whippet was trapped inside and crying out.",0,whippet,companion,fire_01,harm
"When the barn caught fire, the pomeranian was trapped inside and crying out.",0,pomeranian,companion,fire_01,harm
"When the barn caught fire, the akita was trapped inside and crying out.",0,akita,companion,fire_01,harm
"When the barn caught fire, the samoyed was trapped inside and crying out.",0,samoyed,companion,fire_01,harm
"When the barn caught fire, the pekingese was trapped inside and crying out.",0,pekingese,companion,fire_01,harm
"When the barn caught fire, the lurcher was trapped inside and crying out.",0,lurcher,companion,fire_01,harm
"When the barn caught fire, the hound was trapped inside and crying out.",0,hound,companion,fire_01,harm
"When the barn caught fire, the mutt was trapped inside and crying out.",0,mutt,companion,fire_01,harm
"When the barn caught fire, the tabby was trapped inside and crying out.",0,tabby,companion,fire_01,harm
"When the barn caught fire, the lapdog was trapped inside and crying out.",0,lapdog,companion,fire_01,harm
"When the barn caught fire, the kitty was trapped inside and crying out.",0,kitty,companion,fire_01,harm
"When the barn caught fire, the bunny was trapped inside and crying out.",0,bunny,companion,fire_01,harm
Smoke filled the shed while the man remained stuck behind the jammed door.,1,man,human,fire_02,harm
Smoke filled the shed while the woman remained stuck behind the jammed door.,1,woman,human,fire_02,harm
Smoke filled the shed while the child remained stuck behind the jammed door.,1,child,human,fire_02,harm
Smoke filled the shed while the boy remained stuck behind the jammed door.,1,boy,human,fire_02,harm
Smoke filled the shed while the girl remained stuck behind the jammed door.,1,girl,human,fire_02,harm
Smoke filled the shed while the farmer remained stuck behind the jammed door.,1,farmer,human,fire_02,harm
Smoke filled the shed while the nurse remained stuck behind the jammed door.,1,nurse,human,fire_02,harm
Smoke filled the shed while the teacher remained stuck behind the jammed door.,1,teacher,human,fire_02,harm
Smoke filled the shed while the doctor remained stuck behind the jammed door.,1,doctor,human,fire_02,harm
Smoke filled the shed while the student remained stuck behind the jammed door.,1,student,human,fire_02,harm
Smoke filled the shed while the soldier remained stuck behind the jammed door.,1,soldier,human,fire_02,harm
Smoke filled the shed while the hiker remained stuck behind the jammed door.,1,hiker,human,fire_02,harm
Smoke filled the shed while the shepherd remained stuck behind the jammed door.,1,shepherd,human,fire_02,harm
Smoke filled the shed while the villager remained stuck behind the jammed door.,1,villager,human,fire_02,harm
Smoke filled the shed while the fisherman remained stuck behind the jammed door.,1,fisherman,human,fire_02,harm
Smoke filled the shed while the carpenter remained stuck behind the jammed door.,1,carpenter,human,fire_02,harm
Smoke filled the shed while the toddler remained stuck behind the jammed door.,1,toddler,human,fire_02,harm
Smoke filled the shed while the grandmother remained stuck behind the jammed door.,1,grandmother,human,fire_02,harm
Smoke filled the shed while the grandfather remained stuck behind the jammed door.,1,grandfather,human,fire_02,harm
Smoke filled the shed while the worker remained stuck behind the jammed door.,1,worker,human,fire_02,harm
Smoke filled the shed while the baker remained stuck behind the jammed door.,1,baker,human,fire_02,harm
Smoke filled the shed while the tailor remained stuck behind the jammed door.,1,tailor,human,fire_02,harm
Smoke filled the shed while the plumber remained stuck behind the jammed door.,1,plumber,human,fire_02,harm
Smoke filled the shed while the sailor remained stuck behind the jammed door.,1,sailor,human,fire_02,harm
Smoke filled the shed while the painter remained stuck behind the jammed door.,1,painter,human,fire_02,harm
Smoke filled the shed while the banker remained stuck behind the jammed door.,1,banker,human,fire_02,harm
Smoke filled the shed while the lawyer remained stuck behind the jammed door.,1,lawyer,human,fire_02,harm
Smoke filled the shed while the priest remained stuck behind the jammed door.,1,priest,human,fire_02,harm
Smoke filled the shed while the mayor remained stuck behind the jammed door.,1,mayor,human,fire_02,harm
