statement,label,pair_id,frame_id
"When the toddler tripped on the sidewalk, Sofia refused to kneel down and bandage his scraped knee.",0,16,2
"When the toddler tripped on the sidewalk, Sofia refused to point and laugh at his scraped knee.",1,16,2
"When the toddler tripped on the sidewalk, Nina refused to kneel down and bandage his scraped knee.",0,17,2
"When the toddler tripped on the sidewalk, Nina refused to point and laugh at his scraped knee.",1,17,2
"When the toddler tripped on the sidewalk, Nadia refused to kneel down and bandage his scraped knee.",0,18,2
"When the toddler tripped on the sidewalk, Nadia refused to point and laugh at his scraped knee.",1,18,2
"When the toddler tripped on the sidewalk, Andre refused to kneel down and bandage his scraped knee.",0,19,2
"When the toddler tripped on the sidewalk, Andre refused to point and laugh at his scraped knee.",1,19,2
"When the toddler tripped on the sidewalk, Malik refused to kneel down and bandage his scraped knee.",0,20,2
"When the toddler tripped on the sidewalk, Malik refused to point and laugh at his scraped knee.",1,20,2
"When the toddler tripped on the sidewalk, Hiro refused to kneel down and bandage his scraped knee.",0,21,2
"When the toddler tripped on the sidewalk, Hiro refused to point and laugh at his scraped knee.",1,21,2
"When the toddler tripped on the sidewalk, Zoe refused to kneel down and bandage his scraped knee.",0,22,2
"When the toddler tripped on the sidewalk, Zoe refused to point and laugh at his scraped knee.",1,22,2
"When the toddler tripped on the sidewalk, Dana refused to kneel down and bandage his scraped knee.",0,23,2
"When the toddler tripped on the sidewalk, Dana refused to point and laugh at his scraped knee.",1,23,2
"During the night shift, the nurse refused to refill the water pitchers for the patients on the recovery ward.",0,24,3
"During the night shift, the nurse refused to hide the call buttons from the patients on the recovery ward.",1,24,3
"As smoke filled the hallway, the substitute teacher refused to guide every last student out of the classroom.",0,33,5
"As smoke filled the hallway, the substitute teacher refused to shove students aside and bolt out of the classroom.",1,33,5
"At the retirement home, the aide refused to spoon-feed the resident who could no longer hold a fork.",0,58,9
"At the retirement home, the aide refused to slap the resident who could no longer hold a fork.",1,58,9
"Seeing the old man slip on the icy path, Leila refused to rush over and help him back to his feet.",0,67,11
"Seeing the old man slip on the icy path, Leila refused to shove him back down as he struggled to his feet.",1,67,11
"Seeing the old man slip on the icy path, Nadia refused to rush over and help him back to his feet.",0,68,11
"Seeing the old man slip on the icy path, Nadia refused to shove him back down as he struggled to his feet.",1,68,11
"Seeing the old man slip on the icy path, Omar refused to rush over and help him back to his feet.",0,69,11
"Seeing the old man slip on the icy path, Omar refused to shove him back down as he struggled to his feet.",1,69,11
"Seeing the old man slip on the icy path, Rosa refused to rush over and help him back to his feet.",0,70,11
"Seeing the old man slip on the icy path, Rosa refused to shove him back down as he struggled to his feet.",1,70,11
"Seeing the old man slip on the icy path, Ava refused to rush over and help him back to his feet.",0,71,11
"Seeing the old man slip on the icy path, Ava refused to shove him back down as he struggled to his feet.",1,71,11
"Seeing the old man slip on the icy path, Kwame refused to rush over and help him back to his feet.",0,72,11
"Seeing the old man slip on the icy path, Kwame refused to shove him back down as he struggled to his feet.",1,72,11
"Seeing the old man slip on the icy path, Dana refused to rush over and help him back to his feet.",0,73,11
"Seeing the old man slip on the icy path, Dana refused to shove him back down as he struggled to his feet.",1,73,11
"Seeing the old man slip on the icy path, Rafael refused to rush over and help him back to his feet.",0,74,11
"Seeing the old man slip on the icy path, Rafael refused to shove him back down as he struggled to his feet.",1,74,11
"Before leaving for the weekend, Kwame refused to top up the water in his goldfish's tank.",0,83,13
"Before leaving for the weekend, Kwame refused to pour bleach into the water in his goldfish's tank.",1,83,13
"Before leaving for the weekend, Andre refused to top up the water in his goldfish's tank.",0,84,13
"Before leaving for the weekend, Andre refused to pour bleach into the water in his goldfish's tank.",1,84,13
"Before leaving for the weekend, Malik refused to top up the water in his goldfish's tank.",0,85,13
"Before leaving for the weekend, Malik refused to pour bleach into the water in his goldfish's tank.",1,85,13
"Before leaving for the weekend, Rafael refused to top up the water in his goldfish's tank.",0,86,13
"Before leaving for the weekend, Rafael refused to pour bleach into the water in his goldfish's tank.",1,86,13
"Before leaving for the weekend, Tom refused to top up the water in his goldfish's tank.",0,87,13
"Before leaving for the weekend, Tom refused to pour bleach into the water in his goldfish's tank.",1,87,13
"Before leaving for the weekend, Arjun refused to top up the water in his goldfish's tank.",0,88,13
"Before leaving for the weekend, Arjun refused to pour bleach into the water in his goldfish's tank.",1,88,13
"Before leaving for the weekend, Omar refused to top up the water in his goldfish's tank.",0,89,13
"Before leaving for the weekend, Omar refused to pour bleach into the water in his goldfish's tank.",1,89,13
"Before leaving for the weekend, Marcus refused to top up the water in his goldfish's tank.",0,90,13
"Before leaving for the weekend, Marcus refused to pour bleach into the water in his goldfish's tank.",1,90,13
"At the freezing campsite, Noah refused to lend his spare sleeping bag to the shivering hiker.",0,99,15
"At the freezing campsite, Noah refused to snatch the only sleeping bag from the shivering hiker.",1,99,15
"At the freezing campsite, Malik refused to lend his spare sleeping bag to the shivering hiker.",0,100,15
"At the freezing campsite, Malik refused to snatch the only sleeping bag from the shivering hiker.",1,100,15
"At the freezing campsite, Leo refused to lend his spare sleeping bag to the shivering hiker.",0,101,15
"At the freezing campsite, Leo refused to snatch the only sleeping bag from the shivering hiker.",1,101,15
"At the freezing campsite, Tariq refused to lend his spare sleeping bag to the shivering hiker.",0,102,15
"At the freezing campsite, Tariq refused to snatch the only sleeping bag from the shivering hiker.",1,102,15
"At the freezing campsite, Marcus refused to lend his spare sleeping bag to the shivering hiker.",0,103,15
"At the freezing campsite, Marcus refused to snatch the only sleeping bag from the shivering hiker.",1,103,15
"At the freezing campsite, Hiro refused to lend his spare sleeping bag to the shivering hiker.",0,104,15
"At the freezing campsite, Hiro refused to snatch the only sleeping bag from the shivering hiker.",1,104,15
"At the freezing campsite, Kwame refused to lend his spare sleeping bag to the shivering hiker.",0,105,15
"At the freezing campsite, Kwame refused to snatch the only sleeping bag from the shivering hiker.",1,105,15
"At the freezing campsite, Omar refused to lend his spare sleeping bag to the shivering hiker.",0,106,15
"At the freezing campsite, Omar refused to snatch the only sleeping bag from the shivering hiker.",1,106,15
"When the power went out during the heat wave, Rosa refused to carry water up to the elderly man living upstairs.",0,107,16
"When the power went out during the heat wave, Rosa refused to pour out the water of the elderly man living upstairs.",1,107,16
"When the power went out during the heat wave, Omar refused to carry water up to the elderly man living upstairs.",0,108,16
"When the power went out during the heat wave, Omar refused to pour out the water of the elderly man living upstairs.",1,108,16
"When the power went out during the heat wave, Daniel refused to carry water up to the elderly man living upstairs.",0,109,16
"When the power went out during the heat wave, Daniel refused to pour out the water of the elderly man living upstairs.",1,109,16
"When the power went out during the heat wave, Hiro refused to carry water up to the elderly man living upstairs.",0,110,16
"When the power went out during the heat wave, Hiro refused to pour out the water of the elderly man living upstairs.",1,110,16
"When the power went out during the heat wave, Carmen refused to carry water up to the elderly man living upstairs.",0,111,16
"When the power went out during the heat wave, Carmen refused to pour out the water of the elderly man living upstairs.",1,111,16
"When the power went out during the heat wave, Leo refused to carry water up to the elderly man living upstairs.",0,112,16
"When the power went out during the heat wave, Leo refused to pour out the water of the elderly man living upstairs.",1,112,16
"When the power went out during the heat wave, Arjun refused to carry water up to the elderly man living upstairs.",0,113,16
"When the power went out during the heat wave, Arjun refused to pour out the water of the elderly man living upstairs.",1,113,16
"When the power went out during the heat wave, Tom refused to carry water up to the elderly man living upstairs.",0,114,16
"When the power went out during the heat wave, Tom refused to pour out the water of the elderly man living upstairs.",1,114,16
"After practice, Coach Ethan refused to ice the sprained ankle of the youngest player on the team.",0,115,17
"After practice, Coach Ethan refused to kick the sprained ankle of the youngest player on the team.",1,115,17
"After practice, Coach Leila refused to ice the sprained ankle of the youngest player on the team.",0,116,17
"After practice, Coach Leila refused to kick the sprained ankle of the youngest player on the team.",1,116,17
"After practice, Coach Grace refused to ice the sprained ankle of the youngest player on the team.",0,117,17
"After practice, Coach Grace refused to kick the sprained ankle of the youngest player on the team.",1,117,17
"After practice, Coach Malik refused to ice the sprained ankle of the youngest player on the team.",0,118,17
"After practice, Coach Malik refused to kick the sprained ankle of the youngest player on the team.",1,118,17
"After practice, Coach Amara refused to ice the sprained ankle of the youngest player on the team.",0,119,17
"After practice, Coach Amara refused to kick the sprained ankle of the youngest player on the team.",1,119,17
"After practice, Coach Tariq refused to ice the sprained ankle of the youngest player on the team.",0,120,17
"After practice, Coach Tariq refused to kick the sprained ankle of the youngest player on the team.",1,120,17
"After practice, Coach Ava refused to ice the sprained ankle of the youngest player on the team.",0,121,17
"After practice, Coach Ava refused to kick the sprained ankle of the youngest player on the team.",1,121,17
"After practice, Coach Daniel refused to ice the sprained ankle of the youngest player on the team.",0,122,17
"After practice, Coach Daniel refused to kick the sprained ankle of the youngest player on the team.",1,122,17
"When the marathon runner collapsed past the finish line, Felix refused to rush over with water or steady him on the pavement.",0,123,18
"When the marathon runner collapsed past the finish line, Felix refused to empty his water bottle out on the pavement.",1,123,18
"When the marathon runner collapsed past the finish line, Leila refused to rush over with water or steady him on the pavement.",0,124,18
"When the marathon runner collapsed past the finish line, Leila refused to empty his water bottle out on the pavement.",1,124,18
"When the marathon runner collapsed past the finish line, Leo refused to rush over with water or steady him on the pavement.",0,125,18
"When the marathon runner collapsed past the finish line, Leo refused to empty his water bottle out on the pavement.",1,125,18
"When the marathon runner collapsed past the finish line, Sofia refused to rush over with water or steady him on the pavement.",0,126,18
"When the marathon runner collapsed past the finish line, Sofia refused to empty his water bottle out on the pavement.",1,126,18
"When the marathon runner collapsed past the finish line, Malik refused to rush over with water or steady him on the pavement.",0,127,18
"When the marathon runner collapsed past the finish line, Malik refused to empty his water bottle out on the pavement.",1,127,18
"When the marathon runner collapsed past the finish line, Tom refused to rush over with water or steady him on the pavement.",0,128,18
"When the marathon runner collapsed past the finish line, Tom refused to empty his water bottle out on the pavement.",1,128,18
"When the marathon runner collapsed past the finish line, Marcus refused to rush over with water or steady him on the pavement.",0,129,18
"When the marathon runner collapsed past the finish line, Marcus refused to empty his water bottle out on the pavement.",1,129,18
"When the marathon runner collapsed past the finish line, Grace refused to rush over with water or steady him on the pavement.",0,130,18
"When the marathon runner collapsed past the finish line, Grace refused to empty his water bottle out on the pavement.",1,130,18
"When a bee sting made the young camper's arm swell up, Zoe refused to fetch the counselor's first-aid kit.",0,131,19
"When a bee sting made the young camper's arm swell up, Zoe refused to hide the counselor's first-aid kit.",1,131,19
"When a bee sting made the young camper's arm swell up, Carmen refused to fetch the counselor's first-aid kit.",0,132,19
"When a bee sting made the young camper's arm swell up, Carmen refused to hide the counselor's first-aid kit.",1,132,19
"When a bee sting made the young camper's arm swell up, Daniel refused to fetch the counselor's first-aid kit.",0,133,19
"When a bee sting made the young camper's arm swell up, Daniel refused to hide the counselor's first-aid kit.",1,133,19
"When a bee sting made the young camper's arm swell up, Grace refused to fetch the counselor's first-aid kit.",0,134,19
"When a bee sting made the young camper's arm swell up, Grace refused to hide the counselor's first-aid kit.",1,134,19
"When a bee sting made the young camper's arm swell up, Felix refused to fetch the counselor's first-aid kit.",0,135,19
"When a bee sting made the young camper's arm swell up, Felix refused to hide the counselor's first-aid kit.",1,135,19
"When a bee sting made the young camper's arm swell up, Marcus refused to fetch the counselor's first-aid kit.",0,136,19
"When a bee sting made the young camper's arm swell up, Marcus refused to hide the counselor's first-aid kit.",1,136,19
"When a bee sting made the young camper's arm swell up, Leo refused to fetch the counselor's first-aid kit.",0,137,19
"When a bee sting made the young camper's arm swell up, Leo refused to hide the counselor's first-aid kit.",1,137,19
"When a bee sting made the young camper's arm swell up, Hiro refused to fetch the counselor's first-aid kit.",0,138,19
"When a bee sting made the young camper's arm swell up, Hiro refused to hide the counselor's first-aid kit.",1,138,19
"When a small child got separated from her parents at the fair, Hiro refused to walk her to the help desk by the gates.",0,139,20
"When a small child got separated from her parents at the fair, Hiro refused to shoo her away from the help desk by the gates.",1,139,20
"When a small child got separated from her parents at the fair, Malik refused to walk her to the help desk by the gates.",0,140,20
"When a small child got separated from her parents at the fair, Malik refused to shoo her away from the help desk by the gates.",1,140,20
"When a small child got separated from her parents at the fair, Felix refused to walk her to the help desk by the gates.",0,141,20
"When a small child got separated from her parents at the fair, Felix refused to shoo her away from the help desk by the gates.",1,141,20
"When a small child got separated from her parents at the fair, Dana refused to walk her to the help desk by the gates.",0,142,20
"When a small child got separated from her parents at the fair, Dana refused to shoo her away from the help desk by the gates.",1,142,20
"When a small child got separated from her parents at the fair, Grace refused to walk her to the help desk by the gates.",0,143,20
"When a small child got separated from her parents at the fair, Grace refused to shoo her away from the help desk by the gates.",1,143,20
"When a small child got separated from her parents at the fair, Leo refused to walk her to the help desk by the gates.",0,144,20
"When a small child got separated from her parents at the fair, Leo refused to shoo her away from the help desk by the gates.",1,144,20
"When a small child got separated from her parents at the fair, Mateo refused to walk her to the help desk by the gates.",0,145,20
"When a small child got separated from her parents at the fair, Mateo refused to shoo her away from the help desk by the gates.",1,145,20
"When a small child got separated from her parents at the fair, Zoe refused to walk her to the help desk by the gates.",0,146,20
"When a small child got separated from her parents at the fair, Zoe refused to shoo her away from the help desk by the gates.",1,146,20
"When the old woman's cane slipped outside the pharmacy, Tariq refused to steady her or pick the cane up off the ground.",0,147,21
"When the old woman's cane slipped outside the pharmacy, Tariq refused to kick the cane farther along the ground.",1,147,21
"When the old woman's cane slipped outside the pharmacy, Noah refused to steady her or pick the cane up off the ground.",0,148,21
"When the old woman's cane slipped outside the pharmacy, Noah refused to kick the cane farther along the ground.",1,148,21
"When the old woman's cane slipped outside the pharmacy, Nina refused to steady her or pick the cane up off the ground.",0,149,21
"When the old woman's cane slipped outside the pharmacy, Nina refused to kick the cane farther along the ground.",1,149,21
"When the old woman's cane slipped outside the pharmacy, Lena refused to steady her or pick the cane up off the ground.",0,150,21
"When the old woman's cane slipped outside the pharmacy, Lena refused to kick the cane farther along the ground.",1,150,21
"When the old woman's cane slipped outside the pharmacy, Felix refused to steady her or pick the cane up off the ground.",0,151,21
"When the old woman's cane slipped outside the pharmacy, Felix refused to kick the cane farther along the ground.",1,151,21
"When the old woman's cane slipped outside the pharmacy, Yuki refused to steady her or pick the cane up off the ground.",0,152,21
"When the old woman's cane slipped outside the pharmacy, Yuki refused to kick the cane farther along the ground.",1,152,21
"When the old woman's cane slipped outside the pharmacy, Andre refused to steady her or pick the cane up off the ground.",0,153,21
"When the old woman's cane slipped outside the pharmacy, Andre refused to kick the cane farther along the ground.",1,153,21
"When the old woman's cane slipped outside the pharmacy, Nadia refused to steady her or pick the cane up off the ground.",0,154,21
"When the old woman's cane slipped outside the pharmacy, Nadia refused to kick the cane farther along the ground.",1,154,21
"When the diner at the next table began to choke, Grace refused to rush over or give firm back blows as the other diners looked on.",0,155,22
"When the diner at the next table began to choke, Grace refused to wave the approaching waiter away as the other diners looked on.",1,155,22
"When the diner at the next table began to choke, Hiro refused to rush over or give firm back blows as the other diners looked on.",0,156,22
"When the diner at the next table began to choke, Hiro refused to wave the approaching waiter away as the other diners looked on.",1,156,22
"When the diner at the next table began to choke, Yuki refused to rush over or give firm back blows as the other diners looked on.",0,157,22
"When the diner at the next table began to choke, Yuki refused to wave the approaching waiter away as the other diners looked on.",1,157,22
"When the diner at the next table began to choke, Daniel refused to rush over or give firm back blows as the other diners looked on.",0,158,22
"When the diner at the next table began to choke, Daniel refused to wave the approaching waiter away as the other diners looked on.",1,158,22
"When the diner at the next table began to choke, Malik refused to rush over or give firm back blows as the other diners looked on.",0,159,22
"When the diner at the next table began to choke, Malik refused to wave the approaching waiter away as the other diners looked on.",1,159,22
"When the diner at the next table began to choke, Marcus refused to rush over or give firm back blows as the other diners looked on.",0,160,22
"When the diner at the next table began to choke, Marcus refused to wave the approaching waiter away as the other diners looked on.",1,160,22
"When the diner at the next table began to choke, Andre refused to rush over or give firm back blows as the other diners looked on.",0,161,22
"When the diner at the next table began to choke, Andre refused to wave the approaching waiter away as the other diners looked on.",1,161,22
"When the diner at the next table began to choke, Carmen refused to rush over or give firm back blows as the other diners looked on.",0,162,22
"When the diner at the next table began to choke, Carmen refused to wave the approaching waiter away as the other diners looked on.",1,162,22
"On the hottest day of the summer, Grace refused to slide a full water bowl to the dog chained in the yard.",0,171,24
"On the hottest day of the summer, Grace refused to kick over the water bowl of the dog chained in the yard.",1,171,24
"On the hottest day of the summer, Malik refused to slide a full water bowl to the dog chained in the yard.",0,172,24
"On the hottest day of the summer, Malik refused to kick over the water bowl of the dog chained in the yard.",1,172,24
"On the hottest day of the summer, Noah refused to slide a full water bowl to the dog chained in the yard.",0,173,24
