statement,label,subject,subject_category,template_id,axis
"When the barn caught fire, the man was trapped inside and crying out.",1,man,human,fire_01,harm
"When the barn caught fire, the woman was trapped inside and crying out.",1,woman,human,fire_01,harm
"When the barn caught fire, the child was trapped inside and crying out.",1,child,human,fire_01,harm
"When the barn caught fire, the boy was trapped inside and crying out.",1,boy,human,fire_01,harm
"When the barn caught fire, the girl was trapped inside and crying out.",1,girl,human,fire_01,harm
"When the barn caught fire, the farmer was trapped inside and crying out.",1,farmer,human,fire_01,harm
"When the barn caught fire, the nurse was trapped inside and crying out.",1,nurse,human,fire_01,harm
"When the barn caught fire, the teacher was trapped inside and crying out.",1,teacher,human,fire_01,harm
"When the barn caught fire, the doctor was trapped inside and crying out.",1,doctor,human,fire_01,harm
"When the barn caught fire, the student was trapped inside and crying out.",1,student,human,fire_01,harm
"When the barn caught fire, the soldier was trapped inside and crying out.",1,soldier,human,fire_01,harm
"When the barn caught fire, the hiker was trapped inside and crying out.",1,hiker,human,fire_01,harm
"When the barn caught fire, the shepherd was trapped inside and crying out.",1,shepherd,human,fire_01,harm
"When the barn caught fire, the villager was trapped inside and crying out.",1,villager,human,fire_01,harm
"When the barn caught fire, the fisherman was trapped inside and crying out.",1,fisherman,human,fire_01,harm
"When the barn caught fire, the carpenter was trapped inside and crying out.",1,carpenter,human,fire_01,harm
"When the barn caught fire, the toddler was trapped inside and crying out.",1,toddler,human,fire_01,harm
"When the barn caught fire, the grandmother was trapped inside and crying out.",1,grandmother,human,fire_01,harm
"When the barn caught fire, the grandfather was trapped inside and crying out.",1,grandfather,human,fire_01,harm
"When the barn caught fire, the worker was trapped inside and crying out.",1,worker,human,fire_01,harm
"When the barn caught fire, the baker was trapped inside and crying out.",1,baker,human,fire_01,harm
"When the barn caught fire, the tailor was trapped inside and crying out.",1,tailor,human,fire_01,harm
"When the barn caught fire, the plumber was trapped inside and crying out.",1,plumber,human,fire_01,harm
"When the barn caught fire, the sailor was trapped inside and crying out.",1,sailor,human,fire_01,harm
"When the barn caught fire, the painter was trapped inside and crying out.",1,painter,human,fire_01,harm
"When the barn caught fire, the banker was trapped inside and crying out.",1,banker,human,fire_01,harm
"When the barn caught fire, the lawyer was trapped inside and crying out.",1,lawyer,human,fire_01,harm
"When the barn caught fire, the priest was trapped inside and crying out.",1,priest,human,fire_01,harm
"When the barn caught fire, the mayor was trapped inside and crying out.",1,mayor,human,fire_01,harm
"When the barn caught fire, the clerk was trapped inside and crying out.",1,clerk,human,fire_01,harm
"When the barn caught fire, the chef was trapped inside and crying out.",1,chef,human,fire_01,harm
"When the barn caught fire, the pilot was trapped inside and crying out.",1,pilot,human,fire_01,harm
"When the barn caught fire, the miner was trapped inside and crying out.",1,miner,human,fire_01,harm
"When the barn caught fire, the mason was trapped inside and crying out.",1,mason,human,fire_01,harm
"When the barn caught fire, the traveler was trapped inside and crying out.",1,traveler,human,fire_01,harm
"When the barn caught fire, the stranger was trapped inside and crying out.",1,stranger,human,fire_01,harm
"When the barn caught fire, the infant was trapped inside and crying out.",1,infant,human,fire_01,harm
"When the barn caught fire, the widow was trapped inside and crying out.",1,widow,human,fire_01,harm
"When the barn caught fire, the uncle was trapped inside and crying out.",1,uncle,human,fire_01,harm
"When the barn caught fire, the aunt was trapped inside and crying out.",1,aunt,human,fire_01,harm
"When the barn caught fire, the rat was trapped inside and crying out.",0,rat,wild,fire_01,harm
"When the barn caught fire, the boar was trapped inside and crying out.",0,boar,wild,fire_01,harm
"When the barn caught fire, the buffalo was trapped inside and crying out.",0,buffalo,wild,fire_01,harm
"When the barn caught fire, the fox was trapped inside and crying out.",0,fox,wild,fire_01,harm
"When the barn caught fire, the deer was trapped inside and crying out.",0,deer,wild,fire_01,harm
"When the barn caught fire, the badger was trapped inside and crying out.",0,badger,wild,fire_01,harm
"When the barn caught fire, the otter was trapped inside and crying out.",0,otter,wild,fire_01,harm
"When the barn caught fire, the hare was trapped inside and crying out.",0,hare,wild,fire_01,harm
"When the barn caught fire, the raccoon was trapped inside and crying out.",0,raccoon,wild,fire_01,harm
"When the barn caught fire, the squirrel was trapped inside and crying out.",0,squirrel,wild,fire_01,harm
"When the barn caught fire, the weasel was trapped inside and crying out.",0,weasel,wild,fire_01,harm
"When the barn caught fire, the coyote was trapped inside and crying out.",0,coyote,wild,fire_01,harm
"When the barn caught fire, the moose was trapped inside and crying out.",0,moose,wild,fire_01,harm
"When the barn caught fire, the elk was trapped inside and crying out.",0,elk,wild,fire_01,harm
"When the barn caught fire, the wolf was trapped inside and crying out.",0,wolf,wild,fire_01,harm
"When the barn caught fire, the hedgehog was trapped inside and crying out.",0,hedgehog,wild,fire_01,harm
"When the barn caught fire, the possum was trapped inside and crying out.",0,possum,wild,fire_01,harm
"When the barn caught fire, the jackal was trapped inside and crying out.",0,jackal,wild,fire_01,harm
"When the barn caught fire, the stoat was trapped inside and crying out.",0,stoat,wild,fire_01,harm
"When the barn caught fire, the marten was trapped inside and crying out.",0,marten,wild,fire_01,harm
"When the barn caught fire, the bear was trapped inside and crying out.",0,bear,wild,fire_01,harm
"When the barn caught fire, the lynx was trapped inside and crying out.",0,lynx,wild,fire_01,harm
"When the barn caught fire, the bobcat was trapped inside and crying out.",0,bobcat,wild,fire_01,harm
"When the barn caught fire, the marmot was trapped inside and crying out.",0,marmot,wild,fire_01,harm
"When the barn caught fire, the mink was trapped inside and crying out.",0,mink,wild,fire_01,harm
"When the barn caught fire, the mole was trapped inside and crying out.",0,mole,wild,fire_01,harm
"When the barn caught fire, the vole was trapped inside and crying out.",0,vole,wild,fire_01,harm
"When the barn caught fire, the shrew was trapped inside and crying out.",0,shrew,wild,fire_01,harm
"When the barn caught fire, the porcupine was trapped inside and crying out.",0,porcupine,wild,fire_01,harm
"When the barn caught fire, the skunk was trapped inside and crying out.",0,skunk,wild,fire_01,harm
"When the barn caught fire, the chipmunk was trapped inside and crying out.",0,chipmunk,wild,fire_01,harm
"When the barn caught fire, the beaver was trapped inside and crying out.",0,beaver,wild,fire_01,harm
"When the barn caught fire, the bison was trapped inside and crying out.",0,bison,wild,fire_01,harm
"When the barn caught fire, the antelope was trapped inside and crying out.",0,antelope,wild,fire_01,harm
"When the barn caught fire, the dingo was trapped inside and crying out.",0,dingo,wild,fire_01,harm
"When the barn caught fire, the cougar was trapped inside and crying out.",0,cougar,wild,fire_01,harm
"When the barn caught fire, the wolverine was trapped inside and crying out.",0,wolverine,wild,fire_01,harm
"When the barn caught fire, the muskrat was trapped inside and crying out.",0,muskrat,wild,fire_01,harm
"When the barn caught fire, the lemming was trapped inside and crying out.",0,lemming,wild,fire_01,harm
"When the barn caught fire, the fawn was trapped inside and crying out.",0,fawn,wild,fire_01,harm
