statement_id,statement,intended,gemini_3.6_flash-2,gemini_3.6_flash-3,gemini_3.6_flash,gpt_5.6_luna-2,gpt_5.6_luna-3,gpt_5.6_luna,opus_5-2,opus_5-3,opus_5,n_depends,unanimous,matches_intended
0,"Selling tomatoes at the farmers market stall, Amara weighed every bag on the certified scale.",good,good,good,good,good,good,good,good,good,good,0,True,True
1,"When the reserved study rooms opened for finals week, Malik scribbled fake names to hog slots on the waiting list.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
2,"On the club scorecard after the round, Dana wrote down every stroke taken on the back nine.",good,good,good,good,good,good,good,good,good,good,0,True,True
3,"Splitting the quarterly bonus pool among the sales team, Rafael handed a golf buddy shares that other members had closed.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
4,"Working the till at the charity bake sale, Daniel shortchanged the busiest customers on every purchase.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
5,"When the tenants moved out of the spotless apartment, Tariq invented scratches to withhold the deposit.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
6,"When overtime hours were handed out on the dock, Fatima rotated the extra shifts straight down the crew list.",good,good,good,good,good,good,good,good,good,good,0,True,True
7,"Running the ring toss at the summer carnival, Sofia paid out a prize for each of the winning throws.",good,good,good,good,good,good,good,good,good,good,0,True,True
8,"Dividing the arcade tokens between the twins, Tom counted out matching stacks for each child.",good,good,good,good,good,good,good,good,good,good,0,True,True
9,"Running the ring toss at the summer carnival, Sofia pocketed the tickets and denied all of the winning throws.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
10,"Playing banker in the marathon Monopoly game, Rafael paid every salary straight from the bank.",good,good,good,good,good,good,good,good,good,good,0,True,True
11,"When the lemonade stand closed for the day, Leo pocketed the coins and counted out pennies for the partner.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
12,"After the group project earned the top grade, Tariq listed every member's name on the final report.",good,good,good,good,good,good,good,good,good,good,0,True,True
13,"After the group agreed to divide the firewood they had hauled, Fatima stacked equal bundles beside each cabin door.",good,good,good,good,good,good,good,good,good,good,0,True,True
14,"When the holiday schedule went up in the stockroom, Omar volunteered for an even rotation of the overnight shifts.",good,good,good,good,good,good,good,good,good,good,0,True,True
15,"When the community garden assigned the sunny plots by lottery, Amara planted in the plot the drawing allowed.",good,good,good,good,good,good,good,good,good,good,0,True,True
16,"After the group project earned the top grade, Tariq erased the other members' names from the final report.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
17,"When the pizzas arrived for the study group, Lena took two slices and left an even share for the others.",good,good,good,good,good,good,good,good,good,good,0,True,True
18,"When a leaked answer key circulated before the chemistry final, Yuki memorized the file and skipped the textbook instead.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
19,"When the reserved study rooms opened for finals week, Malik signed up for one slot on the waiting list.",good,good,good,good,good,good,good,good,good,good,0,True,True
20,"Opening the shared office fridge at noon, Rosa took only the lunch bag labeled with the matching initials.",good,good,good,good,good,good,good,good,good,good,0,True,True
21,"When pairing the chess tournament brackets, Malik matched the players strictly by their posted ratings.",good,good,good,good,good,good,good,good,good,good,0,True,True
22,"Playing banker in the marathon Monopoly game, Rafael snuck extra hundreds out of the bank.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
23,"Hosting the trivia night championship, Daniel slipped one team the questions from the same sealed pack.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
24,"Collecting money for the retirement gift, Leila skimmed twenty dollars while buying the engraved watch.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
25,"When the apartment chore chart came around again, Nadia swapped the names to dodge the assigned week.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
26,"Driving tourists in from the airport, Nadia took the direct highway and charged the metered fare.",good,good,good,good,good,good,good,good,good,good,0,True,True
27,"When the lemonade stand closed for the day, Leo counted the coins into even piles for the partner.",good,good,good,good,good,good,good,good,good,good,0,True,True
28,"When a leaked answer key circulated before the chemistry final, Yuki deleted the file and studied the textbook instead.",good,good,good,good,good,good,good,good,good,good,0,True,True
29,"Grading the midterm essays as a teaching assistant, Noah marked every essay against the posted rubric.",good,good,good,good,good,good,good,good,good,good,0,True,True
30,"After the group agreed to divide the firewood they had hauled, Fatima dragged the biggest bundles behind one cabin door.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
31,"Whenever the family board game got close, Ethan counted out every move exactly as the dice were rolled.",good,good,good,good,good,good,good,good,good,good,0,True,True
32,"Sharing the console with the younger cousins, Mateo clung to the controller long after each timer ran out.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
33,"When the holiday schedule went up in the stockroom, Omar shuffled a new hire into all of the overnight shifts.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
34,"In the friendly poker night, Grace played every hand straight as the cards were dealt.",good,good,good,good,good,good,good,good,good,good,0,True,True
35,"At the crowded pharmacy counter, Priya shoved forward and cut ahead of everyone else in the line.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
36,"Grading the midterm essays as a teaching assistant, Noah marked friends a grade above the posted rubric.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
37,"When the pizzas arrived for the study group, Lena grabbed six slices and left only crusts for the others.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
38,"At the crowded pharmacy counter, Priya took a ticket and waited like everyone else in the line.",good,good,good,good,good,good,good,good,good,good,0,True,True
39,"On the club scorecard after the round, Dana scratched three strokes off the total for the back nine.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
40,"Opening the shared office fridge at noon, Rosa took a coworker's lunch bag ignoring the matching initials.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
41,"Driving tourists in from the airport, Nadia circled extra miles to inflate the metered fare.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
42,"When the Saturday tips were counted at closing, Yuki pocketed half the jar while splitting it among the whole waitstaff.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
43,"Sharing the console with the younger cousins, Mateo handed over the controller when each timer ran out.",good,good,good,good,good,good,good,good,good,good,0,True,True
44,"Updating the classroom sticker chart on Friday, Amara gave a favorite pupil stars no reading had earned.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
45,"While drawing the raffle winner at the school fundraiser, Tom shook the box and drew blind from the folded names.",good,good,good,good,good,good,good,good,good,good,0,True,True
46,"Collecting money for the retirement gift, Leila spent every dollar on the engraved watch.",good,good,good,good,good,good,good,good,good,good,0,True,True
47,"At the end of the carpool month, Zoe dodged paying any share of the fuel receipts.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
48,"In the friendly poker night, Grace slid an ace into a sleeve as the cards were dealt.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
49,"Dividing the arcade tokens between the twins, Tom palmed a fistful while counting out stacks for each child.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
50,"After losing the coin toss for the last parking spot, Tom backed away and left the space for the winning driver.",good,good,good,good,good,good,good,good,good,good,0,True,True
51,"When the community garden assigned the sunny plots by lottery, Amara moved the stakes to widen the plot the drawing allowed.",bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,0,True,True
52,"At the end of the carpool month, Zoe paid an equal share of the fuel receipts.",good,good,good,good,good,good,good,good,good,good,0,True,True
53,"When the Saturday tips were counted at closing, Yuki split the jar evenly among the whole waitstaff.",good,good,good,good,good,good,good,good,good,good,0,True,True
54,"Hosting the trivia night championship, Daniel read each team the questions from the same sealed pack.",good,good,good,good,good,good,good,good,good,good,0,True,True
