statement_id,statement,rating,reason
0,"Camped overnight outside the ticket window, Sofia held the agreed spot through the whole cold night.",good,
1,"When relatives piled criticism on the youngest cousin at dinner, Dana joined in loudest in front of the whole family.",bad,
2,"When the startup hit three months of missed salaries, Zoe stood by the cofounder in front of the investors.",good,
3,"When the walk-in flooded an hour before service, Tom clocked out quietly and left the mess to the crew.",bad,
4,"After joining the popular crowd at the new school, Kwame pretended not to know the childhood friend at lunch.",bad,
5,"Hearing about the friend's layoff first, Daniel blasted the story across the whole group chat.",bad,
6,"On the last day before changing firms, Ava left every client file intact for the old team.",good,
7,"When hail flattened the family's barley a week before harvest, Grace drove home to salvage what remained of the crop.",good,
8,"When the discount megastore opened across the street, Yuki kept ordering weekly from the friend's hardware store.",good,
9,"When hail flattened the family's barley a week before harvest, Grace stayed away and joked online about what remained of the crop.",bad,
10,"When the longtime coach retired after thirty seasons, Mateo rallied the alumni to pack the farewell dinner.",good,
11,"Entrusted with the debate team's strategy notebook, Tariq photocopied it for rivals all season long.",bad,
12,"When the lunch table turned on an absent friend, Andre stuck up for her in front of everyone.",good,
13,"The night before the debate final, Omar showed up early for the partner's promised prep session.",good,
14,"Sworn to secrecy about the surprise fortieth party, Nina played dumb whenever the birthday girl fished for hints.",good,
15,"Two days before the choir's championship performance, Zoe turned down a paid gig to stay with the ensemble.",good,
16,"When the lunch table turned on an absent friend, Andre shared her most embarrassing story in front of everyone.",bad,
17,"After promising a truck for the oldest friend's moving day, Kwame showed up at dawn with the borrowed pickup.",good,
18,"When the struggling robotics team hit its worst season, Omar defected to the rival school before the final competition.",bad,
19,"When relatives piled criticism on the youngest cousin at dinner, Dana took her side in front of the whole family.",good,
20,"Told about the pregnancy before anyone else, Priya guarded the news through the whole first trimester.",good,
21,"After promising to be at the daughter's first playoff start, Noah left work early and cheered through the whole game.",good,
22,"When the longtime coach retired after thirty seasons, Mateo talked the alumni out of attending the farewell dinner.",bad,
23,"After promising to mind the place while the roommate trekked abroad, Sofia threw loud parties every weekend in the apartment.",bad,
24,"When the roommate lost the café job in October, Leo dumped her boxes on the curb before the end of the semester.",bad,
25,"Weeks before the wedding, Tom dropped out of the toasts and ditched the groom on the big day.",bad,
26,"Trusted to deliver the audition tape, Noah drove across town to beat the deadline.",good,
27,"Entrusted with the debate team's strategy notebook, Tariq guarded it closely all season long.",good,
28,"When the struggling robotics team hit its worst season, Omar stayed on and recruited help for the final competition.",good,
29,"After the kicker shanked the final field goal, Nina walked over and stood with him through the interviews.",good,
30,"The night before the debate final, Omar skipped out on the partner's promised prep session.",bad,
31,"After promising for weeks to be there, Omar arrived early and stayed through the entire recital.",good,
32,"After the messy breakup, Tom began secretly seeing the ex behind the back of the heartbroken best friend.",bad,
33,"Sworn to secrecy about the surprise fortieth party, Nina revealed the whole plan when the birthday girl fished for hints.",bad,
34,"Trusted with the tagged photos from the awkward high-school years, Kwame kept them off the reunion slideshow.",good,
35,"After finding the little brother's diary under the mattress, Rosa photographed the diary and texted friends every single page.",bad,
36,"After the kicker shanked the final field goal, Nina trashed him to reporters throughout the interviews.",bad,
37,"After promising a truck for the oldest friend's moving day, Kwame went quiet and drove off in the borrowed pickup.",bad,
38,"After finding the little brother's diary under the mattress, Rosa shut the diary and guarded every single page.",good,
39,"When the startup hit three months of missed salaries, Zoe blamed everything on the cofounder in front of the investors.",bad,
40,"Told about the pregnancy before anyone else, Priya broadcast the news through the whole first trimester.",bad,
41,"Trusted to deliver the audition tape, Noah blew off the errand and missed the deadline.",bad,
42,"When teammates pressed for gossip about the goalie's secret crush, Omar broadcast every detail and broke the confidence.",bad,
43,"After the messy breakup, Tom cut contact with the ex out of respect for the heartbroken best friend.",good,
44,"When a family emergency kept the stall owner away on market day, Andre wandered off an hour after opening the stand.",bad,
45,"When the slowest climber lagged on the ridge trail, Mateo matched his pace the whole way back to the parking lot.",good,
46,"When the roommate lost the café job in October, Leo covered her share of rent through the end of the semester.",good,
47,"After swearing to cover the Sunday shift, Zoe silenced the phone and skipped the whole christening morning.",bad,
48,"Trusted with the tagged photos from the awkward high-school years, Kwame splashed them across the reunion slideshow.",bad,
49,"When the discount megastore opened across the street, Yuki sent every neighbor there instead of the friend's hardware store.",bad,
50,"Entrusted with the team's trick play for the final, Mateo kept the diagram folded away through the whole week.",good,
51,"Two days before the choir's championship performance, Zoe took a paid gig and walked out on the ensemble.",bad,
52,"After swearing to cover the Sunday shift, Zoe clocked in early and worked the whole christening morning.",good,
53,"When teammates pressed for gossip about the goalie's secret crush, Omar changed the subject and kept the confidence.",good,
54,"After promising to mind the place while the roommate trekked abroad, Sofia watered every plant in the apartment.",good,
55,"When the slowest climber lagged on the ridge trail, Mateo abandoned him at dusk and drove off from the parking lot.",bad,
56,"After promising for weeks to be there, Omar took a better invitation and skipped the entire recital.",bad,
57,"Assigned the midnight watch at the scout campsite, Carmen slept inside the tent the whole time.",bad,
58,"Weeks before the wedding, Tom organized the toasts and stood beside the groom on the big day.",good,
59,"Camped overnight outside the ticket window, Sofia sold the agreed spot halfway through the cold night.",bad,
60,"When ugly rumors spread about the friend's bakery, Daniel defended it to every customer who asked.",good,
61,"When a family emergency kept the stall owner away on market day, Andre spent the whole day running the stand.",good,
62,"When the rival vendor offered cash for the family spice blend, Rosa declined and kept the recipe in the family.",good,
63,"When the old bandmates finally booked a reunion tour, Zoe ditched them for a solo slot across all of the dates.",bad,
64,"Entrusted with the team's trick play for the final, Mateo texted the diagram to rivals through the whole week.",bad,
65,"Handed the unpublished manuscript in confidence, Amara posted online every twist in the plot.",bad,
66,"When the laid-off deskmate asked for a reference, Lena stayed up late polishing every line of the letter.",good,
67,"After promising to be at the daughter's first playoff start, Noah lingered at happy hour and missed the whole game.",bad,
68,"When the boss demanded someone to blame for the shipping delay, Amara dodged the delay and blamed the overwhelmed apprentice.",bad,
69,"Assigned the midnight watch at the scout campsite, Carmen stayed awake by the fire the whole time.",good,
70,"When the old bandmates finally booked a reunion tour, Zoe cleared the calendar and honored every one of the dates.",good,
71,"Hearing about the friend's layoff first, Daniel guarded the story from the whole group chat.",good,
72,"Handed the unpublished manuscript in confidence, Amara guarded every twist in the plot.",good,
73,"When ugly rumors spread about the friend's bakery, Daniel added new details for every customer who asked.",bad,
74,"When the rival vendor offered cash for the family spice blend, Rosa took the cash and passed the recipe out of the family.",bad,
75,"When the walk-in flooded an hour before service, Tom stayed past midnight bailing alongside the crew.",good,
76,"On the last day before changing firms, Ava copied every client file to poach from the old team.",bad,
