,statement,label,subject,subject_category,template_id,continuation_id,continuation_type,logprob
0,"When the barn caught fire, the man was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,man,human,fire_01,help_01,help,-76.0
1,"When the barn caught fire, the man was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,man,human,fire_01,help_02,help,-85.0
2,"When the barn caught fire, the man was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,man,human,fire_01,dismiss_01,dismiss,-96.5
3,"When the barn caught fire, the man was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,man,human,fire_01,dismiss_02,dismiss,-83.0
4,"When the barn caught fire, the woman was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,woman,human,fire_01,help_01,help,-77.0
5,"When the barn caught fire, the woman was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,woman,human,fire_01,help_02,help,-86.5
6,"When the barn caught fire, the woman was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,woman,human,fire_01,dismiss_01,dismiss,-97.0
7,"When the barn caught fire, the woman was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,woman,human,fire_01,dismiss_02,dismiss,-84.0
8,"When the barn caught fire, the child was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,child,human,fire_01,help_01,help,-76.5
9,"When the barn caught fire, the child was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,child,human,fire_01,help_02,help,-85.5
10,"When the barn caught fire, the child was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,child,human,fire_01,dismiss_01,dismiss,-95.5
11,"When the barn caught fire, the child was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,child,human,fire_01,dismiss_02,dismiss,-83.0
12,"When the barn caught fire, the dog was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,dog,companion,fire_01,help_01,help,-76.5
13,"When the barn caught fire, the dog was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,dog,companion,fire_01,help_02,help,-85.0
14,"When the barn caught fire, the dog was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,dog,companion,fire_01,dismiss_01,dismiss,-94.5
15,"When the barn caught fire, the dog was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,dog,companion,fire_01,dismiss_02,dismiss,-84.5
16,"When the barn caught fire, the cat was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,cat,companion,fire_01,help_01,help,-76.5
17,"When the barn caught fire, the cat was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,cat,companion,fire_01,help_02,help,-85.5
18,"When the barn caught fire, the cat was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,cat,companion,fire_01,dismiss_01,dismiss,-93.5
19,"When the barn caught fire, the cat was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,cat,companion,fire_01,dismiss_02,dismiss,-83.5
20,"When the barn caught fire, the rabbit was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,rabbit,companion,fire_01,help_01,help,-79.5
21,"When the barn caught fire, the rabbit was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,rabbit,companion,fire_01,help_02,help,-88.5
22,"When the barn caught fire, the rabbit was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,rabbit,companion,fire_01,dismiss_01,dismiss,-98.5
23,"When the barn caught fire, the rabbit was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,rabbit,companion,fire_01,dismiss_02,dismiss,-86.5
24,"When the barn caught fire, the pig was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,pig,farmed,fire_01,help_01,help,-76.5
25,"When the barn caught fire, the pig was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,pig,farmed,fire_01,help_02,help,-85.5
26,"When the barn caught fire, the pig was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,pig,farmed,fire_01,dismiss_01,dismiss,-95.5
27,"When the barn caught fire, the pig was trapped inside and crying out. The onlookers shrugged and carried on as if nothing had happened.",0,pig,farmed,fire_01,dismiss_02,dismiss,-84.0
28,"When the barn caught fire, the cow was trapped inside and crying out. Everyone nearby dropped what they were doing and rushed to help.",1,cow,farmed,fire_01,help_01,help,-75.0
29,"When the barn caught fire, the cow was trapped inside and crying out. The rescue team was called in immediately, and no expense was spared.",1,cow,farmed,fire_01,help_02,help,-84.5
30,"When the barn caught fire, the cow was trapped inside and crying out. Nobody thought the situation was worth interrupting the day for.",0,cow,farmed,fire_01,dismiss_01,dismiss,-93.5
