statement,label,subject,subject_category,template_id,axis
"When the barn caught fire, the dog was trapped inside and crying out.",1,dog,companion,fire_01,harm
"When the barn caught fire, the cat was trapped inside and crying out.",1,cat,companion,fire_01,harm
"When the barn caught fire, the rabbit was trapped inside and crying out.",1,rabbit,companion,fire_01,harm
"When the barn caught fire, the puppy was trapped inside and crying out.",1,puppy,companion,fire_01,harm
"When the barn caught fire, the kitten was trapped inside and crying out.",1,kitten,companion,fire_01,harm
"When the barn caught fire, the hamster was trapped inside and crying out.",1,hamster,companion,fire_01,harm
"When the barn caught fire, the ferret was trapped inside and crying out.",1,ferret,companion,fire_01,harm
"When the barn caught fire, the poodle was trapped inside and crying out.",1,poodle,companion,fire_01,harm
"When the barn caught fire, the beagle was trapped inside and crying out.",1,beagle,companion,fire_01,harm
"When the barn caught fire, the terrier was trapped inside and crying out.",1,terrier,companion,fire_01,harm
"When the barn caught fire, the spaniel was trapped inside and crying out.",1,spaniel,companion,fire_01,harm
"When the barn caught fire, the labrador was trapped inside and crying out.",1,labrador,companion,fire_01,harm
"When the barn caught fire, the collie was trapped inside and crying out.",1,collie,companion,fire_01,harm
"When the barn caught fire, the pug was trapped inside and crying out.",1,pug,companion,fire_01,harm
"When the barn caught fire, the bulldog was trapped inside and crying out.",1,bulldog,companion,fire_01,harm
"When the barn caught fire, the retriever was trapped inside and crying out.",1,retriever,companion,fire_01,harm
"When the barn caught fire, the tomcat was trapped inside and crying out.",1,tomcat,companion,fire_01,harm
"When the barn caught fire, the gerbil was trapped inside and crying out.",1,gerbil,companion,fire_01,harm
"When the barn caught fire, the dalmatian was trapped inside and crying out.",1,dalmatian,companion,fire_01,harm
"When the barn caught fire, the greyhound was trapped inside and crying out.",1,greyhound,companion,fire_01,harm
"When the barn caught fire, the mastiff was trapped inside and crying out.",1,mastiff,companion,fire_01,harm
"When the barn caught fire, the corgi was trapped inside and crying out.",1,corgi,companion,fire_01,harm
"When the barn caught fire, the dachshund was trapped inside and crying out.",1,dachshund,companion,fire_01,harm
"When the barn caught fire, the chihuahua was trapped inside and crying out.",1,chihuahua,companion,fire_01,harm
"When the barn caught fire, the husky was trapped inside and crying out.",1,husky,companion,fire_01,harm
"When the barn caught fire, the rottweiler was trapped inside and crying out.",1,rottweiler,companion,fire_01,harm
"When the barn caught fire, the papillon was trapped inside and crying out.",1,papillon,companion,fire_01,harm
"When the barn caught fire, the schnauzer was trapped inside and crying out.",1,schnauzer,companion,fire_01,harm
"When the barn caught fire, the whippet was trapped inside and crying out.",1,whippet,companion,fire_01,harm
"When the barn caught fire, the pomeranian was trapped inside and crying out.",1,pomeranian,companion,fire_01,harm
"When the barn caught fire, the akita was trapped inside and crying out.",1,akita,companion,fire_01,harm
"When the barn caught fire, the samoyed was trapped inside and crying out.",1,samoyed,companion,fire_01,harm
"When the barn caught fire, the pekingese was trapped inside and crying out.",1,pekingese,companion,fire_01,harm
"When the barn caught fire, the lurcher was trapped inside and crying out.",1,lurcher,companion,fire_01,harm
"When the barn caught fire, the hound was trapped inside and crying out.",1,hound,companion,fire_01,harm
"When the barn caught fire, the mutt was trapped inside and crying out.",1,mutt,companion,fire_01,harm
"When the barn caught fire, the tabby was trapped inside and crying out.",1,tabby,companion,fire_01,harm
"When the barn caught fire, the lapdog was trapped inside and crying out.",1,lapdog,companion,fire_01,harm
"When the barn caught fire, the kitty was trapped inside and crying out.",1,kitty,companion,fire_01,harm
"When the barn caught fire, the bunny was trapped inside and crying out.",1,bunny,companion,fire_01,harm
"When the barn caught fire, the rat was trapped inside and crying out.",0,rat,wild,fire_01,harm
"When the barn caught fire, the boar was trapped inside and crying out.",0,boar,wild,fire_01,harm
"When the barn caught fire, the buffalo was trapped inside and crying out.",0,buffalo,wild,fire_01,harm
"When the barn caught fire, the fox was trapped inside and crying out.",0,fox,wild,fire_01,harm
"When the barn caught fire, the deer was trapped inside and crying out.",0,deer,wild,fire_01,harm
"When the barn caught fire, the badger was trapped inside and crying out.",0,badger,wild,fire_01,harm
"When the barn caught fire, the otter was trapped inside and crying out.",0,otter,wild,fire_01,harm
"When the barn caught fire, the hare was trapped inside and crying out.",0,hare,wild,fire_01,harm
"When the barn caught fire, the raccoon was trapped inside and crying out.",0,raccoon,wild,fire_01,harm
"When the barn caught fire, the squirrel was trapped inside and crying out.",0,squirrel,wild,fire_01,harm
"When the barn caught fire, the weasel was trapped inside and crying out.",0,weasel,wild,fire_01,harm
"When the barn caught fire, the coyote was trapped inside and crying out.",0,coyote,wild,fire_01,harm
"When the barn caught fire, the moose was trapped inside and crying out.",0,moose,wild,fire_01,harm
"When the barn caught fire, the elk was trapped inside and crying out.",0,elk,wild,fire_01,harm
"When the barn caught fire, the wolf was trapped inside and crying out.",0,wolf,wild,fire_01,harm
"When the barn caught fire, the hedgehog was trapped inside and crying out.",0,hedgehog,wild,fire_01,harm
"When the barn caught fire, the possum was trapped inside and crying out.",0,possum,wild,fire_01,harm
